,sales_sa,mean,mean_ci_lower,mean_ci_upper
2019-01-01,4853.0,,,
2019-04-01,5376.0,,,
2019-07-01,5659.0,,,
2019-10-01,5476.0,,,
2020-01-01,4869.0,,,
2020-04-01,3459.0,,,
2020-07-01,6489.0,,,
2020-10-01,7288.0,,,
2021-01-01,8853.0,,,
2021-04-01,9712.0,,,
2021-07-01,8441.0,,,
2021-10-01,10102.0,,,
2022-01-01,,10476.501078044426,9951.185336665409,11001.816819423444
2022-04-01,,9889.518570523895,9128.726187874656,10650.310953173133
2022-07-01,,9544.48964753508,8646.886106454014,10442.093188616145
2022-10-01,,8735.084988543862,7737.347449224158,9732.822527863565
2023-01-01,,8124.306929346203,7090.580123205803,9158.033735486602
2023-04-01,,8045.61902287774,6968.548972941594,9122.689072813884
2023-07-01,,7752.380358123393,6614.615736701813,8890.144979544973
2023-10-01,,7442.9797758589575,6274.703729786879,8611.255821931036
2024-01-01,,7379.096557456407,6199.320990467303,8558.872124445512
2024-04-01,,7328.108622823229,6137.039357918833,8519.177887727625
2024-07-01,,7291.002446327586,6088.838719897056,8493.166172758116
2024-10-01,,7272.097421695919,6059.032231357748,8485.162612034092
