,sales_sa,mean,mean_ci_lower,mean_ci_upper
2019-01-01,4853.0,,,
2019-04-01,5376.0,,,
2019-07-01,5659.0,,,
2019-10-01,5476.0,,,
2020-01-01,4869.0,,,
2020-04-01,3459.0,,,
2020-07-01,6489.0,,,
2020-10-01,7288.0,,,
2021-01-01,8853.0,,,
2021-04-01,9712.0,,,
2021-07-01,8441.0,,,
2021-10-01,10102.0,,,
2022-01-01,,10646.518576091663,9991.035105592444,11302.002046590882
2022-04-01,,10200.040920570787,9250.732167706883,11149.349673434692
2022-07-01,,9925.415239464764,8805.394958527291,11045.435520402238
2022-10-01,,9099.639626017764,7854.673192680359,10344.60605935517
2023-01-01,,8553.45754445338,7263.58408157518,9843.33100733158
2023-04-01,,8535.288957534576,7191.332249803771,9879.245665265382
2023-07-01,,8288.735970645013,6869.045213419904,9708.426727870123
2023-10-01,,8012.949787884865,6555.187195105615,9470.712380664116
2024-01-01,,7972.259323464938,6500.147749137975,9444.370897791901
2024-04-01,,7930.498689509657,6444.294957417058,9416.702421602256
2024-07-01,,7889.355568967434,6389.308284185207,9389.40285374966
2024-10-01,,7853.820352239478,6340.170335171057,9367.4703693079
