,lower,upper
2021-01-01,4226.397367072404,4741.009244605417
2021-04-01,5021.600633344405,5536.212510877417
2021-07-01,5735.001964768154,6249.613842301166
2021-10-01,5723.2555308441815,6237.867408377194
2022-01-01,5353.560335601619,5868.172213134631
2022-04-01,5612.685956450021,6127.297833983033
2022-07-01,5546.903332519066,6061.515210052078
2022-10-01,4671.558608971414,5186.170486504427
2023-01-01,3878.960979614806,4393.5728571478185
2023-04-01,3633.370743722636,4340.036164560283
2023-07-01,3644.4264777150806,4510.597657652264
2023-10-01,3873.1987994975257,4866.915407192054
2024-01-01,4235.72543673122,5308.224627792508
2024-04-01,4624.803218379563,5746.061813191221
2024-07-01,5000.518780614572,6148.483568381665
2024-10-01,5327.540308226005,6487.97842772462
2025-01-01,5587.466877109514,6752.785908585704
2025-04-01,5777.229986008359,6943.872509627558
2025-07-01,5921.79335304186,7088.568352336056
2025-10-01,5991.567069639093,7158.372292913896
