,single_starts_saar,mean,mean_ci_lower,mean_ci_upper
2019-01-01,3136.0,,,
2019-04-01,3248.0,,,
2019-07-01,3769.0,,,
2019-10-01,3919.0,,,
2020-01-01,4396.0,,,
2020-04-01,2716.0,,,
2020-07-01,2912.0,,,
2020-10-01,4111.0,,,
2021-01-01,4798.0,,,
2021-04-01,5893.0,,,
2021-07-01,5823.0,,,
2021-10-01,5383.0,,,
2022-01-01,,5048.145072865329,4813.848452864528,5282.44169286613
2022-04-01,,4756.327809511497,4391.9649720358,5120.690646987195
2022-07-01,,4703.955089721135,4231.4174718650265,5176.492707577243
2022-10-01,,4675.8727268960165,4120.217250857505,5231.528202934528
2023-01-01,,4639.027095844568,4049.2568680606937,5228.797323628442
2023-04-01,,4596.231337733574,3988.351775292662,5204.110900174486
2023-07-01,,4559.5012703510065,3939.8069554992408,5179.195585202772
2023-10-01,,4535.419637749589,3906.7015765869237,5164.137698912255
2024-01-01,,4515.758731539603,3879.3671951555025,5152.150267923704
2024-04-01,,4501.891984839186,3858.5259506245584,5145.258019053814
2024-07-01,,4493.390140253334,3843.4344083307833,5143.345872175884
2024-10-01,,4489.269503630203,3832.9508115955828,5145.588195664824
