,all_BACHELOR,all_1 BEDROOM,all_2 BEDROOM,all_3 BEDROOM +,all_TOTAL,apt_BACHELOR,apt_1 BEDROOM,apt_2 BEDROOM,apt_3 BEDROOM +,apt_TOTAL,mean,mean_ci_lower,mean_ci_upper
1990-12-31,0.034,0.018000000000000002,0.022000000000000002,0.024,0.021,0.034,0.018000000000000002,0.021,0.031,0.02,,,
1991-12-31,0.039,0.035,0.039,0.027999999999999997,0.036000000000000004,0.04,0.035,0.040999999999999995,0.026000000000000002,0.037000000000000005,,,
1992-12-31,0.035,0.053,0.059000000000000004,0.052000000000000005,0.055,0.035,0.053,0.059000000000000004,0.055999999999999994,0.055,,,
1993-12-31,0.078,0.055,0.063,0.048,0.059000000000000004,0.078,0.055,0.061,0.057,0.059000000000000004,,,
1994-12-31,0.08900000000000001,0.046,0.052000000000000005,0.048,0.051,0.08900000000000001,0.045,0.054000000000000006,0.05,0.051,,,
1995-12-31,0.045,0.033,0.039,0.032,0.036000000000000004,0.045,0.032,0.04,0.03,0.036000000000000004,,,
1996-12-31,0.023,0.013000000000000001,0.016,0.017,0.015,0.023,0.013000000000000001,0.016,0.02,0.015,,,
1997-12-31,0.009000000000000001,0.005,0.005,0.004,0.005,0.009000000000000001,0.005,0.005,0.004,0.005,,,
1998-12-31,0.015,0.005,0.006,0.005,0.006,0.015,0.005,0.006,0.006,0.006,,,
1999-12-31,,0.028999999999999998,0.022000000000000002,0.019,0.027000000000000003,,0.03,0.022000000000000002,0.017,0.027999999999999997,,,
2000-12-31,0.016,0.013000000000000001,0.011000000000000001,0.016,0.012,0.016,0.013000000000000001,0.011000000000000001,0.021,0.013000000000000001,,,
2001-12-31,0.015,0.011000000000000001,0.012,0.013999999999999999,0.012,0.015,0.01,0.013000000000000001,0.018000000000000002,0.012,,,
2002-12-31,0.028999999999999998,0.026000000000000002,0.032,0.022000000000000002,0.027999999999999997,0.028999999999999998,0.026000000000000002,0.032,0.023,0.028999999999999998,,,
2003-12-31,0.057,0.039,0.047,0.044000000000000004,0.044000000000000004,0.057,0.039,0.049,0.046,0.044000000000000004,,,
2004-12-31,0.057,0.034,0.05,0.044000000000000004,0.043,0.057,0.034,0.052000000000000005,0.045,0.043,,,
2005-12-31,0.02,0.013999999999999999,0.017,0.034,0.017,0.02,0.013999999999999999,0.016,0.035,0.016,,,
2006-12-31,0.008,0.005,0.005,0.009000000000000001,0.005,0.008,0.005,0.005,0.008,0.005,,,
2007-12-31,0.013999999999999999,0.015,0.016,0.021,0.016,0.013999999999999999,0.015,0.015,0.024,0.015,,,
2008-12-31,0.028999999999999998,0.019,0.023,0.024,0.022000000000000002,0.028999999999999998,0.019,0.022000000000000002,0.027000000000000003,0.021,,,
2009-12-31,0.046,0.049,0.055999999999999994,0.057999999999999996,0.053,0.046,0.049,0.057999999999999996,0.062,0.053,,,
2010-12-31,0.040999999999999995,0.03,0.04,0.051,0.036000000000000004,0.040999999999999995,0.03,0.042,0.053,0.036000000000000004,,,
2011-12-31,0.018000000000000002,0.018000000000000002,0.02,0.026000000000000002,0.02,0.019,0.018000000000000002,0.02,0.033,0.019,,,
2012-12-31,0.011000000000000001,0.011000000000000001,0.013999999999999999,0.013000000000000001,0.013000000000000001,0.011000000000000001,0.011000000000000001,0.015,0.015,0.013000000000000001,,,
2013-12-31,0.008,0.01,0.01,0.005,0.01,0.008,0.01,0.011000000000000001,0.004,0.01,,,
2014-12-31,0.011000000000000001,0.013000000000000001,0.015,0.013000000000000001,0.013999999999999999,0.011000000000000001,0.013000000000000001,0.016,0.013000000000000001,0.013999999999999999,,,
2015-12-31,0.023,0.049,0.057,0.037000000000000005,0.051,0.024,0.049,0.06,0.049,0.053,,,
2016-12-31,0.053,0.062,0.079,0.07200000000000001,0.07,0.053,0.062,0.079,0.087,0.07,,,
2017-12-31,0.055999999999999994,0.057999999999999996,0.067,0.065,0.063,0.055999999999999994,0.057999999999999996,0.069,0.071,0.063,,,
2018-12-31,0.023,0.036000000000000004,0.042,0.049,0.039,0.024,0.036000000000000004,0.043,0.059000000000000004,0.039,,,
2019-12-31,0.025,0.035,0.044000000000000004,0.045,0.04,0.025,0.035,0.043,0.048,0.039,,,
2020-12-31,0.06,0.068,0.061,0.049,0.063,0.059000000000000004,0.068,0.063,0.073,0.066,,,
2021-12-31,0.034,0.051,0.052000000000000005,0.033,0.049,0.034,0.051,0.054000000000000006,0.039,0.051,,,
2022-12-31,0.032,0.027999999999999997,0.024,0.017,0.026000000000000002,0.032,0.027999999999999997,0.025,0.027999999999999997,0.027000000000000003,,,
2023-12-31,,,,,,,,,,,0.028261901940751184,0.022294939851050913,0.03422886403045146
2024-12-31,,,,,,,,,,,0.024607199718237677,0.014330457022062322,0.03488394241441303
2025-12-31,,,,,,,,,,,0.023660661352569307,0.0117447397263458,0.03557658297879281
