"ref_yy","metcode","gcd_ct_centroid_fsa","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr"
"2006","0610","L9G","June 30, 2006","HAMILTON",88,NA,NA,74,1.18918918918919,0,11.3823529411765
"2006","1060","J5Z","June 30, 2006","MONTRÉAL",554,NA,NA,265,2.09056603773585,0.373584905660377,4.47252747252747
"2006","1400","G6C","December 31, 2006","QUÉBEC",69,NA,NA,43,1.6046511627907,0.302325581395349,7.41666666666667
"2006","2270","L3S","March 31, 2006","TORONTO",29,NA,NA,28,1.03571428571429,0,5.07142857142857
"2006","0340","T8E","December 31, 2006","EDMONTON",10,NA,NA,10,1,0,6.6
"2006","1060","H4C","March 31, 2006","MONTRÉAL",177,NA,NA,15,11.8,2.93333333333333,11.5333333333333
"2006","1060","H7G","December 31, 2006","MONTRÉAL",103,NA,NA,8,12.875,2.5,4.83333333333333
"2006","1060","H1N","September 30, 2006","MONTRÉAL",121,NA,NA,18,6.72222222222222,0.222222222222222,8.53333333333333
"2006","1060","J4J","June 30, 2006","MONTRÉAL",34,NA,NA,5,6.8,1,4.75
"2006","1060","J4W","December 31, 2006","MONTRÉAL",39,NA,NA,9,4.33333333333333,1.66666666666667,9.125
"2006","2270","L5R","December 31, 2006","TORONTO",128,NA,NA,109,1.1743119266055,0,4.75961538461539
"2006","1060","H1R","March 31, 2006","MONTRÉAL",215,NA,NA,26,8.26923076923077,0.692307692307692,6.96
"2006","2270","L7G","June 30, 2006","TORONTO",23,NA,NA,10,2.3,0,9.44444444444444
"2006","2440","V9Z","December 31, 2006","VICTORIA",8,NA,NA,8,1,0,7.625
"2006","1060","H9C","September 30, 2006","MONTRÉAL",75,NA,NA,70,1.07142857142857,0,5.83870967741935
"2006","1265","K2G","September 30, 2006","OTTAWA",72,NA,NA,22,3.27272727272727,0,6.90909090909091
"2006","0580","B3V","September 30, 2006","HALIFAX",58,NA,NA,58,1,0,3.44444444444444
"2006","2270","M1J","June 30, 2006","TORONTO",111,NA,NA,16,6.9375,0,6.8125
