"","ref_yy","metcode","gcd_ct_centroid_fsa","dweltype","mkttycd","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","avgpermit_to_start_time","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price"
"1","2006","0140","T2A",4,3,"March 31, 2006","CALGARY",10,NA,NA,1,10,0,6,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2006","0140","T2H",2,1,"December 31, 2006","CALGARY",2,NA,NA,1,2,0,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2006","0140","T2T",2,1,"September 30, 2006","CALGARY",66,NA,NA,33,2,0,11.7878787878788,0.545454545454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2006","0140","T3E",4,3,"December 31, 2006","CALGARY",57,NA,NA,10,5.7,0,12.6,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2006","0140","nan",2,3,"December 31, 2006","CALGARY",184,NA,NA,92,2,0,10.0326086956522,2.23913043478261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2006","0140","nan",5,2,"March 31, 2006","CALGARY",23,NA,NA,2,11.5,0,7.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2006","0340","T0B",1,1,"September 30, 2006","EDMONTON",4,NA,NA,4,1,0,6.33333333333333,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2006","0340","T5A",4,3,"June 30, 2006","EDMONTON",18,NA,NA,3,6,0,15.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2006","0340","T5B",4,2,"June 30, 2006","EDMONTON",14,NA,NA,2,7,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2006","0340","T5P",2,1,"March 31, 2006","EDMONTON",8,NA,NA,4,2,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2006","0340","T5X",5,3,"June 30, 2006","EDMONTON",91,NA,NA,1,91,4,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2006","0340","T6A",1,1,"June 30, 2006","EDMONTON",6,NA,NA,6,1,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2006","0340","T6C",5,3,"March 31, 2006","EDMONTON",54,NA,NA,2,27,3.5,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2006","0340","T6E",5,3,"September 30, 2006","EDMONTON",40,NA,NA,3,13.3333333333333,3.66666666666667,19,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2006","0340","T6G",2,1,"March 31, 2006","EDMONTON",2,NA,NA,1,2,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2006","0340","T6L",4,3,"September 30, 2006","EDMONTON",4,NA,NA,1,4,0,19,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2006","0340","T9G",1,1,"June 30, 2006","EDMONTON",28,NA,NA,28,1,0,4.46428571428571,0.357142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2006","0340","nan",2,3,"June 30, 2006","EDMONTON",352,NA,NA,176,2,0,10.49375,7.79047619047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2006","0580","B0J",1,1,"June 30, 2006","HALIFAX",81,NA,NA,81,1,0,4.67142857142857,0.234567901234568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2006","0580","B2W",1,1,"September 30, 2006","HALIFAX",35,NA,NA,35,1,0,6.34285714285714,0.0285714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2006","0580","B2W",4,1,"March 31, 2006","HALIFAX",41,NA,NA,8,5.125,0,9.625,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2006","0580","B2Y",5,3,"March 31, 2006","HALIFAX",24,NA,NA,1,24,0,17,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2006","0580","B3A",1,1,"June 30, 2006","HALIFAX",2,NA,NA,2,1,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2006","0580","B3H",2,1,"June 30, 2006","HALIFAX",2,NA,NA,1,2,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
