"ref_yy","metcode","dweltype","mkttycd","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price","reference_period_qq","ref_qq","population","comp_per_10kpop"
"1988","1700",2,2,"September 30, 1988","SASKATOON",12,NA,NA,6,2,0,5.16666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",216113.54,0.555263682229258
"1988","2410",1,3,"June 30, 1988","VANCOUVER",74,NA,NA,74,1,0,6.17543859649123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",1562206,0.473689129346578
"1988","0140",4,1,"December 31, 1988","CALGARY",102,NA,NA,8,12.75,0.25,10.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",724449.865,1.4079649252195
"1988","1060",4,3,"September 30, 1988",NA,190,NA,NA,20,9.5,0.1,8.27777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3351700.63,0.566876403875008
"1988","0340",1,1,"September 30, 1988","EDMONTON",2197,NA,NA,2197,1,0,4.55472972972973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",821466.779,26.7448429585246
"1988","1700",4,3,"September 30, 1988","SASKATOON",65,NA,NA,15,4.33333333333333,0.0666666666666667,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",216113.54,3.00767827874181
"1988","1400",5,2,"December 31, 1988",NA,1623,NA,NA,185,8.77297297297297,0,5.97802197802198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",646773.443,25.0937947061008
"1988","1265",5,1,"September 30, 1988",NA,8,NA,NA,2,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",683074.4453,0.117117541946493
"1988","2680",5,4,"December 31, 1988","WINNIPEG",120,NA,NA,2,60,7,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",665928.947,1.80199404967449
"1988","1060",2,3,"December 31, 1988",NA,4,NA,NA,2,2,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3351700.63,0.0119342400815791
"1988","2680",4,3,"December 31, 1988","WINNIPEG",63,NA,NA,7,9,2.14285714285714,7.57142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",665928.947,0.946046876079108
"1988","1400",5,4,"September 30, 1988",NA,14,NA,NA,1,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",646773.443,0.216459104057555
"1988","2270",1,1,"June 30, 1988","TORONTO",12457,NA,NA,12457,1,0,7.53859260521384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3917164.25,31.8010662943225
"1988","2270",4,3,"June 30, 1988","TORONTO",581,NA,NA,85,6.83529411764706,0,7.58823529411765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3917164.25,1.48321582379396
"1988","1060",5,2,"September 30, 1988",NA,7908,NA,NA,1041,7.59654178674352,0.623439000960615,6.13868613138686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3351700.63,23.5939926412819
"1988","1400",5,3,"June 30, 1988",NA,918,NA,NA,29,31.6551724137931,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",646773.443,14.1935326803454
"1988","1060",4,2,"December 31, 1988",NA,36,NA,NA,11,3.27272727272727,0.272727272727273,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3351700.63,0.107408160734212
"1988","1265",1,3,"June 30, 1988",NA,1,NA,NA,1,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",683074.4453,0.0146396927433116
"1988","1700",5,3,"June 30, 1988","SASKATOON",177,NA,NA,5,35.4,3,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",216113.54,8.19013931288155
"1988","0610",4,2,"September 30, 1988",NA,231,NA,NA,35,6.6,0,6.82857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",607581.042,3.80196194469149
"1988","2410",2,2,"December 31, 1988","VANCOUVER",12,NA,NA,6,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",1562206,0.0768144534075532
"1988","2410",2,3,"September 30, 1988","VANCOUVER",256,NA,NA,128,2,0,6.1953125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",1562206,1.63870833936113
"1988","1265",4,1,"September 30, 1988",NA,496,NA,NA,90,5.51111111111111,0,4.34285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",683074.4453,7.26128760068255
"1988","2440",5,2,"September 30, 1988","VICTORIA",277,NA,NA,7,39.5714285714286,3.28571428571429,5.16666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",283268.492,9.77870846292358
