"","ref_yy","metcode","gcd_ct_centroid_fsa","dweltype","mkttycd","date_pbi","metro","inventory","num_structures","unitsperstructure","avgstorycount"
"1","2006","0140","T2C",1,1,"December 31, 2006","CALGARY",0,32,0,0
"2","2006","0140","T2E",2,1,"December 31, 2006","CALGARY",2,3,0.666666666666667,0
"3","2006","0140","T2E",5,3,"December 31, 2006","CALGARY",7,1,7,3
"4","2006","0140","T2G",1,1,"December 31, 2006","CALGARY",0,1,0,0
"5","2006","0140","T2H",2,1,"December 31, 2006","CALGARY",0,1,0,0
"6","2006","0140","T2L",1,1,"December 31, 2006","CALGARY",0,1,0,0
"7","2006","0140","T2M",1,1,"December 31, 2006","CALGARY",0,1,0,0
"8","2006","0140","T2M",2,1,"December 31, 2006","CALGARY",1,1,1,0
"9","2006","0140","T2N",1,1,"December 31, 2006","CALGARY",0,10,0,0
"10","2006","0140","T2N",2,1,"December 31, 2006","CALGARY",0,3,0,0
"11","2006","0140","T2N",5,3,"December 31, 2006","CALGARY",1,1,1,0
"12","2006","0140","T2S",1,1,"December 31, 2006","CALGARY",0,5,0,0
"13","2006","0140","T2T",1,1,"December 31, 2006","CALGARY",0,4,0,0
"14","2006","0140","T2T",2,1,"December 31, 2006","CALGARY",1,5,0.2,0
"15","2006","0140","T2V",1,1,"December 31, 2006","CALGARY",0,1,0,0
"16","2006","0140","T2V",2,1,"December 31, 2006","CALGARY",1,1,1,0
"17","2006","0140","T2Y",1,1,"December 31, 2006","CALGARY",1,4,0.25,0
"18","2006","0140","T2Y",2,1,"December 31, 2006","CALGARY",2,2,1,0
"19","2006","0140","T3B",2,1,"December 31, 2006","CALGARY",0,1,0,0
"20","2006","0140","T3E",1,1,"December 31, 2006","CALGARY",2,4,0.5,0
"21","2006","0140","nan",1,1,"December 31, 2006","CALGARY",444,966,0.459627329192547,0
"22","2006","0140","nan",1,3,"December 31, 2006","CALGARY",0,1,0,0
"23","2006","0140","nan",2,1,"December 31, 2006","CALGARY",70,75,0.933333333333333,0
"24","2006","0140","nan",2,3,"December 31, 2006","CALGARY",4,7,0.571428571428571,0
"25","2006","0140","nan",4,3,"December 31, 2006","CALGARY",7,5,1.4,0
"26","2006","0340","T0C",1,1,"December 31, 2006","EDMONTON",0,1,0,0
"27","2006","0340","T5A",1,1,"December 31, 2006","EDMONTON",1,1,1,0
"28","2006","0340","T5A",2,3,"December 31, 2006","EDMONTON",1,1,1,0
"29","2006","0340","T5B",1,1,"December 31, 2006","EDMONTON",0,1,0,0
"30","2006","0340","T5E",1,1,"December 31, 2006","EDMONTON",1,5,0.2,0
"31","2006","0340","T5E",2,1,"December 31, 2006","EDMONTON",1,1,1,0
"32","2006","0340","T5H",1,1,"December 31, 2006","EDMONTON",1,1,1,0
"33","2006","0340","T5H",4,3,"December 31, 2006","EDMONTON",8,2,4,0
"34","2006","0340","T5K",5,3,"December 31, 2006","EDMONTON",3,1,3,12
"35","2006","0340","T5M",2,1,"December 31, 2006","EDMONTON",2,1,2,0
"36","2006","0340","T5N",1,1,"December 31, 2006","EDMONTON",1,1,1,0
"37","2006","0340","T5N",2,1,"December 31, 2006","EDMONTON",0,1,0,0
"38","2006","0340","T5P",2,1,"December 31, 2006","EDMONTON",1,1,1,0
"39","2006","0340","T5Y",1,1,"December 31, 2006","EDMONTON",3,3,1,0
"40","2006","0340","T6C",1,1,"December 31, 2006","EDMONTON",0,1,0,0
"41","2006","0340","T6C",2,1,"December 31, 2006","EDMONTON",2,2,1,0
"42","2006","0340","T6C",5,3,"December 31, 2006","EDMONTON",12,1,12,4
"43","2006","0340","T6E",1,1,"December 31, 2006","EDMONTON",0,2,0,0
"44","2006","0340","T6E",2,1,"December 31, 2006","EDMONTON",0,1,0,0
"45","2006","0340","T6M",1,1,"December 31, 2006","EDMONTON",2,3,0.666666666666667,0
"46","2006","0340","T6R",1,1,"December 31, 2006","EDMONTON",2,9,0.222222222222222,0
"47","2006","0340","T7Z",2,1,"December 31, 2006","EDMONTON",1,1,1,0
"48","2006","0340","T8A",1,1,"December 31, 2006","EDMONTON",3,3,1,0
"49","2006","0340","T8B",1,1,"December 31, 2006","EDMONTON",2,4,0.5,0
"50","2006","0340","T8E",1,1,"December 31, 2006","EDMONTON",0,4,0,0
"51","2006","0340","T8G",1,1,"December 31, 2006","EDMONTON",0,1,0,0
"52","2006","0340","T8N",1,1,"December 31, 2006","EDMONTON",3,6,0.5,0
"53","2006","0340","T8R",1,1,"December 31, 2006","EDMONTON",3,9,0.333333333333333,0
"54","2006","0340","T8R",2,3,"December 31, 2006","EDMONTON",0,3,0,0
"55","2006","0340","T8T",1,1,"December 31, 2006","EDMONTON",0,5,0,0
"56","2006","0340","T9E",1,1,"December 31, 2006","EDMONTON",5,17,0.294117647058824,0
"57","2006","0340","nan",1,1,"December 31, 2006","EDMONTON",448,946,0.473572938689218,0
"58","2006","0340","nan",2,1,"December 31, 2006","EDMONTON",85,92,0.923913043478261,0
"59","2006","0340","nan",2,3,"December 31, 2006","EDMONTON",30,38,0.789473684210526,0
"60","2006","0340","nan",4,3,"December 31, 2006","EDMONTON",7,4,1.75,0.5
"61","2006","0340","nan",5,3,"December 31, 2006","EDMONTON",81,8,10.125,3.125
"62","2006","0580","B0J",1,1,"December 31, 2006","HALIFAX",2,11,0.181818181818182,0
"63","2006","0580","B2R",1,1,"December 31, 2006","HALIFAX",4,14,0.285714285714286,0
"64","2006","0580","B2T",1,1,"December 31, 2006","HALIFAX",0,4,0,0
"65","2006","0580","B2W",1,1,"December 31, 2006","HALIFAX",0,4,0,0
"66","2006","0580","B2X",1,1,"December 31, 2006","HALIFAX",1,21,0.0476190476190476,0
"67","2006","0580","B2Z",1,1,"December 31, 2006","HALIFAX",0,28,0,0
"68","2006","0580","B2Z",2,1,"December 31, 2006","HALIFAX",0,1,0,0
"69","2006","0580","B3G",1,1,"December 31, 2006","HALIFAX",1,7,0.142857142857143,0
"70","2006","0580","B3L",1,1,"December 31, 2006","HALIFAX",3,3,1,0
"71","2006","0580","B3M",1,1,"December 31, 2006","HALIFAX",3,5,0.6,0
"72","2006","0580","B3M",2,1,"December 31, 2006","HALIFAX",2,1,2,0
"73","2006","0580","B3M",5,3,"December 31, 2006","HALIFAX",99,2,49.5,0
"74","2006","0580","B3N",1,1,"December 31, 2006","HALIFAX",2,5,0.4,0
"75","2006","0580","B3P",1,1,"December 31, 2006","HALIFAX",1,2,0.5,0
"76","2006","0580","B3P",2,1,"December 31, 2006","HALIFAX",3,3,1,0
"77","2006","0580","B3R",1,1,"December 31, 2006","HALIFAX",0,2,0,0
