"","ref_yy","metcode","dweltype","mkttycd","date_pbi","metro","inventory","num_structures","unitsperstructure","avgstorycount","ref_qq","population","inventory_per_10kpop"
"1","1988","0140",1,1,"December 31, 1988","CALGARY",95,368,0.258152173913043,0,4,"724449.865",1.31133988133188
"2","1988","0140",2,1,"December 31, 1988","CALGARY",14,30,0.466666666666667,0,4,"724449.865",0.193250087775225
"3","1988","0140",4,1,"December 31, 1988","CALGARY",7,1,7,2,4,"724449.865",0.0966250438876126
"4","1988","0140",5,3,"December 31, 1988","CALGARY",2,1,2,26,4,"724449.865",0.0276071553964607
"5","1988","0610",1,1,"December 31, 1988","HAMILTON",218,535,0.407476635514019,0,4,"607581.042",3.58799871836686
"6","1988","0610",1,3,"December 31, 1988","HAMILTON",1,1,1,0,4,"607581.042",0.0164587097172792
"7","1988","0610",2,1,"December 31, 1988",NA,8,9,0.888888888888889,0,4,"607581.042",0.131669677738233
"8","1988","0610",4,3,"December 31, 1988","HAMILTON",38,12,3.16666666666667,0.25,4,"607581.042",0.625430969256608
"9","1988","0610",5,3,"December 31, 1988","HAMILTON",25,2,12.5,0,4,"607581.042",0.411467742931979
"10","1988","1060",1,1,"December 31, 1988",NA,1553,2443,0.635693819074908,0,4,"3351700.63",4.63346871167309
"11","1988","1060",2,1,"December 31, 1988",NA,286,205,1.39512195121951,0,4,"3351700.63",0.853298165832907
"12","1988","1060",2,3,"December 31, 1988",NA,4,2,2,0,4,"3351700.63",0.0119342400815791
"13","1988","1060",4,1,"December 31, 1988",NA,188,74,2.54054054054054,0.202702702702703,4,"3351700.63",0.560909283834219
"14","1988","1060",4,3,"December 31, 1988",NA,123,18,6.83333333333333,0.222222222222222,4,"3351700.63",0.366977882508558
"15","1988","1060",5,1,"December 31, 1988",NA,13,8,1.625,1.5,4,"3351700.63",0.0387862802651322
"16","1988","1060",5,3,"December 31, 1988",NA,2111,313,6.7444089456869,2.25878594249201,4,"3351700.63",6.29829520305338
"17","1988","1265",1,1,"December 31, 1988",NA,223,516,0.432170542635659,0,4,"694702.2267506439",3.2100084239408
"18","1988","1265",1,3,"December 31, 1988",NA,0,1,0,0,4,"694702.2267506439",0
"19","1988","1265",2,1,"December 31, 1988",NA,12,10,1.2,0,4,"694702.2267506439",0.1727358793152
"20","1988","1265",4,1,"December 31, 1988",NA,26,15,1.73333333333333,0,4,"694702.2267506439",0.3742610718496
"21","1988","1265",4,3,"December 31, 1988",NA,42,15,2.8,0.133333333333333,4,"694702.2267506439",0.6045755776032
"22","1988","1265",5,3,"December 31, 1988",NA,141,18,7.83333333333333,2.66666666666667,4,"694702.2267506439",2.0296465819536
"23","1989","0140",1,1,"December 31, 1989","CALGARY",325,619,0.525040387722132,0,4,"747414.603",4.34832285448402
"24","1989","0140",2,1,"December 31, 1989","CALGARY",24,16,1.5,0,4,"747414.603",0.321106918484974
"25","1989","0140",4,1,"December 31, 1989","CALGARY",14,5,2.8,0,4,"747414.603",0.187312369116235
"26","1989","0610",1,1,"December 31, 1989",NA,237,403,0.588089330024814,0,4,"615293.795",3.85181846340576
"27","1989","0610",2,1,"December 31, 1989",NA,12,9,1.33333333333333,0,4,"615293.795",0.195028782957254
"28","1989","0610",2,3,"December 31, 1989","HAMILTON",0,1,0,0,4,"615293.795",0
"29","1989","0610",4,1,"December 31, 1989",NA,4,3,1.33333333333333,0,4,"615293.795",0.0650095943190846
"30","1989","0610",4,3,"December 31, 1989","HAMILTON",64,21,3.04761904761905,0,4,"615293.795",1.04015350910535
"31","1989","0610",5,3,"December 31, 1989","HAMILTON",31,4,7.75,0,4,"615293.795",0.503824355972906
"32","1989","1060",1,1,"December 31, 1989",NA,1418,2145,0.661072261072261,0,4,"3384308.91",4.1899248493838
"33","1989","1060",2,1,"December 31, 1989",NA,261,223,1.17040358744395,0,4,"3384308.91",0.771206195831574
"34","1989","1060",2,3,"December 31, 1989",NA,0,2,0,0,4,"3384308.91",0
"35","1989","1060",4,1,"December 31, 1989",NA,153,64,2.390625,0.5,4,"3384308.91",0.452086390659888
"36","1989","1060",4,3,"December 31, 1989",NA,32,11,2.90909090909091,0.363636363636364,4,"3384308.91",0.0945540163471661
"37","1989","1060",5,1,"December 31, 1989",NA,6,3,2,1.66666666666667,4,"3384308.91",0.0177288780650936
