"ref_yy","metcode","gcd_ct_centroid_fsa","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time"
"2006","0610","L8G","March 31, 2006","HAMILTON",13,NA,NA,13,1,0,0
"2006","2270","L6H","September 30, 2006","TORONTO",341,NA,NA,299,1.14046822742475,0,0.583333333333333
"2006","2270","M4E","December 31, 2006","TORONTO",66,NA,NA,13,5.07692307692308,0,0.461538461538462
"2006","0140","T2T","March 31, 2006","CALGARY",254,NA,NA,128,1.984375,0,0.453125
"2006","2410","V6J","December 31, 2006","VANCOUVER",78,NA,NA,17,4.58823529411765,1.41176470588235,1.29411764705882
"2006","0580","B2Y","June 30, 2006","HALIFAX",2,NA,NA,1,2,0,0
"2006","1400","G1J","June 30, 2006","QUÉBEC",8,NA,NA,1,8,0,0
"2006","2270","L7E","March 31, 2006","TORONTO",40,NA,NA,23,1.73913043478261,0,0.739130434782609
"2006","2410","V6Y","March 31, 2006","VANCOUVER",585,NA,NA,95,6.15789473684211,0.231578947368421,2.94736842105263
"2006","1060","H2R","June 30, 2006","MONTRÉAL",164,NA,NA,6,27.3333333333333,0,0
"2006","2270","M1E","September 30, 2006","TORONTO",26,NA,NA,18,1.44444444444444,0,3.61111111111111
"2006","2270","M1M","September 30, 2006","TORONTO",51,NA,NA,19,2.68421052631579,0,3.05263157894737
"2006","2410","V6N","June 30, 2006","VANCOUVER",33,NA,NA,33,1,0,0.454545454545455
"2006","2680","R2P","September 30, 2006","WINNIPEG",108,NA,NA,51,2.11764705882353,0,0.254901960784314
"2006","1060","H1J","June 30, 2006","MONTRÉAL",2,NA,NA,2,1,0,0
"2006","1060","H9C","June 30, 2006","MONTRÉAL",43,NA,NA,38,1.13157894736842,0,0
"2006","1265","K2G","March 31, 2006","OTTAWA",9,NA,NA,8,1.125,0,1.125
"2006","1060","H9A","June 30, 2006","MONTRÉAL",6,NA,NA,6,1,0,0
"2006","2270","M1B","March 31, 2006","TORONTO",44,NA,NA,8,5.5,0,1.5
"2006","1060","H4K","June 30, 2006","MONTRÉAL",6,NA,NA,6,1,0,0
"2006","1265","K1V","June 30, 2006","OTTAWA",208,NA,NA,100,2.08,0,0.91
"2006","0140","T3A","June 30, 2006","CALGARY",5,NA,NA,5,1,0,0.2
"2006","1060","J6X","December 31, 2006","MONTRÉAL",82,NA,NA,74,1.10810810810811,0.0810810810810811,0
"2006","0580","B3P","December 31, 2006","HALIFAX",39,NA,NA,28,1.39285714285714,0,0.0714285714285714
"2006","1060","H1H","March 31, 2006","MONTRÉAL",69,NA,NA,16,4.3125,0,0
"2006","1060","H9G","March 31, 2006","MONTRÉAL",82,NA,NA,2,41,0,0
"2006","1060","J7E","December 31, 2006","MONTRÉAL",565,NA,NA,19,29.7368421052632,1.31578947368421,0
"2006","1265","K2A","September 30, 2006","OTTAWA",3,NA,NA,3,1,0,1.33333333333333
"2006","1060","J3E","June 30, 2006","MONTRÉAL",4,NA,NA,4,1,0,0
"2006","1060","J3V","June 30, 2006","MONTRÉAL",6,NA,NA,6,1,0,0
"2006","0140","T2Y","March 31, 2006","CALGARY",86,NA,NA,78,1.1025641025641,0,1.30769230769231
"2006","2270","L6R","June 30, 2006","TORONTO",131,NA,NA,64,2.046875,0,0.96875
"2006","2410","V6H","September 30, 2006","VANCOUVER",46,NA,NA,7,6.57142857142857,1.85714285714286,0.142857142857143
"2006","0340","T8A","March 31, 2006","EDMONTON",238,NA,NA,15,15.8666666666667,0,0.285714285714286
"2006","1060","J7M","June 30, 2006","MONTRÉAL",295,NA,NA,225,1.31111111111111,0.0933333333333333,0
"2006","1265","K1B","December 31, 2006","OTTAWA",76,NA,NA,11,6.90909090909091,0,3.09090909090909
"2006","1265","K1E","September 30, 2006","OTTAWA",10,NA,NA,2,5,0,1
"2006","2270","L7K","September 30, 2006","TORONTO",64,NA,NA,55,1.16363636363636,0,1.70909090909091
"2006","2410","V6K","September 30, 2006","VANCOUVER",124,NA,NA,18,6.88888888888889,1.22222222222222,1
"2006","2680","R4A","March 31, 2006","WINNIPEG",68,NA,NA,68,1,0,0.882352941176471
"2006","1060","H7M","December 31, 2006","MONTRÉAL",128,NA,NA,78,1.64102564102564,0.0769230769230769,0
"2006","1400","G1L","March 31, 2006","QUÉBEC",31,NA,NA,1,31,0,4
"2006","1490","S4V","September 30, 2006","REGINA",330,NA,NA,303,1.08910891089109,0,0.191419141914191
"2006","2270","L4L","June 30, 2006","TORONTO",268,NA,NA,150,1.78666666666667,0.0266666666666667,0.153333333333333
"2006","2410","V5R","September 30, 2006","VANCOUVER",114,NA,NA,87,1.31034482758621,0.160919540229885,0.873563218390805
"2006","2410","V7R","June 30, 2006","VANCOUVER",29,NA,NA,29,1,0,0.275862068965517
"2006","0340","T8N","March 31, 2006","EDMONTON",111,NA,NA,64,1.734375,0,0.640625
"2006","1060","H7A","June 30, 2006","MONTRÉAL",104,NA,NA,89,1.1685393258427,0.0224719101123595,0
"2006","1400","G2M","March 31, 2006","QUÉBEC",12,NA,NA,11,1.09090909090909,0,0
"2006","2410","V3H","June 30, 2006","VANCOUVER",324,NA,NA,120,2.7,0.216666666666667,1.26666666666667
"2006","0610","L8S","June 30, 2006","HAMILTON",11,NA,NA,2,5.5,0,5.5
"2006","2270","M2K","June 30, 2006","TORONTO",2,NA,NA,2,1,0,1
"2006","2270","M2N","December 31, 2006","TORONTO",352,NA,NA,44,8,0,0.435897435897436
"2006","2410","nan","March 31, 2006","VANCOUVER",7920,NA,NA,3056,2.59162303664921,0.227421465968586,0.700589005235602
"2006","0580","B2W","December 31, 2006","HALIFAX",342,NA,NA,69,4.95652173913043,0,0.0869565217391304
"2006","2680","R0A","December 31, 2006","WINNIPEG",73,NA,NA,63,1.15873015873016,0,0.492063492063492
"2006","1400","G2E","June 30, 2006","QUÉBEC",177,NA,NA,57,3.10526315789474,0.157894736842105,0.28125
"2006","1400","G3K","September 30, 2006","QUÉBEC",74,NA,NA,63,1.17460317460317,0.0317460317460317,0.126984126984127
"2006","2270","M4J","June 30, 2006","TORONTO",3,NA,NA,3,1,0,0
"2006","2680","R4L","December 31, 2006","WINNIPEG",6,NA,NA,6,1,0,1.16666666666667
"2006","2270","M6S","December 31, 2006","TORONTO",18,NA,NA,11,1.63636363636364,0,0.875
"2006","2410","V2X","September 30, 2006","VANCOUVER",126,NA,NA,27,4.66666666666667,0.148148148148148,0.185185185185185
"2006","2680","R1A","September 30, 2006","WINNIPEG",50,NA,NA,50,1,0,1.3
"2006","2680","R2M","March 31, 2006","WINNIPEG",130,NA,NA,16,8.125,0,0.6875
"2006","2270","L1V","September 30, 2006","TORONTO",96,NA,NA,92,1.04347826086957,0,0.0326086956521739
"2006","2410","V7W","September 30, 2006","VANCOUVER",5,NA,NA,5,1,0,0
"2006","2270","M6L","March 31, 2006","TORONTO",10,NA,NA,10,1,0,0.444444444444444
"2006","2270","M9B","December 31, 2006","TORONTO",31,NA,NA,19,1.63157894736842,0,0.428571428571429
"2006","2440","nan","March 31, 2006","VICTORIA",934,NA,NA,383,2.43864229765013,0.0652741514360313,0.436031331592689
"2006","1060","H7V","June 30, 2006","MONTRÉAL",396,NA,NA,3,132,8.33333333333333,0
"2006","0340","T5C","December 31, 2006","EDMONTON",6,NA,NA,3,2,0,0
"2006","0610","L8W","September 30, 2006","HAMILTON",2,NA,NA,2,1,0,0
"2006","2270","L5G","June 30, 2006","TORONTO",80,NA,NA,42,1.9047619047619,0,1.57142857142857
"2006","2270","M9N","December 31, 2006","TORONTO",427,NA,NA,10,42.7,0,1.3
"2006","2440","V8W","June 30, 2006","VICTORIA",70,NA,NA,3,23.3333333333333,2.33333333333333,0.333333333333333
"2006","1060","H9H","September 30, 2006","MONTRÉAL",281,NA,NA,6,46.8333333333333,0,0
"2006","1060","H9W","June 30, 2006","MONTRÉAL",31,NA,NA,23,1.34782608695652,0,0
"2006","1400","G2L","December 31, 2006","QUÉBEC",33,NA,NA,4,8.25,0.75,0
"2006","2410","V5C","June 30, 2006","VANCOUVER",75,NA,NA,34,2.20588235294118,0.117647058823529,0.147058823529412
"2006","0140","T2R","June 30, 2006","CALGARY",294,NA,NA,2,147,9.5,2.5
"2006","1060","J6K","March 31, 2006","MONTRÉAL",80,NA,NA,18,4.44444444444444,0,0
"2006","2270","L4A","June 30, 2006","TORONTO",191,NA,NA,191,1,0,0.885906040268456
