"ref_yy","metcode","gcd_ct_centroid_fsa","dweltype","mkttycd","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price"
"2006","0610","L0R",4,1,"June 30, 2006","HAMILTON",3,NA,NA,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J6Y",5,1,"December 31, 2006","MONTRÉAL",16,NA,NA,8,2,0.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M6R",2,1,"December 31, 2006","TORONTO",2,NA,NA,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2680","nan",4,3,"June 30, 2006","WINNIPEG",39,NA,NA,7,5.57142857142857,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0140","T3E",4,3,"March 31, 2006","CALGARY",20,NA,NA,3,6.66666666666667,0,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","T0B",1,1,"December 31, 2006","EDMONTON",9,NA,NA,9,1,0,1.11111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","T6C",5,3,"March 31, 2006","EDMONTON",264,NA,NA,4,66,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","T6E",5,3,"September 30, 2006","EDMONTON",20,NA,NA,1,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","nan",2,3,"March 31, 2006","EDMONTON",394,NA,NA,197,2,0,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H3H",5,3,"December 31, 2006","MONTRÉAL",225,NA,NA,1,225,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H4E",5,2,"March 31, 2006","MONTRÉAL",3,NA,NA,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J4K",4,1,"September 30, 2006","MONTRÉAL",3,NA,NA,1,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1700","S7N",2,1,"June 30, 2006","SASKATOON",8,NA,NA,4,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L3P",1,1,"September 30, 2006","TORONTO",12,NA,NA,12,1,0,2.91666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L4P",1,1,"March 31, 2006","TORONTO",198,NA,NA,198,1,0,0.505050505050505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L7J",1,1,"September 30, 2006","TORONTO",31,NA,NA,31,1,0,0.419354838709677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V7A",1,1,"September 30, 2006","VANCOUVER",54,NA,NA,54,1,0,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H1S",5,3,"September 30, 2006","MONTRÉAL",184,NA,NA,2,92,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J0N",5,2,"June 30, 2006","MONTRÉAL",36,NA,NA,6,6,0.333333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J4G",5,2,"June 30, 2006","MONTRÉAL",3,NA,NA,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J6Y",2,1,"December 31, 2006","MONTRÉAL",4,NA,NA,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J6Y",5,3,"September 30, 2006","MONTRÉAL",14,NA,NA,2,7,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1265","nan",2,1,"June 30, 2006","OTTAWA",230,NA,NA,115,2,0,0.452173913043478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1400","G2E",5,2,"June 30, 2006","QUÉBEC",88,NA,NA,2,44,1.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L5A",5,3,"September 30, 2006","TORONTO",372,NA,NA,1,372,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M2N",4,3,"March 31, 2006","TORONTO",8,NA,NA,2,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M4B",1,1,"September 30, 2006","TORONTO",4,NA,NA,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V5G",4,3,"December 31, 2006","VANCOUVER",25,NA,NA,4,6.25,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2440","V8N",5,3,"June 30, 2006","VICTORIA",91,NA,NA,2,45.5,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J6W",5,3,"June 30, 2006","MONTRÉAL",14,NA,NA,2,7,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1400","G2B",2,1,"March 31, 2006","QUÉBEC",2,NA,NA,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1490","S4N",1,1,"December 31, 2006","REGINA",55,NA,NA,55,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L4T",1,1,"September 30, 2006","TORONTO",7,NA,NA,7,1,0,0.428571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M3H",5,3,"June 30, 2006","TORONTO",127,NA,NA,2,63.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V5Y",2,1,"September 30, 2006","VANCOUVER",2,NA,NA,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2680","R3V",1,1,"June 30, 2006","WINNIPEG",1,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","T5A",4,3,"September 30, 2006","EDMONTON",48,NA,NA,11,4.36363636363636,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0580","B3N",1,1,"March 31, 2006","HALIFAX",29,NA,NA,29,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H9H",5,2,"December 31, 2006","MONTRÉAL",211,NA,NA,3,70.3333333333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J6A",1,1,"June 30, 2006","MONTRÉAL",3,NA,NA,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1400","G0A",1,1,"June 30, 2006","QUÉBEC",286,NA,NA,286,1,0,0.167832167832168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0140","T2J",5,3,"June 30, 2006","CALGARY",240,NA,NA,1,240,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H7E",2,1,"December 31, 2006","MONTRÉAL",18,NA,NA,9,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J4T",5,2,"March 31, 2006","MONTRÉAL",6,NA,NA,2,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1400","G6V",5,1,"September 30, 2006","QUÉBEC",2,NA,NA,1,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L3T",4,3,"June 30, 2006","TORONTO",56,NA,NA,4,14,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L5K",1,1,"June 30, 2006","TORONTO",2,NA,NA,2,1,0,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
