"ref_yy","metcode","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time","reference_period_qq","ref_qq","population","starts_per_10kpop"
"1988","1400","June 30, 1988",NA,3575,NA,NA,2058,1.73712342079689,0,0.146614710180224,"1988-4","4",646773.443,55.2743783575542
"1988","1700","June 30, 1988","SASKATOON",693,NA,NA,466,1.48712446351931,0.0257510729613734,0.182212581344902,"1988-4","4",216113.54,32.0664776487396
"1988","1490","September 30, 1988","REGINA",659,NA,NA,382,1.72513089005236,0.0130890052356021,0.0951008645533141,"1988-4","4",195585.119,33.6937699232629
"1988","1060","June 30, 1988",NA,15564,NA,NA,7721,2.0158010620386,0.016707680352286,0.363080525562638,"1988-4","4",3351700.63,46.4361281574244
"1988","2410","June 30, 1988","VANCOUVER",11130,NA,NA,6699,1.66144200626959,0.00149276011344977,0.0906646751306946,"1988-4","4",1562206,71.2454055355056
"1988","0140","June 30, 1988","CALGARY",2562,NA,NA,2303,1.11246200607903,0,0.263135041250543,"1988-4","4",724449.865,35.3647660628662
"1988","2440","June 30, 1988",NA,1628,NA,NA,1029,1.5821185617104,0.00388726919339164,0.0963618485742379,"1988-4","4",283268.492,57.4719760925617
"1988","0340","June 30, 1988","EDMONTON",2807,NA,NA,2340,1.19957264957265,0.00555555555555556,0.0952991452991453,"1988-4","4",821466.779,34.170584517332
"1988","2680","June 30, 1988","WINNIPEG",2554,NA,NA,1823,1.4009873834339,0.00109709270433352,0.117582417582418,"1988-4","4",665928.947,38.3524400239054
"1988","0580","June 30, 1988",NA,1692,NA,NA,1076,1.5724907063197,0,0.137546468401487,"1988-4","4",326937.956,51.752938713546
"1988","0610","June 30, 1988",NA,3194,NA,NA,2550,1.25254901960784,0,0.0941176470588235,"1988-4","4",607581.042,52.5691188369897
"1988","1265","June 30, 1988",NA,5546,NA,NA,3054,1.81597904387688,0.00622134905042567,0.121470781352594,"1988-4","4",683074.4453,81.1917359544061
"1988","2270","June 30, 1988","TORONTO",21440,NA,NA,12932,1.65790287658522,0.00750077327559542,0.286699736474965,"1988-4","4",3917164.25,54.7334720518804
"1989","1060","March 31, 1989",NA,21654,NA,NA,12268,1.76507988262145,0.0258395826540593,0.684232160473528,"1989-4","4",3384308.91,63.983520936923
"1989","2680","March 31, 1989","WINNIPEG",2977,NA,NA,2212,1.34584086799277,0.00678119349005425,0.0520361990950226,"1989-4","4",670512.153,44.3988969727145
"1989","0340","March 31, 1989","EDMONTON",4817,NA,NA,4134,1.1652152878568,0,0.231384913897647,"1989-4","4",839681.228,57.3670083285463
"1989","0140","March 31, 1989","CALGARY",6228,NA,NA,5480,1.13649635036496,0,0.383576642335766,"1989-4","4",747414.603,83.3272453468507
"1989","1490","June 30, 1989","REGINA",597,NA,NA,448,1.33258928571429,0.00669642857142857,0.149367088607595,"1989-4","4",195307.253,30.5672211773927
"1989","1265","June 30, 1989",NA,5624,NA,NA,3699,1.52041092187078,0.00216274668829413,0.579232017306652,"1989-4","4",700786.3989,80.2526990938722
"1989","0580","September 30, 1989",NA,2694,NA,NA,1331,2.02404207362885,0,0.361382419233659,"1989-4","4",332122.421,81.1146682566185
"1989","2270","March 31, 1989",NA,35184,NA,NA,17024,2.06672932330827,0.0231437969924812,0.639265903458043,"1989-4","4",3983955.18,88.3142465473219
"1989","0610","March 31, 1989","HAMILTON",4183,NA,NA,2804,1.49179743223966,0,0.276034236804565,"1989-4","4",615293.795,67.9837832591827
"1989","1700","March 31, 1989","SASKATOON",488,NA,NA,416,1.17307692307692,0,0.213942307692308,"1989-4","4",215816.647,22.6117867543369
"1989","2440","March 31, 1989","VICTORIA",3247,NA,NA,1571,2.06683640992998,0,0.255251432208784,"1989-4","4",289992.005,111.968604099965
"1989","1400","March 31, 1989",NA,6300,NA,NA,3375,1.86666666666667,0,0.294222222222222,"1989-4","4",657101.771,95.8755595866443
"1989","2410","March 31, 1989","VANCOUVER",21834,NA,NA,11432,1.90990202939118,0.0220433869839048,0.389044452222611,"1989-4","4",1602542.22,136.24602040126
"1990","0580","June 30, 1990",NA,2647,NA,NA,1267,2.08918705603788,0,0.106635071090047,"1990-4","4",336873.735,78.5754342053411
"1990","1490","June 30, 1990","REGINA",471,NA,NA,336,1.40178571428571,0,0.39622641509434,"1990-4","4",195899.253,24.0429706998423
"1990","1265","June 30, 1990",NA,4860,NA,NA,2691,1.80602006688963,0.00148643626904496,0.939427722036418,"1990-4","4",716505.354,67.8292209942091
"1990","2680","March 31, 1990","WINNIPEG",2147,NA,NA,1926,1.1147455867082,0.00519210799584631,0.73208722741433,"1990-4","4",676292.541,31.7466165873327
"1990","0340","June 30, 1990","EDMONTON",5921,NA,NA,4949,1.19640331380077,0.00505152556071934,0.396039603960396,"1990-4","4",855178.476,69.2370091877757
"1990","2440","March 31, 1990",NA,2588,NA,NA,1376,1.88081395348837,0.00726744186046512,0.456395348837209,"1990-4","4",295354.935,87.6233877724102
"1990","1400","March 31, 1990",NA,5972,NA,NA,3590,1.66350974930362,0,0.381058495821727,"1990-4","4",667363.106,89.4865171045281
"1990","2270","June 30, 1990","TORONTO",18723,NA,NA,7506,2.49440447641887,0.0672795097255529,1.34090909090909,"1990-4","4",4024230.39,46.5256662404957
"1990","2410","March 31, 1990","VANCOUVER",17970,NA,NA,7473,2.40465676435167,0.0544627325036799,0.662471549069487,"1990-4","4",1640691.86,109.5269650451
"1990","1700","June 30, 1990","SASKATOON",410,NA,NA,275,1.49090909090909,0,0.341818181818182,"1990-4","4",217086.473,18.8864830836328
"1990","0610","March 31, 1990",NA,2969,NA,NA,1609,1.84524549409571,0,0.52827843380982,"1990-4","4",619584.027,47.9192469563132
"1990","1060","December 31, 1990",NA,21101,NA,NA,12050,1.75112033195021,0.0406639004149378,1.59065979724115,"1990-4","4",3408409.74,61.9086366065836
"1990","0140","March 31, 1990","CALGARY",7004,NA,NA,5814,1.2046783625731,0.00240798073615411,0.519516407599309,"1990-4","4",764404.198,91.6269169939854
"1991","1490","September 30, 1991","REGINA",189,NA,NA,168,1.125,0.0297619047619048,0.46969696969697,"1991-4","4",196775.477,9.60485538551128
"1991","0140","March 31, 1991","CALGARY",4750,NA,NA,4316,1.10055607043559,0,0.377896200185357,"1991-4","4",779040.068,60.9724736263501
