"","ref_yy","metcode","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time","ref_qq","population","starts_per_10kpop"
"1","1988","0140","December 31, 1988","CALGARY",2562,NA,NA,2303,1.11246200607903,0,0.263135041250543,4,"724449.865",35.3647660628662
"2","1988","0610","December 31, 1988",NA,3194,NA,NA,2550,1.25254901960784,0,0.0941176470588235,4,"607581.042",52.5691188369897
"3","1988","1265","December 31, 1988","OTTAWA",5546,NA,NA,3054,1.81597904387688,0.00622134905042567,0.121470781352594,4,"694702.2267506439",79.8327655568417
"4","1989","0140","September 30, 1989","CALGARY",6228,NA,NA,5480,1.13649635036496,0,0.383576642335766,4,"747414.603",83.3272453468507
"5","1989","0610","September 30, 1989",NA,4183,NA,NA,2804,1.49179743223966,0,0.276034236804565,4,"615293.795",67.9837832591827
"6","1989","1265","September 30, 1989",NA,5624,NA,NA,3699,1.52041092187078,0.00216274668829413,0.579232017306652,4,"712715.6858770581",78.9094461009257
"7","1990","0140","June 30, 1990","CALGARY",7004,NA,NA,5814,1.2046783625731,0.00240798073615411,0.519516407599309,4,"764404.198",91.6269169939854
"8","1990","0610","June 30, 1990",NA,2969,NA,NA,1609,1.84524549409571,0,0.52827843380982,4,"619584.027",47.9192469563132
"9","1990","1265","June 30, 1990",NA,4860,NA,NA,2691,1.80602006688963,0.00148643626904496,0.939427722036418,4,"728702.2202749951",66.6939095940445
"10","1991","0140","June 30, 1991","CALGARY",4750,NA,NA,4316,1.10055607043559,0,0.377896200185357,4,"779040.068",60.9724736263501
"11","1991","0610","June 30, 1991","HAMILTON",2498,NA,NA,961,2.5993756503642,0.00312174817898023,1.25494276795005,4,"623080.796",40.0911088262781
"12","1991","1265","June 30, 1991","OTTAWA",4475,NA,NA,2067,2.16497339138849,0,1.16787614900822,4,"742919.301303064",60.2353444331161
"13","1992","0140","June 30, 1992","CALGARY",7034,NA,NA,6264,1.12292464878672,0,0.279693486590038,4,"789289.723",89.1180994130339
"14","1992","0610","June 30, 1992","HAMILTON",2632,NA,NA,1365,1.92820512820513,0,1.49084249084249,4,"625032.573",42.1098053716954
"15","1992","1265","June 30, 1992","OTTAWA",5830,NA,NA,2854,2.0427470217239,0.0129642606867554,1.85459004905396,4,"755695.390365255",77.1474865975052
"16","1993","0140","June 30, 1993","CALGARY",6629,NA,NA,5576,1.18884505021521,0,0.296269727403156,4,"803617.45",82.4894979570192
"17","1993","0610","June 30, 1993",NA,2989,NA,NA,1751,1.70702455739577,0,1.32438606510565,4,"629796.445",47.4597788496567
"18","1993","1265","June 30, 1993",NA,4421,NA,NA,2281,1.93818500657606,0.0105217010083297,1.38579570363875,4,"768799.940831432",57.505207339361
"19","1994","0140","June 30, 1994","CALGARY",6877,NA,NA,5540,1.2413357400722,0,0.331407942238267,4,"820531.899",83.8114887231215
"20","1994","0610","June 30, 1994","HAMILTON",2833,NA,NA,1857,1.5255788906839,0,2.20516962843296,4,"636110.572",44.5362822864702
"21","1994","1265","June 30, 1994",NA,3929,NA,NA,2169,1.81143384047948,0.00829875518672199,0.79253112033195,4,"775980.530943761",50.6327136226148
"22","1995","0140","June 30, 1995","CALGARY",5685,NA,NA,4619,1.23078588439056,0,0.271920329075557,4,"839716.198",67.7014450065426
"23","1995","0610","June 30, 1995",NA,2001,NA,NA,1196,1.67307692307692,0,1.03595317725753,4,"642266.482",31.1552923292672
"24","1995","1265","September 30, 1995","OTTAWA",2190,NA,NA,1010,2.16831683168317,0.0178217821782178,0.637623762376238,4,"782396.123850674",27.9909362181091
"25","1996","0140","September 30, 1996","CALGARY",7111,NA,NA,6128,1.16041122715405,0,0.41693864229765,4,"867371.684",81.9833080924048
"26","1996","0610","September 30, 1996","HAMILTON",2642,NA,NA,1700,1.55411764705882,0,1.17823529411765,4,"650534.64",40.6127489229474
"27","1996","1265","September 30, 1996",NA,3066,NA,NA,1772,1.73024830699774,0.0107223476297968,0.774830699774266,4,"785571.60394019",39.0289056353599
"28","1997","0140","September 30, 1997","CALGARY",11215,NA,NA,9156,1.22487986020096,0,0.313346439493228,4,"899742.314",124.64679970581
"29","1997","0610","September 30, 1997",NA,3698,NA,NA,2505,1.47624750499002,0,0.447105788423154,4,"658022.6460000001",56.1986737459489
"30","1997","1265","September 30, 1997",NA,3485,NA,NA,2360,1.47669491525424,0.00296610169491525,0.39364406779661,4,"792121.760067447",43.9957614559567
"31","1998","0140","June 30, 1998","CALGARY",12495,NA,NA,9744,1.2823275862069,0.00236042692939245,0.303468801313629,4,"925463.0889999999",135.013488366147
"32","1998","0610","June 30, 1998",NA,3627,NA,NA,2079,1.74458874458874,0.037037037037037,0.5865,4,"665324.8119999999",54.5147262597506
"33","1998","1265","June 30, 1998",NA,3615,NA,NA,2543,1.42154935116005,0,0.454974439638223,4,"801983.019057478",45.0757673678489
"34","1999","0140","March 31, 1999","CALGARY",10600,NA,NA,7109,1.49106766071177,0.0060486706991138,0.296947531298354,4,"949842.56",111.597442001335
"35","1999","0610","September 30, 1999","HAMILTON",3923,NA,NA,2193,1.78887368901049,0,0.29945999018164,4,"674016.069",58.2033601338368
"36","1999","1265","September 30, 1999",NA,4447,NA,NA,3223,1.37977040024822,0,0.236735960285448,4,"815337.624011852",54.5418225411778
"37","2000","0140","September 30, 2000","CALGARY",11093,NA,NA,7287,1.52229998627693,0.00590091944558803,0.3095924248662,4,"974556.104",113.826181524794
"38","2000","0610","September 30, 2000","HAMILTON",3108,NA,NA,2113,1.47089446284903,0.00662565073355419,0.391134924500731,4,"687808.674",45.1869846584691
"39","2000","1265","September 30, 2000",NA,5786,NA,NA,3974,1.45596376446905,0,0.296930045294414,4,"833841.656138415",69.389673176025
"40","2001","0140","September 30, 2001","CALGARY",11349,NA,NA,8140,1.39422604422604,0.00135135135135135,0.311670761670762,4,"1004815.47",112.94611138899
"41","2001","0610","September 30, 2001","HAMILTON",3365,NA,NA,2057,1.63587749149246,0,0.381679389312977,4,"696023.087",48.3460974621378
"42","2001","1265","September 30, 2001","OTTAWA",6251,NA,NA,4049,1.54383798468758,0.00148184736972092,0.425537169671524,4,"854593",73.1459302849427
"43","2002","0140","September 30, 2002","CALGARY",14339,NA,NA,10076,1.42308455736403,0.000297737197300516,0.373957919809448,4,"1026949.07",139.627177421759
"44","2002","0610","September 30, 2002","HAMILTON",3803,NA,NA,2528,1.50435126582278,0,0.475993377483444,4,"703103.699",54.0887497165621
"45","2002","1265","September 30, 2002","OTTAWA",7796,NA,NA,4403,1.77061094708154,0.00340676811265047,0.507154213036566,4,"867412",89.8765523188519
