"ref_yy","metcode","dweltype","mkttycd","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price","reference_period_qq","ref_qq","population","starts_per_10kpop"
"1988","0580",1,0,"December 31, 1988",NA,1,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",326937.956,0.0305868432113156
"1988","0140",4,1,"December 31, 1988","CALGARY",21,NA,NA,3,7,0,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",724449.865,0.289875131662838
"1988","2270",1,2,"December 31, 1988","TORONTO",1,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3917164.25,0.0025528671665989
"1988","2410",4,2,"June 30, 1988","VANCOUVER",37,NA,NA,9,4.11111111111111,0,0.222222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",1562206,0.236844564673289
"1988","2440",1,1,"September 30, 1988","VICTORIA",965,NA,NA,965,1,0,0.0965372507869885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",283268.492,34.0666197354558
"1988","2440",4,0,"September 30, 1988","VICTORIA",12,NA,NA,1,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",283268.492,0.423626359404632
"1988","2270",2,2,"December 31, 1988",NA,6,NA,NA,3,2,0,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3917164.25,0.0153172029995934
"1988","1700",4,3,"September 30, 1988","SASKATOON",44,NA,NA,8,5.5,0,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",216113.54,2.03596683484061
"1988","1490",1,1,"September 30, 1988","REGINA",351,NA,NA,351,1,0,0.0965732087227414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",195585.119,17.9461505964572
"1988","1400",4,3,"September 30, 1988",NA,4,NA,NA,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",646773.443,0.0618454583021585
"1988","1060",2,3,"December 31, 1988",NA,2,NA,NA,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3351700.63,0.00596712004078956
"1988","2680",4,3,"December 31, 1988","WINNIPEG",33,NA,NA,1,33,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",665928.947,0.495548363660485
