"","ref_yy","CSDuid","date_pbi","metcode","metro","municipality","underconstr","num_structures","unitsperstructure","avgstorycount","ref_qq","population","underconstr_per_10kpop"
"1","1988","1209001","December 31, 1988","0580",NA,NA,39,37,1.05405405405405,0,4,"326937.956",1.19288688524131
"2","1988","1209008","December 31, 1988","0580","HALIFAX","EAST HANTS MD",78,46,1.69565217391304,0,4,"326937.956",2.38577377048262
"3","1988","1209012","December 31, 1988","0580",NA,NA,172,161,1.06832298136646,0,4,"326937.956",5.26093703234628
"4","1988","1209018","December 31, 1988","0580",NA,NA,65,51,1.27450980392157,0,4,"326937.956",1.98814480873551
"5","1988","1209021","December 31, 1988","0580",NA,NA,464,56,8.28571428571429,0,4,"326937.956",14.1922952500504
"6","1988","1209022","December 31, 1988","0580",NA,NA,256,56,4.57142857142857,0,4,"326937.956",7.8302318620968
"7","1988","1209024","December 31, 1988","0580",NA,NA,217,34,6.38235294117647,0,4,"326937.956",6.63734497685549
"8","1988","1209026","December 31, 1988","0580",NA,NA,80,79,1.0126582278481,0,4,"326937.956",2.44694745690525
"9","1988","2415780","December 31, 1988","1400",NA,NA,3,3,1,0,4,"646773.4430000001",0.0463840937266189
"10","1988","2416200","December 31, 1988","1400",NA,NA,1,1,1,0,4,"646773.4430000001",0.0154613645755396
"11","1988","2416400","December 31, 1988","1400",NA,NA,1,1,1,0,4,"646773.4430000001",0.0154613645755396
"12","1988","2416500","December 31, 1988","1400",NA,NA,7,5,1.4,0,4,"646773.4430000001",0.108229552028777
"13","1988","2416600","December 31, 1988","1400",NA,NA,3,3,1,0,4,"646773.4430000001",0.0463840937266189
"14","1988","2416700","December 31, 1988","1400",NA,NA,3,3,1,0,4,"646773.4430000001",0.0463840937266189
"15","1988","2417320","December 31, 1988","1400",NA,NA,1,1,1,0,4,"646773.4430000001",0.0154613645755396
"16","1988","2417360","December 31, 1988","1400",NA,NA,3,3,1,0,4,"646773.4430000001",0.0463840937266189
"17","1988","2417400","December 31, 1988","1400",NA,NA,7,7,1,0,4,"646773.4430000001",0.108229552028777
"18","1988","2417460","December 31, 1988","1400",NA,NA,8,8,1,0,4,"646773.4430000001",0.123690916604317
"19","1988","2420110","December 31, 1988","1400",NA,NA,140,70,2,0,4,"646773.4430000001",2.16459104057555
"20","1988","2420140","December 31, 1988","1400",NA,NA,200,52,3.84615384615385,0,4,"646773.4430000001",3.09227291510793
"21","1988","2420150","December 31, 1988","1400",NA,NA,11,10,1.1,0,4,"646773.4430000001",0.170075010330936
"22","1988","2420170","December 31, 1988","1400",NA,NA,26,23,1.1304347826087,0,4,"646773.4430000001",0.40199547896403
"23","1988","2420200","December 31, 1988","1400",NA,NA,5,5,1,0,4,"646773.4430000001",0.0773068228776981
"24","1988","2420230","December 31, 1988","1400",NA,NA,537,101,5.31683168316832,0,4,"646773.4430000001",8.30275277706478
"25","1988","2420260","December 31, 1988","1400",NA,NA,6,1,6,0,4,"646773.4430000001",0.0927681874532378
