reference_period,metro,metcode,stcan_cmacode,censustr,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time
1988,Calgary,0140,825,0049.02,2.0,,,1,2.0,0.0,12.0,1.0
1988,Calgary,0140,825,0049.01,104.0,,,2,52.0,0.0,9.0,4.0
1988,Calgary,0140,825,0007.01,3.0,,,1,3.0,0.0,10.0,1.0
1988,Calgary,0140,825,0024.00,8.0,,,2,4.0,20.0,11.0,1.0
1988,Calgary,0140,825,0042.00,104.0,,,1,104.0,0.0,19.0,0.0
1988,Calgary,0140,825,0077.04,37.0,,,5,7.4,0.0,11.0,2.0
1988,Calgary,0140,825,0000.00,2200.0,,,2109,1.04,0.0,5.720245398773006,1.0
1988,Calgary,0140,825,0001.09,22.0,,,1,22.0,2.0,9.0,4.0
1989,Calgary,0140,825,0038.19,2.0,,,2,1.0,0.0,,0.0
1989,Calgary,0140,825,0007.02,16.0,,,4,4.0,0.0,,1.0
1989,Calgary,0140,825,0024.00,4.0,,,1,4.0,2.0,8.0,0.0
1989,Calgary,0140,825,0002.01,4.0,,,4,1.0,0.0,,0.0
1989,Calgary,0140,825,0001.12,1.0,,,1,1.0,0.0,,0.0
1989,Calgary,0140,825,0037.00,4.0,,,1,4.0,0.0,5.0,0.0
1989,Calgary,0140,825,0000.00,4704.0,,,4630,1.02,0.0,4.483555845001628,0.0
1989,Calgary,0140,825,0049.02,1.0,,,1,1.0,0.0,,0.0
1989,Calgary,0140,825,0038.12,20.0,,,1,20.0,0.0,7.0,1.0
1989,Calgary,0140,825,0058.00,9.0,,,1,9.0,0.0,6.0,4.0
1989,Calgary,0140,825,0022.00,187.0,,,48,3.9,0.04,4.083333333333333,1.0
1989,Calgary,0140,825,0041.00,62.0,,,3,20.67,1.0,6.666666666666667,1.0
1990,Calgary,0140,825,0002.01,81.0,,,81,1.0,0.0,3.540983606557377,0.0
1990,Calgary,0140,825,0077.06,26.0,,,26,1.0,0.0,3.64,0.0
1990,Calgary,0140,825,0022.00,57.0,,,16,3.56,0.0,8.875,-1.0
1990,Calgary,0140,825,0076.04,8.0,,,8,1.0,0.0,3.5714285714285716,0.0
1990,Calgary,0140,825,0019.00,1.0,,,1,1.0,0.0,,0.0
1990,Calgary,0140,825,0047.00,3.0,,,2,1.5,0.0,4.5,1.0
1990,Calgary,0140,825,0027.00,10.0,,,3,3.33,0.0,5.0,2.0
1990,Calgary,0140,825,0064.00,1.0,,,1,1.0,0.0,6.0,3.0
1990,Calgary,0140,825,0029.00,18.0,,,8,2.25,0.0,6.625,0.0
1990,Calgary,0140,825,0038.19,75.0,,,75,1.0,0.0,3.14,0.0
1990,Calgary,0140,825,0058.00,3.0,,,1,3.0,0.0,7.0,1.0
1990,Calgary,0140,825,0001.13,10.0,,,9,1.11,0.0,3.25,0.0
1990,Calgary,0140,825,0044.00,6.0,,,1,6.0,0.0,5.0,0.0
1990,Calgary,0140,825,0045.00,44.0,,,8,5.5,0.0,8.125,-1.0
1990,Calgary,0140,825,0046.00,7.0,,,1,7.0,0.0,5.0,2.0
1990,Calgary,0140,825,0056.00,2.0,,,2,1.0,0.0,4.5,0.0
1990,Calgary,0140,825,0076.07,2.0,,,2,1.0,0.0,3.0,0.0
