reference_period,stcan_cmacode,metro,metcode,FSA,dweltype,mkttycd,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time,bachelor_units,one_bedrooms,two_bedrooms,three_bedrooms,four_bedrooms,tot_units,total_avg_unitsize_sqm,total_avg_unitsize_sqft,total_avg_price,total_min_price,total_max_price
1988,825,Calgary,0140,nan,1.0,1.0,2018.0,,,2018,1.0,0.0,5.682406209573092,1.0,,,,,,,,,,,
1988,825,Calgary,0140,nan,4.0,1.0,102.0,,,8,12.75,0.25,10.125,2.0,,,,,,,,,,,
1988,825,Calgary,0140,nan,5.0,4.0,104.0,,,1,104.0,0.0,19.0,0.0,,,,,,,,,,,
1988,825,Calgary,0140,nan,5.0,2.0,72.0,,,3,24.0,13.33,11.0,2.0,,,,,,,,,,,
1988,825,Calgary,0140,nan,2.0,1.0,184.0,,,92,2.0,0.0,6.482352941176471,1.0,,,,,,,,,,,
1989,825,Calgary,0140,nan,5.0,1.0,8.0,,,2,4.0,1.0,7.5,3.0,,,,,,,,,,,
1989,825,Calgary,0140,nan,1.0,1.0,4497.0,,,4497,1.0,0.0,4.460632570659489,0.0,,,,,,,,,,,
1989,825,Calgary,0140,nan,5.0,2.0,8.0,,,2,4.0,1.0,4.5,1.0,,,,,,,,,,,
1989,825,Calgary,0140,nan,1.0,2.0,67.0,,,67,1.0,0.0,3.3448275862068964,1.0,,,,,,,,,,,
1989,825,Calgary,0140,nan,2.0,2.0,14.0,,,7,2.0,0.0,4.666666666666667,3.0,,,,,,,,,,,
1989,825,Calgary,0140,nan,4.0,1.0,62.0,,,15,4.13,0.2,4.454545454545454,0.0,,,,,,,,,,,
1989,825,Calgary,0140,nan,2.0,1.0,134.0,,,67,2.0,0.0,6.046875,0.0,,,,,,,,,,,
1989,825,Calgary,0140,nan,4.0,2.0,224.0,,,40,5.6,0.0,4.225,1.0,,,,,,,,,,,
1990,825,Calgary,0140,nan,1.0,1.0,6409.0,,,6409,1.0,0.0,4.562770562770563,0.0,,,,,,,,,,,
1990,825,Calgary,0140,nan,2.0,3.0,148.0,,,74,2.0,0.0,5.907692307692308,-1.0,,,,,,,,,,,
1990,825,Calgary,0140,nan,1.0,3.0,2.0,,,2,1.0,0.0,4.5,1.0,,,,,,,,,,,
1990,825,Calgary,0140,nan,5.0,1.0,1.0,,,1,1.0,0.0,5.0,2.0,,,,,,,,,,,
1990,825,Calgary,0140,nan,5.0,2.0,257.0,,,11,23.36,0.0,7.2727272727272725,0.0,,,,,,,,,,,
1990,825,Calgary,0140,nan,2.0,1.0,330.0,,,165,2.0,0.0,13.75,1.0,,,,,,,,,,,
1990,825,Calgary,0140,nan,2.0,2.0,14.0,,,7,2.0,0.0,7.5,1.0,,,,,,,,,,,
1990,825,Calgary,0140,,1.0,1.0,1.0,,,1,1.0,0.0,,1.0,,,,,,,,,,,
1990,825,Calgary,0140,nan,4.0,3.0,175.0,,,40,4.38,0.0,7.564102564102564,0.0,,,,,,,,,,,
1990,825,Calgary,0140,nan,4.0,1.0,127.0,,,30,4.23,0.0,5.133333333333334,3.0,,,,,,,,,,,
1990,825,Calgary,0140,nan,1.0,2.0,20.0,,,20,1.0,0.0,4.384615384615385,1.0,,,,,,,,,,,
1990,825,Calgary,0140,nan,5.0,3.0,25.0,,,5,5.0,0.0,7.0,-1.0,,,,,,,,,,,
1991,825,Calgary,0140,nan,1.0,1.0,4005.0,,,4005,1.0,0.0,4.375498007968128,0.0,,,,,,,,,,,
1991,825,Calgary,0140,nan,2.0,1.0,135.0,,,68,1.99,0.0,4.972222222222222,1.0,,,,,,,,,,,
1991,825,Calgary,0140,nan,4.0,2.0,91.0,,,21,4.33,0.0,12.047619047619047,0.0,,,,,,,,,,,
1991,825,Calgary,0140,nan,2.0,3.0,22.0,,,11,2.0,0.0,11.454545454545455,0.0,,,,,,,,,,,
1991,825,Calgary,0140,nan,4.0,3.0,209.0,,,41,5.1,0.0,11.512820512820513,-2.0,,,,,,,,,,,
1991,825,Calgary,0140,nan,5.0,4.0,41.0,,,1,41.0,0.0,6.0,1.0,,,,,,,,,,,
1991,825,Calgary,0140,nan,5.0,3.0,388.0,,,32,12.13,0.38,12.612903225806452,-10.0,,,,,,,,,,,
1991,825,Calgary,0140,nan,2.0,2.0,24.0,,,12,2.0,0.0,6.4,0.0,,,,,,,,,,,
1991,825,Calgary,0140,nan,4.0,1.0,9.0,,,2,4.5,0.0,4.0,1.0,,,,,,,,,,,
1991,825,Calgary,0140,nan,5.0,2.0,141.0,,,11,12.82,0.45,7.363636363636363,1.0,,,,,,,,,,,
1992,825,Calgary,0140,nan,1.0,1.0,5561.0,,,5561,1.0,0.0,4.600135089496792,0.0,,,,,,,,,,,
1992,825,Calgary,0140,nan,2.0,2.0,20.0,,,10,2.0,0.0,13.1,-7.0,,,,,,,,,,,
1992,825,Calgary,0140,nan,5.0,2.0,50.0,,,4,12.5,0.0,8.0,1.0,,,,,,,,,,,
1992,825,Calgary,0140,nan,4.0,1.0,10.0,,,3,3.33,0.0,5.5,1.0,,,,,,,,,,,
1992,825,Calgary,0140,nan,5.0,1.0,26.0,,,3,8.67,0.0,6.0,1.0,,,,,,,,,,,
1992,825,Calgary,0140,nan,2.0,1.0,280.0,,,140,2.0,0.0,5.308510638297872,0.0,,,,,,,,,,,
1992,825,Calgary,0140,nan,4.0,3.0,382.0,,,90,4.24,0.0,7.4941176470588236,-2.0,,,,,,,,,,,
1992,825,Calgary,0140,nan,5.0,3.0,72.0,,,10,7.2,0.0,7.5,1.0,,,,,,,,,,,
1992,825,Calgary,0140,nan,2.0,3.0,40.0,,,20,2.0,0.0,7.8125,0.0,,,,,,,,,,,
1992,825,Calgary,0140,nan,4.0,2.0,65.0,,,14,4.64,0.0,14.785714285714286,-11.0,,,,,,,,,,,
1992,825,Calgary,0140,nan,1.0,2.0,3.0,,,3,1.0,0.0,12.333333333333334,-9.0,,,,,,,,,,,
1993,825,Calgary,0140,nan,2.0,2.0,6.0,,,3,2.0,0.0,5.5,1.0,,,,,,,,,,,
1993,825,Calgary,0140,nan,4.0,1.0,8.0,,,2,4.0,0.0,13.5,1.0,,,,,,,,,,,
1993,825,Calgary,0140,nan,5.0,3.0,27.0,,,5,5.4,0.0,5.8,0.0,,,,,,,,,,,
1993,825,Calgary,0140,nan,1.0,1.0,5147.0,,,5147,1.0,0.0,4.243008079552517,0.0,,,,,,,,,,,
1993,825,Calgary,0140,nan,5.0,2.0,89.0,,,4,22.25,0.0,7.75,1.0,,,,,,,,,,,
1993,825,Calgary,0140,nan,5.0,1.0,4.0,,,1,4.0,0.0,3.0,0.0,,,,,,,,,,,
1993,825,Calgary,0140,nan,1.0,3.0,16.0,,,16,1.0,0.0,6.6875,0.0,,,,,,,,,,,
1993,825,Calgary,0140,nan,4.0,4.0,62.0,,,11,5.64,0.0,5.818181818181818,1.0,,,,,,,,,,,
1993,825,Calgary,0140,nan,4.0,2.0,73.0,,,10,7.3,0.0,5.6,1.0,,,,,,,,,,,
1993,825,Calgary,0140,nan,4.0,3.0,518.0,,,119,4.35,0.0,8.851851851851851,1.0,,,,,,,,,,,
1993,825,Calgary,0140,nan,2.0,1.0,206.0,,,103,2.0,0.0,6.541666666666667,0.0,,,,,,,,,,,
1993,825,Calgary,0140,nan,2.0,3.0,130.0,,,65,2.0,0.0,6.26984126984127,1.0,,,,,,,,,,,
1994,825,Calgary,0140,nan,2.0,3.0,122.0,,,61,2.0,0.0,12.363636363636363,2.0,,,,,,,,,,,
1994,825,Calgary,0140,nan,1.0,1.0,5583.0,,,5583,1.0,0.0,4.371707605800533,0.0,,,,,,,,,,,
1994,825,Calgary,0140,nan,1.0,3.0,1.0,,,1,1.0,0.0,,0.0,,,,,,,,,,,
1994,825,Calgary,0140,nan,2.0,2.0,14.0,,,7,2.0,0.0,7.857142857142857,2.0,,,,,,,,,,,
1994,825,Calgary,0140,nan,4.0,3.0,661.0,,,144,4.59,0.0,9.188976377952756,2.0,,,,,,,,,,,
1994,825,Calgary,0140,nan,4.0,1.0,31.0,,,5,6.2,0.0,11.8,1.0,,,,,,,,,,,
1994,825,Calgary,0140,nan,5.0,3.0,119.0,,,11,10.82,0.0,13.5,-1.0,,,,,,,,,,,
1994,825,Calgary,0140,nan,4.0,2.0,118.0,,,4,29.5,0.0,8.0,3.0,,,,,,,,,,,
1994,825,Calgary,0140,nan,2.0,1.0,174.0,,,87,2.0,0.0,7.0375,0.0,,,,,,,,,,,
1995,825,Calgary,0140,nan,5.0,3.0,557.0,,,14,39.79,0.0,11.714285714285714,1.0,,,,,,,,,,,
1995,825,Calgary,0140,nan,2.0,3.0,128.0,,,64,2.0,0.0,7.766666666666667,1.0,,,,,,,,,,,
