reference_period,metcode,metro,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time,population,comp_per_10kpop
1988,0140,Calgary,2480.0,,,2122,1.17,0.02,5.7632379793061475,0.77,724449.87,34.23
1989,0140,Calgary,5014.0,,,4697,1.07,0.0,4.482085732565579,0.42,747414.6,67.08
1990,0140,Calgary,7509.0,,,6765,1.11,0.0,4.90970894412577,0.37,764404.2,98.23
1991,0140,Calgary,5065.0,,,4204,1.2,0.0,4.766712770862148,0.39,779040.07,65.02
1992,0140,Calgary,6509.0,,,5858,1.11,0.0,4.8069353327085285,0.2,789289.72,82.47
1993,0140,Calgary,6286.0,,,5486,1.15,0.0,4.513857466063349,0.24,803617.45,78.22
1994,0140,Calgary,6823.0,,,5903,1.16,0.0,4.761320240043644,0.31,820531.9,83.15
1995,0140,Calgary,5674.0,,,4493,1.26,0.0,5.18486795146324,0.28,839716.2,67.57
1996,0140,Calgary,6781.0,,,5636,1.2,0.0,5.1600871222433975,0.39,867371.68,78.18
1997,0140,Calgary,9185.0,,,7970,1.15,0.0,4.58130081300813,0.36,899742.31,102.08
1998,0140,Calgary,12111.0,,,9972,1.21,0.0,4.481125270497715,0.28,925463.09,130.86
1999,0140,Calgary,9655.0,,,7571,1.28,0.01,4.6354621848739495,0.28,949842.56,101.65
2000,0140,Calgary,10729.0,,,7311,1.47,0.03,5.041718225207707,0.3,974556.1,110.09
2001,0140,Calgary,11080.0,,,7391,1.5,0.02,4.797841020608439,0.28,1004815.47,110.27
2002,0140,Calgary,12630.0,,,9028,1.4,0.02,4.918767507002801,0.34,1026949.07,122.99
2003,0140,Calgary,14287.0,,,9679,1.48,0.02,5.278872319582018,0.44,1049550.64,136.12
2004,0140,Calgary,13014.0,,,8992,1.45,0.0,5.4839827874731055,0.4,1083762.24,120.08
2005,0140,Calgary,12814.0,,,8661,1.48,0.0,5.412414131501472,0.37,1120692.72,114.34
2006,0140,Calgary,12690.0,,,8838,1.44,0.01,6.1904376948839355,0.72,1151604.22,110.19
2007,0140,Calgary,13112.0,,,9856,1.33,0.01,7.898113981139812,0.88,1183363.88,110.8
2008,0140,Calgary,14195.0,,,7725,1.84,0.03,8.31444313262495,0.75,1217803.53,116.56
2009,0140,Calgary,8238.0,,,4916,1.68,0.01,7.593045717965229,0.84,1237706.53,66.56
2010,0140,Calgary,10991.0,,10991.0,6962,1.58,0.03,6.225601653624686,0.77,1259794.84,87.24
2011,0140,Calgary,7689.0,,7689.0,5486,1.4,0.01,6.303355957767723,0.65,1294993.91,59.37
2012,0140,Calgary,9593.0,,9593.0,6120,1.57,0.02,6.537540070862156,0.44,1339347.88,71.62
2013,0140,Calgary,12056.0,,12056.0,7063,1.71,0.04,6.661306678255831,0.39,1382962.75,87.18
2014,0140,Calgary,13753.0,,13753.0,7489,1.84,0.05,6.907702702702703,0.42,1410896.5,97.48
2015,0140,Calgary,14543.0,,14543.0,6732,2.16,0.07,7.603915662650603,0.51,1435513.81,101.31
2016,0140,Calgary,13239.0,,13239.0,4571,2.9,0.14,8.063150897407489,0.54,1455343.75,90.97
2017,0140,Calgary,11014.0,,11014.0,4901,2.25,0.09,6.950755224498241,1.03,1479844.06,74.43
2018,0140,Calgary,9732.0,26.0,9706.0,5244,1.86,0.06,6.666925767586475,0.87,1510785.75,64.42
2019,0140,Calgary,11134.0,99.0,11035.0,4613,2.41,0.1,7.241186970102633,1.03,1540598.94,72.27
2020,0140,Calgary,10705.0,160.0,10545.0,4904,2.18,0.09,6.928349554773245,1.07,1553935.06,68.89
2021,0140,Calgary,10774.0,134.0,10640.0,5130,2.1,0.09,6.200873362445415,1.23,1598936.31,67.38
2022,0140,Calgary,13641.0,384.0,13257.0,6236,2.19,0.09,7.631067961165049,1.41,1674560.42,81.46
2023,0140,Calgary,15111.0,842.0,14269.0,7917,1.91,0.05,8.380272715687523,1.72,1753690.0,86.17
1988,0340,Edmonton,2421.0,,,2289,1.06,0.0,4.535048231511254,0.37,821466.78,29.47
1989,0340,Edmonton,4167.0,,,3644,1.14,0.0,4.558950395398994,0.18,839681.23,49.63
1990,0340,Edmonton,5977.0,,,5126,1.17,0.01,4.795291039895356,0.27,855178.48,69.89
1991,0340,Edmonton,4333.0,,,3415,1.27,0.02,5.311349693251533,0.5,867285.29,49.96
1992,0340,Edmonton,5819.0,,,4509,1.29,0.0,4.684952497701501,0.4,875231.65,66.49
1993,0340,Edmonton,6751.0,,,5011,1.35,0.0,4.591474797759801,0.22,877513.39,76.93
1994,0340,Edmonton,6007.0,,,3927,1.53,0.0,4.998881014546811,0.3,878697.77,68.36
1995,0340,Edmonton,3103.0,,,2271,1.37,0.0,5.002038043478261,0.45,884326.84,35.09
1996,0340,Edmonton,3619.0,,,2980,1.21,0.0,4.8751807228915665,0.46,896539.38,40.37
1997,0340,Edmonton,4143.0,,,3576,1.16,0.0,4.548536209553158,0.33,915045.9,45.28
1998,0340,Edmonton,5359.0,,,4263,1.26,0.0,4.692844147968466,0.54,930636.07,57.58
1999,0340,Edmonton,5639.0,,,4132,1.36,0.0,4.375598850207601,0.33,946094.38,59.6
2000,0340,Edmonton,6367.0,,,4476,1.42,0.0,4.663842579939875,0.3,959720.91,66.34
2001,0340,Edmonton,7493.0,,,4855,1.54,0.01,4.415584415584416,0.32,982239.87,76.28
2002,0340,Edmonton,8614.0,,,5861,1.47,0.0,4.872753942060872,0.4,998763.73,86.25
2003,0340,Edmonton,11587.0,,,7576,1.53,0.0,5.454791920835028,0.48,1014137.09,114.25
2004,0340,Edmonton,11980.0,,,7072,1.69,0.01,5.598702638950317,0.5,1038096.58,115.4
2005,0340,Edmonton,11290.0,,,7551,1.5,0.02,5.467193030220528,0.54,1070187.23,105.5
2006,0340,Edmonton,12175.0,,,7829,1.56,0.03,6.3346333853354135,0.5,1100795.81,110.6
2007,0340,Edmonton,11839.0,,,8409,1.41,0.01,8.435928580104457,0.68,1127964.75,104.96
2008,0340,Edmonton,11217.0,,,7197,1.56,0.01,10.476653970940895,0.84,1160416.13,96.66
