reference_period,metro,metcode,dweltype,mkttycd,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time,bachelor_units,one_bedrooms,two_bedrooms,three_bedrooms,four_bedrooms,tot_units,total_avg_unitsize_sqm,total_avg_unitsize_sqft,total_avg_price,total_min_price,total_max_price,population,comp_per_10kpop
1988,Calgary,0140,1.0,1.0,2018.0,,,2018,1.0,0.0,5.682406209573092,0.76,,,,,,,,,,,,724449.87,27.86
1988,Calgary,0140,5.0,4.0,104.0,,,1,104.0,0.0,19.0,0.0,,,,,,,,,,,,724449.87,1.44
1988,Calgary,0140,5.0,2.0,72.0,,,3,24.0,13.33,11.0,2.33,,,,,,,,,,,,724449.87,0.99
1988,Calgary,0140,4.0,1.0,102.0,,,8,12.75,0.25,10.125,2.13,,,,,,,,,,,,724449.87,1.41
1988,Calgary,0140,2.0,1.0,184.0,,,92,2.0,0.0,6.482352941176471,0.7,,,,,,,,,,,,724449.87,2.54
1989,Calgary,0140,2.0,1.0,134.0,,,67,2.0,0.0,6.046875,0.33,,,,,,,,,,,,747414.6,1.79
1989,Calgary,0140,5.0,1.0,8.0,,,2,4.0,1.0,7.5,2.5,,,,,,,,,,,,747414.6,0.11
1989,Calgary,0140,1.0,1.0,4497.0,,,4497,1.0,0.0,4.460632570659489,0.41,,,,,,,,,,,,747414.6,60.17
1989,Calgary,0140,2.0,2.0,14.0,,,7,2.0,0.0,4.666666666666667,2.86,,,,,,,,,,,,747414.6,0.19
1989,Calgary,0140,1.0,2.0,67.0,,,67,1.0,0.0,3.3448275862068964,0.55,,,,,,,,,,,,747414.6,0.9
1989,Calgary,0140,4.0,2.0,224.0,,,40,5.6,0.0,4.225,1.0,,,,,,,,,,,,747414.6,3.0
1989,Calgary,0140,5.0,2.0,8.0,,,2,4.0,1.0,4.5,1.0,,,,,,,,,,,,747414.6,0.11
1989,Calgary,0140,4.0,1.0,62.0,,,15,4.13,0.2,4.454545454545454,0.27,,,,,,,,,,,,747414.6,0.83
1990,Calgary,0140,5.0,3.0,25.0,,,5,5.0,0.0,7.0,-1.0,,,,,,,,,,,,764404.2,0.33
1990,Calgary,0140,1.0,1.0,6410.0,,,6410,1.0,0.0,4.562770562770563,0.38,,,,,,,,,,,,764404.2,83.86
1990,Calgary,0140,2.0,1.0,330.0,,,165,2.0,0.0,13.75,0.73,,,,,,,,,,,,764404.2,4.32
1990,Calgary,0140,2.0,2.0,14.0,,,7,2.0,0.0,7.5,1.29,,,,,,,,,,,,764404.2,0.18
1990,Calgary,0140,5.0,1.0,1.0,,,1,1.0,0.0,5.0,2.0,,,,,,,,,,,,764404.2,0.01
1990,Calgary,0140,2.0,3.0,148.0,,,74,2.0,0.0,5.907692307692308,-1.47,,,,,,,,,,,,764404.2,1.94
1990,Calgary,0140,4.0,1.0,127.0,,,30,4.23,0.0,5.133333333333334,2.5,,,,,,,,,,,,764404.2,1.66
1990,Calgary,0140,1.0,3.0,2.0,,,2,1.0,0.0,4.5,0.5,,,,,,,,,,,,764404.2,0.03
1990,Calgary,0140,1.0,2.0,20.0,,,20,1.0,0.0,4.384615384615385,0.65,,,,,,,,,,,,764404.2,0.26
1990,Calgary,0140,5.0,2.0,257.0,,,11,23.36,0.0,7.2727272727272725,0.0,,,,,,,,,,,,764404.2,3.36
1990,Calgary,0140,4.0,3.0,175.0,,,40,4.38,0.0,7.564102564102564,-0.4,,,,,,,,,,,,764404.2,2.29
1991,Calgary,0140,4.0,1.0,9.0,,,2,4.5,0.0,4.0,1.0,,,,,,,,,,,,779040.07,0.12
1991,Calgary,0140,4.0,3.0,209.0,,,41,5.1,0.0,11.512820512820513,-2.07,,,,,,,,,,,,779040.07,2.68
1991,Calgary,0140,2.0,3.0,22.0,,,11,2.0,0.0,11.454545454545455,0.0,,,,,,,,,,,,779040.07,0.28
1991,Calgary,0140,5.0,4.0,41.0,,,1,41.0,0.0,6.0,1.0,,,,,,,,,,,,779040.07,0.53
1991,Calgary,0140,5.0,3.0,388.0,,,32,12.13,0.38,12.612903225806452,-9.59,,,,,,,,,,,,779040.07,4.98
1991,Calgary,0140,1.0,1.0,4005.0,,,4005,1.0,0.0,4.375498007968128,0.49,,,,,,,,,,,,779040.07,51.41
1991,Calgary,0140,2.0,1.0,135.0,,,68,1.99,0.0,4.972222222222222,0.81,,,,,,,,,,,,779040.07,1.73
1991,Calgary,0140,4.0,2.0,91.0,,,21,4.33,0.0,12.047619047619047,0.33,,,,,,,,,,,,779040.07,1.17
1991,Calgary,0140,5.0,2.0,141.0,,,11,12.82,0.45,7.363636363636363,0.82,,,,,,,,,,,,779040.07,1.81
1991,Calgary,0140,2.0,2.0,24.0,,,12,2.0,0.0,6.4,-0.08,,,,,,,,,,,,779040.07,0.31
1992,Calgary,0140,2.0,2.0,20.0,,,10,2.0,0.0,13.1,-6.9,,,,,,,,,,,,789289.72,0.25
1992,Calgary,0140,2.0,1.0,280.0,,,140,2.0,0.0,5.308510638297872,0.16,,,,,,,,,,,,789289.72,3.55
1992,Calgary,0140,4.0,2.0,65.0,,,14,4.64,0.0,14.785714285714286,-10.64,,,,,,,,,,,,789289.72,0.82
1992,Calgary,0140,4.0,3.0,382.0,,,90,4.24,0.0,7.4941176470588236,-2.34,,,,,,,,,,,,789289.72,4.84
1992,Calgary,0140,5.0,1.0,26.0,,,3,8.67,0.0,6.0,1.0,,,,,,,,,,,,789289.72,0.33
1992,Calgary,0140,5.0,2.0,50.0,,,4,12.5,0.0,8.0,0.5,,,,,,,,,,,,789289.72,0.63
1992,Calgary,0140,5.0,3.0,72.0,,,10,7.2,0.0,7.5,1.3,,,,,,,,,,,,789289.72,0.91
1992,Calgary,0140,1.0,2.0,3.0,,,3,1.0,0.0,12.333333333333334,-9.33,,,,,,,,,,,,789289.72,0.04
1992,Calgary,0140,2.0,3.0,40.0,,,20,2.0,0.0,7.8125,-0.05,,,,,,,,,,,,789289.72,0.51
1992,Calgary,0140,1.0,1.0,5561.0,,,5561,1.0,0.0,4.600135089496792,0.29,,,,,,,,,,,,789289.72,70.46
1992,Calgary,0140,4.0,1.0,10.0,,,3,3.33,0.0,5.5,1.33,,,,,,,,,,,,789289.72,0.13
1993,Calgary,0140,4.0,1.0,8.0,,,2,4.0,0.0,13.5,0.5,,,,,,,,,,,,803617.45,0.1
