reference_period,ref_qq,metro,metcode,dweltype,mkttycd,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,bachelor_units,one_bedrooms,two_bedrooms,three_bedrooms,four_bedrooms,tot_units,total_avg_unitsize_sqm,total_avg_unitsize_sqft,total_avg_price,total_min_price,total_max_price,avgpermit_to_start_time,population,comp_per_10kpop
1988-06-01,2,Calgary,0140,2.0,1.0,8.0,,,4,2.0,0.0,11.0,,,,,,,,,,,,0.0,724449.87,0.11
1988-06-01,2,Calgary,0140,4.0,1.0,160.0,,,4,40.0,0.0,7.0,,,,,,,,,,,,3.0,724449.87,2.21
1988-06-01,2,Calgary,0140,5.0,2.0,256.0,,,4,64.0,0.0,11.0,,,,,,,,,,,,5.0,724449.87,3.53
1988-06-01,2,Calgary,0140,1.0,1.0,580.0,,,580,1.0,0.0,5.640625,,,,,,,,,,,,1.42,724449.87,8.01
1988-06-01,2,Calgary,0140,5.0,4.0,416.0,,,4,104.0,0.0,19.0,,,,,,,,,,,,0.0,724449.87,5.74
1988-07-01,3,Calgary,0140,2.0,1.0,288.0,,,144,2.0,0.0,9.057142857142857,,,,,,,,,,,,1.28,724449.87,3.98
1988-08-01,3,Calgary,0140,1.0,1.0,3564.0,,,3564,1.0,0.0,5.378419452887538,,,,,,,,,,,,0.81,724449.87,49.2
1988-09-01,3,Calgary,0140,4.0,1.0,12.0,,,4,3.0,0.0,10.0,,,,,,,,,,,,1.0,724449.87,0.17
1988-10-01,4,Calgary,0140,1.0,1.0,3928.0,,,3928,1.0,0.0,5.9526315789473685,,,,,,,,,,,,0.62,724449.87,54.22
1988-11-01,4,Calgary,0140,2.0,1.0,440.0,,,220,2.0,0.0,4.551020408163265,,,,,,,,,,,,0.33,724449.87,6.07
1988-11-01,4,Calgary,0140,4.0,1.0,236.0,,,24,9.83,0.33,10.666666666666666,,,,,,,,,,,,2.17,724449.87,3.26
1988-12-01,4,Calgary,0140,5.0,2.0,32.0,,,8,4.0,20.0,11.0,,,,,,,,,,,,1.0,724449.87,0.44
1989-02-01,1,Calgary,0140,1.0,2.0,4.0,,,4,1.0,0.0,3.0,,,,,,,,,,,,2.0,747414.6,0.05
1989-02-01,1,Calgary,0140,1.0,1.0,2728.0,,,2728,1.0,0.0,4.733333333333333,,,,,,,,,,,,0.57,747414.6,36.5
1989-03-01,1,Calgary,0140,5.0,1.0,16.0,,,4,4.0,2.0,8.0,,,,,,,,,,,,0.0,747414.6,0.21
1989-03-01,1,Calgary,0140,2.0,1.0,8.0,,,4,2.0,0.0,4.0,,,,,,,,,,,,0.0,747414.6,0.11
1989-04-01,2,Calgary,0140,1.0,1.0,5020.0,,,5020,1.0,0.0,4.67843631778058,,,,,,,,,,,,0.45,747414.6,67.16
1989-04-01,2,Calgary,0140,2.0,1.0,304.0,,,152,2.0,0.0,6.631578947368421,,,,,,,,,,,,0.16,747414.6,4.07
1989-05-01,2,Calgary,0140,1.0,2.0,92.0,,,92,1.0,0.0,,,,,,,,,,,,,0.96,747414.6,1.23
1989-06-01,2,Calgary,0140,2.0,2.0,24.0,,,12,2.0,0.0,3.0,,,,,,,,,,,,5.67,747414.6,0.32
1989-07-01,3,Calgary,0140,4.0,2.0,896.0,,,160,5.6,0.0,4.225,,,,,,,,,,,,1.0,747414.6,11.99
1989-07-01,3,Calgary,0140,2.0,2.0,24.0,,,12,2.0,0.0,5.666666666666667,,,,,,,,,,,,1.0,747414.6,0.32
1989-07-01,3,Calgary,0140,4.0,1.0,124.0,,,24,5.17,0.5,6.0,,,,,,,,,,,,1.67,747414.6,1.66
1989-08-01,3,Calgary,0140,1.0,2.0,112.0,,,112,1.0,0.0,3.2666666666666666,,,,,,,,,,,,0.25,747414.6,1.5
1989-08-01,3,Calgary,0140,5.0,1.0,16.0,,,4,4.0,0.0,7.0,,,,,,,,,,,,5.0,747414.6,0.21
1989-08-01,3,Calgary,0140,1.0,1.0,5196.0,,,5196,1.0,0.0,4.2004950495049505,,,,,,,,,,,,0.32,747414.6,69.52
1989-08-01,3,Calgary,0140,2.0,1.0,48.0,,,24,2.0,0.0,7.5,,,,,,,,,,,,1.17,747414.6,0.64
1989-10-01,4,Calgary,0140,2.0,2.0,8.0,,,4,2.0,0.0,5.0,,,,,,,,,,,,0.0,747414.6,0.11
1989-11-01,4,Calgary,0140,2.0,1.0,176.0,,,88,2.0,0.0,4.809523809523809,,,,,,,,,,,,0.41,747414.6,2.35
1989-11-01,4,Calgary,0140,5.0,2.0,32.0,,,8,4.0,1.0,4.5,,,,,,,,,,,,1.0,747414.6,0.43
