reference_period,metro,stcan_cmacode,censustr,metcode,inventory,structures,unitsperstructure,avgstorycount,inventory_per_10kpop
1988,Calgary,825,0001.09,0140,7.0,1,7.0,2.0,0.1
1988,Calgary,825,0000.00,0140,109.0,398,0.27,0.0,1.5
1988,Calgary,825,0044.00,0140,2.0,1,2.0,26.0,0.03
1989,Calgary,825,0000.00,0140,347.0,627,0.55,0.0,4.64
1989,Calgary,825,0049.02,0140,0.0,1,0.0,0.0,0.0
1989,Calgary,825,0038.19,0140,2.0,2,1.0,0.0,0.03
1989,Calgary,825,0058.00,0140,2.0,1,2.0,0.0,0.03
1989,Calgary,825,0002.01,0140,0.0,4,0.0,0.0,0.0
1989,Calgary,825,0001.12,0140,0.0,1,0.0,0.0,0.0
1989,Calgary,825,0022.00,0140,12.0,4,3.0,0.0,0.16
1990,Calgary,825,0001.12,0140,4.0,4,1.0,0.0,0.05
1990,Calgary,825,0002.01,0140,1.0,1,1.0,0.0,0.01
1990,Calgary,825,0077.03,0140,8.0,6,1.33,0.0,0.1
1990,Calgary,825,0077.06,0140,3.0,3,1.0,0.0,0.04
1990,Calgary,825,0022.00,0140,2.0,2,1.0,0.0,0.03
1990,Calgary,825,0002.00,0140,12.0,4,3.0,0.0,0.16
1990,Calgary,825,0027.00,0140,8.0,3,2.67,0.0,0.1
1990,Calgary,825,0029.00,0140,2.0,2,1.0,0.0,0.03
1990,Calgary,825,0063.00,0140,1.0,2,0.5,0.0,0.01
1990,Calgary,825,0046.00,0140,3.0,1,3.0,0.0,0.04
1990,Calgary,825,0038.00,0140,5.0,1,5.0,0.0,0.07
1990,Calgary,825,0049.02,0140,0.0,2,0.0,0.0,0.0
1990,Calgary,825,0030.00,0140,2.0,1,2.0,0.0,0.03
1990,Calgary,825,0047.00,0140,2.0,1,2.0,0.0,0.03
1990,Calgary,825,0044.00,0140,1.0,1,1.0,0.0,0.01
1990,Calgary,825,0045.00,0140,3.0,1,3.0,0.0,0.04
1990,Calgary,825,0058.00,0140,1.0,1,1.0,0.0,0.01
1990,Calgary,825,0001.01,0140,3.0,1,3.0,0.0,0.04
1990,Calgary,825,0000.00,0140,498.0,897,0.56,0.0,6.51
1990,Calgary,825,0014.00,0140,5.0,4,1.25,0.0,0.07
1990,Calgary,825,0062.00,0140,6.0,1,6.0,0.0,0.08
1990,Calgary,825,0077.05,0140,5.0,7,0.71,0.0,0.07
1991,Calgary,825,0029.00,0140,9.0,6,1.5,0.0,0.12
