reference_period,metcode,metro,FSA,inventory,num_structures,unitsperstructure,avgstorycnt
1988,0140,Calgary,nan,118.0,400,0.3,0.07
1989,0140,Calgary,nan,363.0,640,0.57,0.0
1990,0140,Calgary,nan,574.0,945,0.61,0.0
1990,0140,Calgary,,1.0,1,1.0,0.0
1991,0140,Calgary,nan,645.0,900,0.72,0.01
1992,0140,Calgary,nan,554.0,916,0.6,0.0
1993,0140,Calgary,nan,641.0,1016,0.63,0.0
1994,0140,Calgary,nan,671.0,969,0.69,0.0
1995,0140,Calgary,nan,976.0,1132,0.86,0.0
1996,0140,Calgary,nan,692.0,1051,0.66,0.0
1997,0140,Calgary,nan,551.0,1274,0.43,0.0
1998,0140,Calgary,nan,865.0,1642,0.53,0.01
1999,0140,Calgary,,0.0,3,0.0,0.0
1999,0140,Calgary,nan,1150.0,1549,0.74,0.04
2000,0140,Calgary,nan,1319.0,1557,0.85,0.11
2001,0140,Calgary,nan,1123.0,1565,0.72,0.1
2002,0140,Calgary,nan,866.0,1417,0.61,0.08
2003,0140,Calgary,nan,1149.0,1687,0.68,0.04
2004,0140,Calgary,nan,1186.0,1699,0.7,0.01
2005,0140,Calgary,nan,794.0,1350,0.59,0.0
2006,0140,Calgary,T2G,0.0,1,0.0,0.0
2006,0140,Calgary,T2H,0.0,1,0.0,0.0
2006,0140,Calgary,T2V,1.0,2,0.5,0.0
2006,0140,Calgary,T3E,2.0,4,0.5,0.0
2006,0140,Calgary,T2L,0.0,1,0.0,0.0
2006,0140,Calgary,T2T,1.0,9,0.11,0.0
2006,0140,Calgary,T2S,0.0,5,0.0,0.0
2006,0140,Calgary,T2Y,3.0,6,0.5,0.0
2006,0140,Calgary,T2C,0.0,32,0.0,0.0
2006,0140,Calgary,T3B,0.0,1,0.0,0.0
2006,0140,Calgary,nan,525.0,1054,0.5,0.0
2006,0140,Calgary,T2M,1.0,2,0.5,0.0
2006,0140,Calgary,T2E,9.0,4,2.25,0.75
2006,0140,Calgary,T2N,1.0,14,0.07,0.0
2007,0140,Calgary,T3B,1.0,1,1.0,0.0
2007,0140,Calgary,T4C,2.0,19,0.11,0.0
2007,0140,Calgary,T0M,0.0,1,0.0,0.0
2007,0140,Calgary,T2E,13.0,13,1.0,0.23
2007,0140,Calgary,T2C,11.0,47,0.23,0.0
2007,0140,Calgary,T2K,0.0,2,0.0,0.0
2007,0140,Calgary,T2T,2.0,10,0.2,0.0
2007,0140,Calgary,T3E,6.0,6,1.0,0.0
2007,0140,Calgary,T2Y,2.0,9,0.22,0.0
2007,0140,Calgary,T2H,3.0,1,3.0,0.0
2007,0140,Calgary,T2M,1.0,5,0.2,0.0
2007,0140,Calgary,T2N,8.0,14,0.57,0.0
2007,0140,Calgary,T2S,0.0,3,0.0,0.0
2007,0140,Calgary,T2V,4.0,7,0.57,0.0
2007,0140,Calgary,nan,507.0,1272,0.4,0.0
2008,0140,Calgary,T3J,1.0,2,0.5,0.0
2008,0140,Calgary,T0M,0.0,1,0.0,0.0
2008,0140,Calgary,T2J,1.0,4,0.25,0.0
2008,0140,Calgary,T2L,0.0,1,0.0,0.0
2008,0140,Calgary,T2S,1.0,5,0.2,0.0
2008,0140,Calgary,T2Y,0.0,1,0.0,0.0
2008,0140,Calgary,T3C,2.0,2,1.0,0.0
2008,0140,Calgary,T2T,11.0,35,0.31,0.0
2008,0140,Calgary,T3E,16.0,24,0.67,0.0
2008,0140,Calgary,T2C,30.0,32,0.94,0.13
2008,0140,Calgary,T2H,2.0,1,2.0,0.0
2008,0140,Calgary,T2V,2.0,3,0.67,0.0
