reference_period,metcode,metro,FSA,dweltype,mkttycd,inventory,num_structures,unitsperstructure,avgstorycnt
1988,0140,Calgary,nan,1.0,1.0,95.0,368,0.26,0.0
1988,0140,Calgary,nan,2.0,1.0,14.0,30,0.47,0.0
1988,0140,Calgary,nan,5.0,3.0,2.0,1,2.0,26.0
1988,0140,Calgary,nan,4.0,1.0,7.0,1,7.0,2.0
1989,0140,Calgary,nan,1.0,1.0,325.0,619,0.53,0.0
1989,0140,Calgary,nan,2.0,1.0,24.0,16,1.5,0.0
1989,0140,Calgary,nan,4.0,1.0,14.0,5,2.8,0.0
1990,0140,Calgary,,1.0,1.0,1.0,1,1.0,0.0
1990,0140,Calgary,nan,1.0,1.0,488.0,888,0.55,0.0
1990,0140,Calgary,nan,2.0,1.0,25.0,24,1.04,0.0
1990,0140,Calgary,nan,2.0,3.0,17.0,18,0.94,0.0
1990,0140,Calgary,nan,4.0,3.0,41.0,14,2.93,0.0
1990,0140,Calgary,nan,5.0,3.0,3.0,1,3.0,0.0
1991,0140,Calgary,nan,1.0,1.0,486.0,821,0.59,0.0
1991,0140,Calgary,nan,2.0,1.0,57.0,43,1.33,0.0
1991,0140,Calgary,nan,5.0,3.0,21.0,5,4.2,2.4
1991,0140,Calgary,nan,2.0,3.0,12.0,9,1.33,0.0
1991,0140,Calgary,nan,4.0,1.0,4.0,1,4.0,0.0
1991,0140,Calgary,nan,4.0,3.0,65.0,21,3.1,0.0
1992,0140,Calgary,nan,2.0,3.0,10.0,9,1.11,0.0
1992,0140,Calgary,nan,2.0,1.0,49.0,54,0.91,0.0
1992,0140,Calgary,nan,4.0,3.0,113.0,49,2.31,0.0
1992,0140,Calgary,nan,1.0,1.0,344.0,797,0.43,0.0
1992,0140,Calgary,nan,5.0,3.0,38.0,7,5.43,0.0
1993,0140,Calgary,nan,4.0,1.0,3.0,2,1.5,0.0
1993,0140,Calgary,nan,1.0,1.0,474.0,893,0.53,0.0
1993,0140,Calgary,nan,5.0,3.0,15.0,5,3.0,0.0
1993,0140,Calgary,nan,2.0,1.0,58.0,60,0.97,0.0
1993,0140,Calgary,nan,1.0,3.0,4.0,5,0.8,0.0
1993,0140,Calgary,nan,4.0,3.0,73.0,38,1.92,0.0
1993,0140,Calgary,nan,2.0,3.0,14.0,13,1.08,0.0
1994,0140,Calgary,nan,4.0,1.0,3.0,2,1.5,0.0
1994,0140,Calgary,nan,1.0,3.0,1.0,2,0.5,0.0
1994,0140,Calgary,nan,2.0,3.0,29.0,25,1.16,0.0
1994,0140,Calgary,nan,4.0,3.0,67.0,41,1.63,0.0
1994,0140,Calgary,nan,1.0,1.0,521.0,864,0.6,0.0
1994,0140,Calgary,nan,5.0,3.0,15.0,4,3.75,0.0
