reference_period,metcode,metro,inventory,num_structures,unitsperstructure,avgstorycnt,inventory_per_10kpop
1988,0140,Calgary,118.0,400,0.3,0.07,1.63
1989,0140,Calgary,363.0,640,0.57,0.0,4.86
1990,0140,Calgary,575.0,946,0.61,0.0,7.52
1991,0140,Calgary,645.0,900,0.72,0.01,8.28
1992,0140,Calgary,554.0,916,0.6,0.0,7.02
1993,0140,Calgary,641.0,1016,0.63,0.0,7.98
1994,0140,Calgary,671.0,969,0.69,0.0,8.18
1995,0140,Calgary,976.0,1132,0.86,0.0,11.62
1996,0140,Calgary,692.0,1051,0.66,0.0,7.98
1997,0140,Calgary,551.0,1274,0.43,0.0,6.12
1998,0140,Calgary,865.0,1642,0.53,0.01,9.35
1999,0140,Calgary,1150.0,1552,0.74,0.04,12.11
2000,0140,Calgary,1319.0,1557,0.85,0.11,13.53
2001,0140,Calgary,1123.0,1565,0.72,0.1,11.18
2002,0140,Calgary,866.0,1417,0.61,0.08,8.43
2003,0140,Calgary,1149.0,1687,0.68,0.04,10.95
2004,0140,Calgary,1186.0,1699,0.7,0.01,10.94
2005,0140,Calgary,794.0,1350,0.59,0.0,7.08
2006,0140,Calgary,543.0,1136,0.48,0.0,4.72
2007,0140,Calgary,560.0,1410,0.4,0.0,4.73
2008,0140,Calgary,1008.0,1292,0.78,0.01,8.28
2009,0140,Calgary,898.0,490,1.83,0.05,7.26
2010,0140,Calgary,1130.0,503,2.25,0.53,8.97
2011,0140,Calgary,954.0,617,1.55,0.37,7.37
2012,0140,Calgary,864.0,542,1.59,0.3,6.45
2013,0140,Calgary,515.0,456,1.13,0.09,3.72
2014,0140,Calgary,451.0,417,1.08,0.01,3.2
2015,0140,Calgary,807.0,503,1.6,0.17,5.62
2016,0140,Calgary,1510.0,617,2.45,0.47,10.38
2017,0140,Calgary,2030.0,728,2.79,0.62,13.72
2018,0140,Calgary,2105.0,968,2.17,0.44,13.93
2019,0140,Calgary,2217.0,1117,1.98,0.37,14.39
2020,0140,Calgary,1942.0,815,2.38,0.46,12.5
2021,0140,Calgary,1019.0,555,1.84,0.43,6.37
2022,0140,Calgary,680.0,534,1.27,0.19,4.06
2023,0140,Calgary,831.0,659,1.26,0.13,4.74
1988,0340,Edmonton,189.0,466,0.41,0.0,2.3
1989,0340,Edmonton,168.0,591,0.28,0.01,2.0
1990,0340,Edmonton,492.0,786,0.63,0.04,5.75
1991,0340,Edmonton,554.0,778,0.71,0.01,6.39
1992,0340,Edmonton,758.0,1061,0.71,0.0,8.66
1993,0340,Edmonton,1267.0,1398,0.91,0.02,14.44
1994,0340,Edmonton,1593.0,1316,1.21,0.02,18.13
1995,0340,Edmonton,1472.0,1021,1.44,0.02,16.65
1996,0340,Edmonton,1046.0,906,1.15,0.0,11.67
1997,0340,Edmonton,658.0,873,0.75,0.0,7.19
1998,0340,Edmonton,741.0,1134,0.65,0.0,7.96
1999,0340,Edmonton,742.0,970,0.76,0.0,7.84
2000,0340,Edmonton,877.0,1143,0.77,0.0,9.14
2001,0340,Edmonton,674.0,1030,0.65,0.0,6.86
2002,0340,Edmonton,481.0,958,0.5,0.0,4.82
