reference_period,ref_qq,metcode,metro,inventory,num_structures,unitsperstructure,avgstorycnt,inventory_per_10kpop
1988-06-01,2,0140,Calgary,172.0,306,0.56,0.08,2.41
1988-09-01,3,0140,Calgary,137.0,550,0.25,0.05,1.9
1988-12-01,4,0140,Calgary,118.0,400,0.3,0.07,1.63
1989-03-01,1,0140,Calgary,146.0,339,0.43,0.01,2.0
1989-06-01,2,0140,Calgary,233.0,618,0.38,0.0,3.17
1989-09-01,3,0140,Calgary,290.0,742,0.39,0.0,3.91
1989-12-01,4,0140,Calgary,363.0,640,0.57,0.0,4.86
1990-03-01,1,0140,Calgary,426.0,893,0.48,0.0,5.66
1990-06-01,2,0140,Calgary,585.0,1150,0.51,0.0,7.73
1990-09-01,3,0140,Calgary,634.0,1255,0.51,0.0,8.34
1990-12-01,4,0140,Calgary,575.0,946,0.61,0.0,7.52
1991-03-01,1,0140,Calgary,519.0,700,0.74,0.01,6.76
1991-06-01,2,0140,Calgary,663.0,803,0.83,0.01,8.59
1991-09-01,3,0140,Calgary,689.0,1013,0.68,0.01,8.88
1991-12-01,4,0140,Calgary,645.0,900,0.72,0.01,8.28
1992-03-01,1,0140,Calgary,614.0,925,0.66,0.0,7.85
1992-06-01,2,0140,Calgary,614.0,1106,0.56,0.0,7.82
1992-09-01,3,0140,Calgary,516.0,1087,0.47,0.0,6.56
1992-12-01,4,0140,Calgary,554.0,916,0.6,0.0,7.02
1993-03-01,1,0140,Calgary,581.0,815,0.71,0.0,7.33
1993-06-01,2,0140,Calgary,716.0,1088,0.66,0.0,9.0
1993-09-01,3,0140,Calgary,683.0,1125,0.61,0.0,8.54
1993-12-01,4,0140,Calgary,641.0,1016,0.63,0.0,7.98
1994-03-01,1,0140,Calgary,739.0,965,0.77,0.0,9.15
1994-06-01,2,0140,Calgary,669.0,1200,0.56,0.0,8.24
1994-09-01,3,0140,Calgary,727.0,1270,0.57,0.0,8.91
1994-12-01,4,0140,Calgary,671.0,969,0.69,0.0,8.18
1995-03-01,1,0140,Calgary,938.0,1120,0.84,0.0,11.37
1995-06-01,2,0140,Calgary,906.0,1343,0.67,0.0,10.92
1995-09-01,3,0140,Calgary,758.0,1286,0.59,0.0,9.09
1995-12-01,4,0140,Calgary,976.0,1132,0.86,0.0,11.62
1996-03-01,1,0140,Calgary,974.0,1137,0.86,0.0,11.52
1996-06-01,2,0140,Calgary,885.0,1252,0.71,0.0,10.38
1996-09-01,3,0140,Calgary,754.0,1200,0.63,0.0,8.77
1996-12-01,4,0140,Calgary,692.0,1051,0.66,0.0,7.98
1997-03-01,1,0140,Calgary,669.0,981,0.68,0.0,7.65
1997-06-01,2,0140,Calgary,604.0,1198,0.5,0.0,6.84
1997-09-01,3,0140,Calgary,567.0,1298,0.44,0.0,6.36
1997-12-01,4,0140,Calgary,551.0,1274,0.43,0.0,6.12
1998-03-01,1,0140,Calgary,616.0,1186,0.52,0.0,6.79
1998-06-01,2,0140,Calgary,701.0,1414,0.5,0.0,7.67
1998-09-01,3,0140,Calgary,785.0,1667,0.47,0.0,8.54
1998-12-01,4,0140,Calgary,865.0,1642,0.53,0.01,9.35
1999-03-01,1,0140,Calgary,1062.0,1526,0.7,0.02,11.4
1999-06-01,2,0140,Calgary,1093.0,1529,0.71,0.02,11.65
1999-09-01,3,0140,Calgary,1041.0,1506,0.69,0.02,11.03
1999-12-01,4,0140,Calgary,1150.0,1552,0.74,0.04,12.11
2000-03-01,1,0140,Calgary,1219.0,1516,0.8,0.07,12.75
2000-06-01,2,0140,Calgary,1338.0,1721,0.78,0.06,13.9
2000-09-01,3,0140,Calgary,1245.0,1737,0.72,0.07,12.86
2000-12-01,4,0140,Calgary,1319.0,1557,0.85,0.11,13.53
2001-03-01,1,0140,Calgary,1614.0,1585,1.02,0.13,16.45
2001-06-01,2,0140,Calgary,1513.0,1647,0.92,0.11,15.31
2001-09-01,3,0140,Calgary,1318.0,1671,0.79,0.1,13.21
2001-12-01,4,0140,Calgary,1123.0,1565,0.72,0.1,11.18
2002-03-01,1,0140,Calgary,1022.0,1446,0.71,0.1,10.11
2002-06-01,2,0140,Calgary,952.0,1526,0.62,0.09,9.36
