"ref_yy","metcode","censustr","date_pbi","metro","stcan_cmacode","inventory","num_structures","unitsperstructure","avgstorycount","full_ct"
"2006","0140","0000.00","December 31, 2006","CALGARY","825",40,39,1.02564102564103,0,"8250000.00"
"2006","0140","0001.21","December 31, 2006","CALGARY","825",12,22,0.545454545454545,0,"8250001.21"
"2006","0140","0001.24","December 31, 2006","CALGARY","825",77,86,0.895348837209302,0,"8250001.24"
"2006","0140","0001.26","December 31, 2006","CALGARY","825",4,7,0.571428571428571,0,"8250001.26"
"2006","0140","0002.04","December 31, 2006","CALGARY","825",0,32,0,0,"8250002.04"
"2006","0140","0002.13","December 31, 2006","CALGARY","825",83,197,0.421319796954315,0,"8250002.13"
"2006","0140","0013.00","December 31, 2006","CALGARY","825",1,1,1,0,"8250013.00"
"2006","0140","0020.00","December 31, 2006","CALGARY","825",0,1,0,0,"8250020.00"
"2006","0140","0021.00","December 31, 2006","CALGARY","825",1,1,1,0,"8250021.00"
"2006","0140","0022.00","December 31, 2006","CALGARY","825",2,3,0.666666666666667,0,"8250022.00"
"2006","0140","0023.00","December 31, 2006","CALGARY","825",2,7,0.285714285714286,0,"8250023.00"
"2006","0140","0024.00","December 31, 2006","CALGARY","825",1,1,1,0,"8250024.00"
"2006","0140","0025.00","December 31, 2006","CALGARY","825",0,2,0,0,"8250025.00"
"2006","0140","0027.00","December 31, 2006","CALGARY","825",0,1,0,0,"8250027.00"
"2006","0140","0028.00","December 31, 2006","CALGARY","825",0,5,0,0,"8250028.00"
"2006","0140","0029.00","December 31, 2006","CALGARY","825",1,2,0.5,0,"8250029.00"
"2006","0140","0030.00","December 31, 2006","CALGARY","825",0,1,0,0,"8250030.00"
"2006","0140","0033.02","December 31, 2006","CALGARY","825",2,2,1,0,"8250033.02"
"2006","0140","0034.00","December 31, 2006","CALGARY","825",0,1,0,0,"8250034.00"
"2006","0140","0038.26","December 31, 2006","CALGARY","825",32,97,0.329896907216495,0,"8250038.26"
"2006","0140","0041.00","December 31, 2006","CALGARY","825",7,1,7,3,"8250041.00"
"2006","0140","0050.02","December 31, 2006","CALGARY","825",44,71,0.619718309859155,0,"8250050.02"
"2006","0140","0052.08","December 31, 2006","CALGARY","825",17,32,0.53125,0,"8250052.08"
"2006","0140","0053.00","December 31, 2006","CALGARY","825",0,1,0,0,"8250053.00"
"2006","0140","0054.00","December 31, 2006","CALGARY","825",0,7,0,0,"8250054.00"
"2006","0140","0055.00","December 31, 2006","CALGARY","825",0,1,0,0,"8250055.00"
"2006","0140","0056.00","December 31, 2006","CALGARY","825",1,2,0.5,0,"8250056.00"
"2006","0140","0057.00","December 31, 2006","CALGARY","825",1,3,0.333333333333333,0,"8250057.00"
"2006","0140","0058.00","December 31, 2006","CALGARY","825",0,2,0,0,"8250058.00"
"2006","0140","0059.00","December 31, 2006","CALGARY","825",1,2,0.5,0,"8250059.00"
"2006","0140","0060.00","December 31, 2006","CALGARY","825",1,1,1,0,"8250060.00"
"2006","0140","0062.00","December 31, 2006","CALGARY","825",2,2,1,0,"8250062.00"
"2006","0140","0063.00","December 31, 2006","CALGARY","825",1,2,0.5,0,"8250063.00"
"2006","0140","0064.00","December 31, 2006","CALGARY","825",1,1,1,0,"8250064.00"
"2006","0140","0070.00","December 31, 2006","CALGARY","825",0,1,0,0,"8250070.00"
"2006","0140","0072.00","December 31, 2006","CALGARY","825",2,2,1,0,"8250072.00"
"2006","0140","0076.10","December 31, 2006","CALGARY","825",42,86,0.488372093023256,0,"8250076.10"
"2006","0140","0076.11","December 31, 2006","CALGARY","825",30,68,0.441176470588235,0,"8250076.11"
"2006","0140","0076.13","December 31, 2006","CALGARY","825",2,2,1,0,"8250076.13"
"2006","0140","0077.10","December 31, 2006","CALGARY","825",24,36,0.666666666666667,0,"8250077.10"
"2006","0140","0077.15","December 31, 2006","CALGARY","825",5,44,0.113636363636364,0,"8250077.15"
"2006","0140","0200.01","December 31, 2006","CALGARY","825",4,9,0.444444444444444,0,"8250200.01"
"2006","0140","0201.00","December 31, 2006","CALGARY","825",3,9,0.333333333333333,0,"8250201.00"
"2006","0140","0202.00","December 31, 2006","CALGARY","825",2,10,0.2,0,"8250202.00"
"2006","0140","0203.00","December 31, 2006","CALGARY","825",0,1,0,0,"8250203.00"
"2006","0140","0204.00","December 31, 2006","CALGARY","825",20,73,0.273972602739726,0,"8250204.00"
