"ref_yy","metcode","censustr","dweltype","mkttycd","date_pbi","metro","stcan_cmacode","inventory","num_structures","unitsperstructure","avgstorycount","full_ct"
"2006","0140","%07.2f0.0",1,1,"December 31, 2006","CALGARY","825",29,29,1,0,"825%07.2f0.0"
"2006","0140","%07.2f0.0",2,1,"December 31, 2006","CALGARY","825",9,9,1,0,"825%07.2f0.0"
"2006","0140","%07.2f0.0",2,3,"December 31, 2006","CALGARY","825",2,1,2,0,"825%07.2f0.0"
"2006","0140","%07.2f1.21",1,1,"December 31, 2006","CALGARY","825",12,22,0.545454545454545,0,"825%07.2f1.21"
"2006","0140","%07.2f1.24",1,1,"December 31, 2006","CALGARY","825",66,78,0.846153846153846,0,"825%07.2f1.24"
"2006","0140","%07.2f1.24",2,1,"December 31, 2006","CALGARY","825",11,8,1.375,0,"825%07.2f1.24"
"2006","0140","%07.2f1.2599999999999998",1,1,"December 31, 2006","CALGARY","825",1,4,0.25,0,"825%07.2f1.2599999999999998"
"2006","0140","%07.2f1.2599999999999998",2,1,"December 31, 2006","CALGARY","825",3,3,1,0,"825%07.2f1.2599999999999998"
"2006","0140","%07.2f2.0399999999999996",1,1,"December 31, 2006","CALGARY","825",0,32,0,0,"825%07.2f2.0399999999999996"
"2006","0140","%07.2f2.13",1,1,"December 31, 2006","CALGARY","825",80,182,0.43956043956044,0,"825%07.2f2.13"
"2006","0140","%07.2f2.13",2,1,"December 31, 2006","CALGARY","825",3,15,0.2,0,"825%07.2f2.13"
"2006","0140","%07.2f13.0",2,1,"December 31, 2006","CALGARY","825",1,1,1,0,"825%07.2f13.0"
"2006","0140","%07.2f20.0",1,1,"December 31, 2006","CALGARY","825",0,1,0,0,"825%07.2f20.0"
"2006","0140","%07.2f21.0",2,1,"December 31, 2006","CALGARY","825",1,1,1,0,"825%07.2f21.0"
"2006","0140","%07.2f22.0",1,1,"December 31, 2006","CALGARY","825",2,3,0.666666666666667,0,"825%07.2f22.0"
"2006","0140","%07.2f23.0",1,1,"December 31, 2006","CALGARY","825",0,3,0,0,"825%07.2f23.0"
"2006","0140","%07.2f23.0",2,1,"December 31, 2006","CALGARY","825",2,4,0.5,0,"825%07.2f23.0"
"2006","0140","%07.2f24.0",1,1,"December 31, 2006","CALGARY","825",1,1,1,0,"825%07.2f24.0"
"2006","0140","%07.2f25.0",2,1,"December 31, 2006","CALGARY","825",0,2,0,0,"825%07.2f25.0"
"2006","0140","%07.2f27.0",1,1,"December 31, 2006","CALGARY","825",0,1,0,0,"825%07.2f27.0"
"2006","0140","%07.2f28.0",1,1,"December 31, 2006","CALGARY","825",0,5,0,0,"825%07.2f28.0"
"2006","0140","%07.2f29.0",1,1,"December 31, 2006","CALGARY","825",0,1,0,0,"825%07.2f29.0"
"2006","0140","%07.2f29.0",2,1,"December 31, 2006","CALGARY","825",1,1,1,0,"825%07.2f29.0"
"2006","0140","%07.2f30.0",2,1,"December 31, 2006","CALGARY","825",0,1,0,0,"825%07.2f30.0"
"2006","0140","%07.2f33.019999999999996",2,1,"December 31, 2006","CALGARY","825",2,2,1,0,"825%07.2f33.019999999999996"
"2006","0140","%07.2f34.0",1,1,"December 31, 2006","CALGARY","825",0,1,0,0,"825%07.2f34.0"
"2006","0140","%07.2f38.26",1,1,"December 31, 2006","CALGARY","825",17,87,0.195402298850575,0,"825%07.2f38.26"
"2006","0140","%07.2f38.26",2,1,"December 31, 2006","CALGARY","825",15,10,1.5,0,"825%07.2f38.26"
"2006","0140","%07.2f41.0",5,3,"December 31, 2006","CALGARY","825",7,1,7,3,"825%07.2f41.0"
"2006","0140","%07.2f50.019999999999996",1,1,"December 31, 2006","CALGARY","825",38,64,0.59375,0,"825%07.2f50.019999999999996"
"2006","0140","%07.2f50.019999999999996",2,1,"December 31, 2006","CALGARY","825",3,4,0.75,0,"825%07.2f50.019999999999996"
"2006","0140","%07.2f50.019999999999996",2,3,"December 31, 2006","CALGARY","825",0,1,0,0,"825%07.2f50.019999999999996"
