"ref_yy","CSDuid","date_pbi","metcode","metro","municipality","inventory","num_structures","unitsperstructure","avgstorycount","X_c0","ref_qq","met_name","population","stcan_cmacode","inventory_per_10kpop"
"1988","1209001","December 31, 1988","0580",NA,NA,19,25,0.76,0,361,4,"Halifax",326937.956,205,0.581150021014996
"1988","1209008","December 31, 1988","0580","HALIFAX","EAST HANTS MD",42,56,0.75,0,361,4,"Halifax",326937.956,205,1.28464741487526
"1988","1209012","December 31, 1988","0580",NA,NA,45,60,0.75,0,361,4,"Halifax",326937.956,205,1.3764079445092
"1988","1209018","December 31, 1988","0580",NA,NA,45,47,0.957446808510638,0,361,4,"Halifax",326937.956,205,1.3764079445092
"1988","1209021","December 31, 1988","0580",NA,NA,197,60,3.28333333333333,0,361,4,"Halifax",326937.956,205,6.02560811262917
"1988","1209022","December 31, 1988","0580",NA,NA,77,41,1.8780487804878,0,361,4,"Halifax",326937.956,205,2.3551869272713
"1988","1209024","December 31, 1988","0580",NA,NA,61,70,0.871428571428571,0,361,4,"Halifax",326937.956,205,1.86579743589025
"1988","1209026","December 31, 1988","0580",NA,NA,29,46,0.630434782608696,0,361,4,"Halifax",326937.956,205,0.887018453128153
"1988","2416500","December 31, 1988","1400",NA,NA,0,1,0,0,1579,4,"Quebec",646773.443,421,0
"1988","2416600","December 31, 1988","1400",NA,NA,1,1,1,0,1579,4,"Quebec",646773.443,421,0.0154613645755396
"1988","2416700","December 31, 1988","1400",NA,NA,1,1,1,0,1579,4,"Quebec",646773.443,421,0.0154613645755396
"1988","2417360","December 31, 1988","1400",NA,NA,0,4,0,0,1579,4,"Quebec",646773.443,421,0
"1988","2417400","December 31, 1988","1400",NA,NA,2,5,0.4,0,1579,4,"Quebec",646773.443,421,0.0309227291510793
"1988","2417460","December 31, 1988","1400",NA,NA,0,1,0,0,1579,4,"Quebec",646773.443,421,0
"1988","2420110","December 31, 1988","1400",NA,NA,34,61,0.557377049180328,0,1579,4,"Quebec",646773.443,421,0.525686395568347
"1988","2420140","December 31, 1988","1400",NA,NA,164,61,2.68852459016393,0,1579,4,"Quebec",646773.443,421,2.5356637903885
"1988","2420150","December 31, 1988","1400",NA,NA,2,8,0.25,0,1579,4,"Quebec",646773.443,421,0.0309227291510793
"1988","2420170","December 31, 1988","1400",NA,NA,2,12,0.166666666666667,0,1579,4,"Quebec",646773.443,421,0.0309227291510793
"1988","2420200","December 31, 1988","1400",NA,NA,7,9,0.777777777777778,0,1579,4,"Quebec",646773.443,421,0.108229552028777
"1988","2420230","December 31, 1988","1400",NA,NA,340,106,3.20754716981132,0,1579,4,"Quebec",646773.443,421,5.25686395568347
"1988","2420260","December 31, 1988","1400",NA,NA,1,1,1,0,1579,4,"Quebec",646773.443,421,0.0154613645755396
"1988","2420270","December 31, 1988","1400",NA,NA,0,1,0,0,1579,4,"Quebec",646773.443,421,0
"1988","2420290","December 31, 1988","1400",NA,NA,19,25,0.76,0,1579,4,"Quebec",646773.443,421,0.293765926935253
"1988","2420320","December 31, 1988","1400",NA,NA,23,14,1.64285714285714,0,1579,4,"Quebec",646773.443,421,0.355611385237411
"1988","2420350","December 31, 1988","1400",NA,NA,29,31,0.935483870967742,0,1579,4,"Quebec",646773.443,421,0.448379572690649
"1988","2420400","December 31, 1988","1400",NA,NA,199,45,4.42222222222222,0,1579,4,"Quebec",646773.443,421,3.07681155053239
"1988","2420430","December 31, 1988","1400",NA,NA,29,48,0.604166666666667,0,1579,4,"Quebec",646773.443,421,0.448379572690649
"1988","2420470","December 31, 1988","1400",NA,NA,0,4,0,0,1579,4,"Quebec",646773.443,421,0
"1988","2420490","December 31, 1988","1400",NA,NA,0,1,0,0,1579,4,"Quebec",646773.443,421,0
"1988","2420530","December 31, 1988","1400",NA,NA,0,3,0,0,1579,4,"Quebec",646773.443,421,0
"1988","2420560","December 31, 1988","1400",NA,NA,4,7,0.571428571428571,0,1579,4,"Quebec",646773.443,421,0.0618454583021585
"1988","2421170","December 31, 1988","1400",NA,NA,2,4,0.5,0,1579,4,"Quebec",646773.443,421,0.0309227291510793
"1988","2421220","December 31, 1988","1400",NA,NA,10,14,0.714285714285714,0,1579,4,"Quebec",646773.443,421,0.154613645755396
"1988","2421260","December 31, 1988","1400",NA,NA,11,9,1.22222222222222,0,1579,4,"Quebec",646773.443,421,0.170075010330936
"1988","2421300","December 31, 1988","1400",NA,NA,23,30,0.766666666666667,0,1579,4,"Quebec",646773.443,421,0.355611385237411
"1988","2421340","December 31, 1988","1400",NA,NA,4,8,0.5,0,1579,4,"Quebec",646773.443,421,0.0618454583021585
"1988","2421420","December 31, 1988","1400",NA,NA,14,18,0.777777777777778,0,1579,4,"Quebec",646773.443,421,0.216459104057555
"1988","2421460","December 31, 1988","1400",NA,NA,61,19,3.21052631578947,0,1579,4,"Quebec",646773.443,421,0.943143239107917
