"ref_yy","metcode","metro","three_to_five_units","six_to_twenty_units","twentyone_to_sixty_units","sixtyone_to_onehundred_units","greater_than_onehundred_units","avglengthofconstr"
"1988","0140","CALGARY",10.3333333333333,NA,9.66666666666667,11,19,11
"1988","1265","OTTAWA",5.7258064516129,6.34920634920635,10.5,9,15.2,6.48743718592965
"1989","0140","CALGARY",4.18,6.5,7,NA,NA,4.4
"1989","1265",NA,5.68253968253968,5.56617647058824,7.5,8.77777777777778,15.5,5.91519434628975
"1990","0140","CALGARY",6.38983050847458,6.9375,7.66666666666667,NA,NA,6.63095238095238
"1990","1265",NA,5.98095238095238,6.36065573770492,7,6.875,13.5,6.27916666666667
"1991","0140","CALGARY",10.8039215686275,12.5227272727273,9.11111111111111,NA,NA,11.3846153846154
"1991","1265",NA,4.41666666666667,5.625,12.8571428571429,10.75,12,5.68263473053892
"1992","0140","CALGARY",7.6304347826087,11,9.5,NA,NA,8.32478632478633
"1992","1265","OTTAWA",3.85365853658537,4.75,8.33333333333333,8.44444444444444,9.66666666666667,4.86166007905138
"1993","0140","CALGARY",6.7962962962963,13.2903225806452,10,NA,NA,8.26950354609929
"1993","1265",NA,4.47058823529412,4.3,7.25,11,9,4.81707317073171
"1994","0140","CALGARY",7.90983606557377,18.6818181818182,9,NA,NA,9.55172413793103
"1994","1265",NA,4.02985074626866,4.3,4.66666666666667,9,16,4.40972222222222
"1995","0140","CALGARY",10.3495145631068,9.36,12.6666666666667,9.33333333333333,NA,10.2285714285714
"1995","1265",NA,5.38095238095238,5,5.5,17.6666666666667,NA,5.87037037037037
"1996","0140","CALGARY",14.9148936170213,13.5,11.2,11.5,NA,14.3165467625899
"1996","1265",NA,4.46153846153846,4.35483870967742,5,12,13,4.54700854700855
"1997","0140","CALGARY",9.32283464566929,10.2368421052632,13.5,9.66666666666667,NA,9.62790697674419
"1997","1265",NA,3.94642857142857,4.46341463414634,7,NA,NA,4.17948717948718
"1998","0140","CALGARY",7.57754010695187,8.29545454545454,11.8333333333333,11,13,8.03187250996016
"1998","1265",NA,4.23300970873786,4.23943661971831,NA,NA,NA,4.23563218390805
"1999","0140","CALGARY",9.792,10.0576923076923,12.5625,10,7,10.0757575757576
"1999","1265",NA,4.512,4.58441558441558,NA,8.5,NA,4.57843137254902
"2000","0140","CALGARY",11.8859649122807,14.4137931034483,13,9.75,18.3333333333333,12.8073394495413
"2000","1265",NA,4.96581196581197,4.72289156626506,10,NA,NA,4.89054726368159
"2001","0140","CALGARY",8.7027027027027,7.95,12.695652173913,10.6666666666667,14.4285714285714,9.12550607287449
"2001","1265","OTTAWA",5.13793103448276,5.4954128440367,6,NA,10.6666666666667,5.33449477351916
"2002","0140","CALGARY",8.24571428571429,8.64516129032258,12.6190476190476,15.2222222222222,16.8333333333333,9.09157509157509
"2002","1265","OTTAWA",5.40434782608696,5.68292682926829,10,5,7,5.5828729281768
"2003","0140","CALGARY",7.94186046511628,9.26315789473684,11.0714285714286,9.72727272727273,14.375,8.84713375796178
"2003","1265","OTTAWA",5.97021276595745,6.6412213740458,16.5,26,13.5,6.35849056603774
"2004","0140","CALGARY",9.30128205128205,8.32558139534884,12.88,15.1666666666667,15.75,9.62989323843416
"2004","1265","OTTAWA",6.89416058394161,6.84117647058823,9.5,17,21.6666666666667,7.1037527593819
"2005","0140","CALGARY",8.1875,9.24719101123596,11.5882352941176,10.8571428571429,16.0909090909091,9.35909090909091
"2005","1265","OTTAWA",6.91836734693878,7.0625,11.3333333333333,12.25,22.75,7.28108108108108
"2006","0140","CALGARY",10.2043010752688,10.8157894736842,13.625,14,21,11.2135416666667
"2006","1265","OTTAWA",6.63725490196078,7.03401360544218,15.2,39,20,7.08356545961003
"2007","0140","CALGARY",12.0943396226415,12.6236559139785,15.0625,16.375,22.75,12.8590308370044
"2007","1265","OTTAWA",6.76279069767442,6.79487179487179,19,18,19.3333333333333,7.19010416666667
"2008","0140","CALGARY",13.0574712643678,13.7559523809524,17.7083333333333,14,22.875,14.3540983606557
"2008","1265","OTTAWA",7.72222222222222,8.67630057803468,9.8,28,21,8.27152317880795
"2009","0140","CALGARY",12.9354838709677,14.4725274725275,17.4444444444444,19.6666666666667,22.1111111111111,14.6497175141243
"2009","1265","OTTAWA",8.19354838709677,9.24117647058823,18,20,21.6666666666667,8.85279187817259
"2010","0140","CALGARY",9.97560975609756,9.29824561403509,19.5,23.5714285714286,27.4166666666667,11.9451219512195
"2010","1265","OTTAWA",7.82283464566929,8.61256544502618,14.8333333333333,11,23,8.41794310722101
"2011","0140","CALGARY",8.38983050847458,9.58585858585859,16.5,19,NA,9.45689655172414
"2011","1265","OTTAWA",7.87121212121212,8.94117647058824,14.6666666666667,22,22,8.53033707865169
"2012","0140","CALGARY",9.61240310077519,10.8157894736842,17.4166666666667,16.4,35,10.9213483146067
"2012","1265","OTTAWA",8.66842105263158,9.88125,9.57142857142857,15.6,15.8,9.40599455040872
"2013","0140","CALGARY",9.25657894736842,8.63586956521739,13.4117647058824,12.4545454545455,20.2857142857143,9.44204851752021
"2013","1265","OTTAWA",9.32474226804124,11.3658536585366,15.2857142857143,14,18.6666666666667,10.4336043360434
"2014","0140","CALGARY",8.71910112359551,8.98324022346369,14.5,14.25,23,9.63092269326683
"2014","1265","OTTAWA",8.10945273631841,9.31168831168831,15.7777777777778,16.6,23.4444444444444,9.25925925925926
"2015","0140","CALGARY",9.34509803921569,10.2390438247012,13.3055555555556,13.304347826087,21.625,10.3158813263525
"2015","1265","OTTAWA",7.80088495575221,9.66165413533835,15.1428571428571,22,21.2,9.02116402116402
"2016","0140","CALGARY",9.88304093567251,9.68589743589744,16.1818181818182,11.9130434782609,19.7058823529412,10.86
"2016","1265","OTTAWA",8.28909952606635,10.4308943089431,11.6666666666667,16,19,9.25655976676385
"2017","0140","CALGARY",10.1428571428571,9.26119402985075,14.375,15.25,20.0769230769231,10.6812080536913
"2017","1265","OTTAWA",8.33603238866397,9.45394736842105,15.5714285714286,23,25.5,9.07542579075426
"2018","0140","CALGARY",7.94615384615385,10.4411764705882,14.6,16.6666666666667,24.1666666666667,10.0903010033445
"2018","1265","OTTAWA",7.82876712328767,9.21935483870968,14.4285714285714,21.3333333333333,22.4,8.64069264069264
"2019","0140","CALGARY",9.51612903225806,9.39375,16.6666666666667,13.8666666666667,21.9230769230769,10.2245430809399
"2019","1265","OTTAWA",9.03367003367003,10.2920353982301,12.5,18,23.6666666666667,9.63420427553444
"2020","0140","CALGARY",8.96153846153846,10.8214285714286,16.1818181818182,15.6,21,10.4041450777202
"2020","1265","OTTAWA",9.5979381443299,11.1153846153846,14.5,13.5,23.8,10.3724489795918
"2021","0140","CALGARY",8.50920245398773,10.4188034188034,12,11.25,18.3846153846154,9.81089743589744
