"ref_yy","CSDuid","mkttycd","metcode","metro","municipality","total_structures","share_three_or_fewer_stories","share_four_to_six_stories","share_seven_to_twenty_stories","share_twentyone_to_thirty_stories","share_greater_than_thirty_stories","avg_number_of_stories"
"1988","2452440",2,"1060",NA,NA,3,100,0,0,0,0,0
"1988","2452780",2,"1060",NA,NA,5,100,0,0,0,0,0
"1988","2456120",2,"1060",NA,NA,12,100,0,0,0,0,0
"1988","2456280",2,"1060",NA,NA,1,100,0,0,0,0,0
"1988","2456310",2,"1060",NA,NA,1,100,0,0,0,0,0
"1988","2456310",3,"1060",NA,NA,1,100,0,0,0,0,0
"1988","2456400",1,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988","2456400",2,"1060",NA,NA,23,100,0,0,0,0,0
"1988","2456400",3,"1060",NA,NA,2,100,0,0,0,0,0
"1988","2456500",2,"1060",NA,NA,1,100,0,0,0,0,0
"1988","2456580",3,"1060",NA,NA,1,100,0,0,0,0,0
"1988","2456650",1,"1060",NA,NA,4,100,0,0,0,0,0
"1988","2456650",2,"1060",NA,NA,54,100,0,0,0,0,0.111111111111111
"1988","2456650",3,"1060",NA,NA,3,100,0,0,0,0,0
"1988","2456650",4,"1060",NA,NA,1,100,0,0,0,0,0
"1988","2456750",2,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988","2457110",2,"1060",NA,NA,1,100,0,0,0,0,0
"1988","2457150",3,"1060",NA,NA,2,100,0,0,0,0,2
"1988","2457280",1,"1060",NA,NA,1,100,0,0,0,0,0
"1988","2457280",2,"1060",NA,NA,5,100,0,0,0,0,0
"1988","2457320",2,"1060",NA,NA,2,100,0,0,0,0,0
"1988","2457400",2,"1060",NA,NA,3,100,0,0,0,0,0
"1988","2462200",2,"1060",NA,NA,8,100,0,0,0,0,0
"1988","2462200",3,"1060",NA,NA,2,50,50,0,0,0,2
"1988","2462200",4,"1060",NA,NA,2,100,0,0,0,0,0
"1988","2462240",2,"1060",NA,NA,3,100,0,0,0,0,0
"1988","2462240",3,"1060",NA,NA,5,100,0,0,0,0,0
"1988","2462280",2,"1060",NA,NA,15,100,0,0,0,0,0
"1988","2462310",2,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988","2462510",2,"1060",NA,NA,3,100,0,0,0,0,0
"1988","2463110",2,"1060",NA,NA,7,100,0,0,0,0,0
"1988","2463150",2,"1060",NA,NA,61,100,0,0,0,0,0
"1988","2463190",2,"1060",NA,NA,15,100,0,0,0,0,0
"1988","2463200",2,"1060",NA,NA,1,100,0,0,0,0,0
"1988","2463220",2,"1060",NA,NA,23,100,0,0,0,0,0
"1988","2463220",3,"1060",NA,NA,1,100,0,0,0,0,0
"1988","2463250",2,"1060",NA,NA,19,100,0,0,0,0,0.210526315789474
"1988","2464500",2,"1060",NA,NA,42,100,0,0,0,0,0
"1988","2464500",3,"1060",NA,NA,24,100,0,0,0,0,0
"1988","2465160",2,"1060",NA,NA,4,100,0,0,0,0,0
"1988","2465180",2,"1060",NA,NA,5,100,0,0,0,0,0
"1988","2465180",3,"1060",NA,NA,3,100,0,0,0,0,0
"1988","2465200",2,"1060",NA,NA,14,100,0,0,0,0,0
"1988","2465220",3,"1060",NA,NA,23,100,0,0,0,0,0
"1988","2465260",2,"1060",NA,NA,109,99.082568807339,0.917431192661,0,0,0,0.0825688073394495
"1988","2465260",3,"1060",NA,NA,25,92,0,8,0,0,1.56
"1988","2465260",4,"1060",NA,NA,16,100,0,0,0,0,0
"1988","2465280",2,"1060",NA,NA,1,100,0,0,0,0,0
"1988","2465320",3,"1060",NA,NA,7,100,0,0,0,0,0
"1988","2465340",2,"1060",NA,NA,12,100,0,0,0,0,0.5
"1988","2465420",2,"1060",NA,NA,3,100,0,0,0,0,0
"1988","2465420",3,"1060",NA,NA,5,100,0,0,0,0,0
"1988","2465480",2,"1060",NA,NA,6,100,0,0,0,0,0
"1988","2465480",3,"1060",NA,NA,4,50,25,25,0,0,3.5
"1988","2465540",2,"1060",NA,NA,4,100,0,0,0,0,0
"1988","2465580",3,"1060",NA,NA,1,100,0,0,0,0,0
"1988","2465640",3,"1060",NA,NA,1,100,0,0,0,0,0
"1988","2465700",2,"1060",NA,NA,6,83.333333333333,16.666666666667,0,0,0,0.666666666666667
"1988","2465700",3,"1060",NA,NA,16,93.75,0,6.25,0,0,0.625
"1988","2465720",3,"1060",NA,NA,5,100,0,0,0,0,0
"1988","2465740",2,"1060",NA,NA,2,100,0,0,0,0,0
"1988","2465740",3,"1060",NA,NA,7,100,0,0,0,0,0
"1988","2466380",2,"1060",NA,NA,11,90.909090909091,9.090909090909,0,0,0,0.454545454545455
"1988","2466380",3,"1060",NA,NA,6,100,0,0,0,0,0
"1988","2466420",2,"1060",NA,NA,5,100,0,0,0,0,0
"1988","2466500",2,"1060",NA,NA,5,100,0,0,0,0,0
"1988","2466600",2,"1060",NA,NA,1,100,0,0,0,0,0
"1988","2466700",1,"1060",NA,NA,1,100,0,0,0,0,2
