"ref_yy","metcode","metro","total_structures","share_three_to_five","share_six_to_twenty","share_twentyone_to_sixty","share_sixtyone_to_onehundred","share_greater_than_onehundred","avg_number_of_units"
"1988","0140","CALGARY",4,100,0,0,0,0,3.75
"1988","0340","EDMONTON",3,0,0,33.333333333333,33.333333333333,33.333333333333,94.3333333333333
"1988","1060",NA,748,54.679144385027,35.96256684492,6.016042780749,1.737967914439,1.604278074866,10.7433155080214
"1988","1265",NA,24,12.5,16.666666666667,25,37.5,8.333333333333,61.875
"1988","2270",NA,56,8.928571428571,16.071428571429,10.714285714286,14.285714285714,50,127.839285714286
"1988","2410","VANCOUVER",112,8.035714285714,42.857142857143,36.607142857143,10.714285714286,1.785714285714,27.8125
"1989","0140","CALGARY",28,21.428571428571,75,3.571428571429,0,0,10.9285714285714
"1989","0340","EDMONTON",6,0,0,66.666666666667,33.333333333333,0,53.1666666666667
"1989","1060",NA,1226,58.564437194127,36.296900489396,3.344208809135,0.89722675367,0.89722675367,8.08401305057096
"1989","1265",NA,28,3.571428571429,60.714285714286,10.714285714286,17.857142857143,7.142857142857,36.25
"1989","2270",NA,117,12.820512820513,12.820512820513,10.25641025641,10.25641025641,53.846153846154,138.307692307692
"1989","2410","VANCOUVER",240,15,30,35,14.583333333333,5.416666666667,33.6458333333333
"1990","0140","CALGARY",12,8.333333333333,25,58.333333333333,0,8.333333333333,39
"1990","0340","EDMONTON",16,6.25,25,50,18.75,0,39.8125
"1990","1060",NA,1146,56.369982547993,37.870855148342,4.275741710297,0.959860383944,0.523560209424,8.16928446771379
"1990","1265",NA,30,6.666666666667,40,20,23.333333333333,10,40.7
"1990","2270","TORONTO",82,8.536585365854,17.073170731707,17.073170731707,7.317073170732,50,116.963414634146
"1990","2410","VANCOUVER",247,15.384615384615,34.817813765182,36.032388663968,8.502024291498,5.263157894737,32.3198380566802
"1991","0140","CALGARY",16,56.25,25,18.75,0,0,10.75
"1991","0340","EDMONTON",14,7.142857142857,50,35.714285714286,7.142857142857,0,26.4285714285714
"1991","1060",NA,785,58.726114649682,37.579617834395,2.420382165605,0.636942675159,0.636942675159,7.36050955414013
"1991","1265",NA,37,5.405405405405,35.135135135135,32.432432432432,18.918918918919,8.108108108108,43.2162162162162
"1991","2270","TORONTO",87,4.597701149425,24.137931034483,25.287356321839,13.793103448276,32.183908045977,70.0229885057471
"1991","2410","VANCOUVER",170,10,33.529411764706,42.941176470588,8.823529411765,4.705882352941,34.6235294117647
"1992","0140","CALGARY",15,66.666666666667,13.333333333333,20,0,0,11.6
"1992","0340","EDMONTON",23,0,43.478260869565,30.434782608696,21.739130434783,4.347826086957,37.7391304347826
"1992","1060",NA,662,64.501510574018,30.966767371601,3.474320241692,1.057401812689,0,6.6570996978852
"1992","1265",NA,54,9.259259259259,55.555555555556,14.814814814815,14.814814814815,5.555555555556,31.7222222222222
"1992","2270",NA,104,10.576923076923,17.307692307692,16.346153846154,14.423076923077,41.346153846154,82.3942307692308
"1992","2410","VANCOUVER",213,12.206572769953,30.516431924883,41.784037558685,8.450704225352,7.042253521127,36.112676056338
"1993","0140","CALGARY",16,43.75,43.75,6.25,6.25,0,15
"1993","0340","EDMONTON",27,11.111111111111,18.518518518519,48.148148148148,18.518518518519,3.703703703704,42.1111111111111
"1993","1060",NA,510,60.588235294118,33.529411764706,4.901960784314,0.980392156863,0,7.12549019607843
"1993","1265",NA,36,5.555555555556,80.555555555556,5.555555555556,5.555555555556,2.777777777778,19.1944444444444
"1993","2270",NA,63,0,17.460317460317,26.984126984127,19.047619047619,36.507936507937,74.2857142857143
"1993","2410","VANCOUVER",277,9.025270758123,23.104693140794,46.931407942238,12.274368231047,8.664259927798,41.1191335740072
"1994","0140","CALGARY",33,57.575757575758,6.060606060606,18.181818181818,18.181818181818,0,20.4242424242424
"1994","0340","EDMONTON",23,4.347826086957,21.739130434783,39.130434782609,26.086956521739,8.695652173913,46.5217391304348
"1994","1060","MONTRÉAL",479,55.53235908142,38.622129436326,5.010438413361,0.62630480167,0.208768267223,7.44676409185804
"1994","1265",NA,15,20,60,13.333333333333,6.666666666667,0,15.8666666666667
"1994","2270",NA,70,8.571428571429,21.428571428571,38.571428571429,12.857142857143,18.571428571429,51.7142857142857
"1994","2410","VANCOUVER",237,6.329113924051,21.097046413502,54.008438818565,9.704641350211,8.860759493671,44.5991561181435
"1995","0140","CALGARY",16,12.5,31.25,31.25,25,0,33.1875
"1995","0340","EDMONTON",14,7.142857142857,21.428571428571,42.857142857143,28.571428571429,0,44.2142857142857
