"ref_yy","metcode","metro","total_structures","share_three_or_fewer_stories","share_four_to_six_stories","share_seven_to_twenty_stories","share_twentyone_to_thirty_stories","share_greater_than_thirty_stories","avg_number_of_stories"
"1988","0140","CALGARY",4,100,0,0,0,0,0
"1988","0340","EDMONTON",3,33.333333333333,33.333333333333,33.333333333333,0,0,4.33333333333333
"1988","1060",NA,748,98.79679144385,0.668449197861,0.534759358289,0,0,0.164438502673797
"1988","1265",NA,24,95.833333333333,0,4.166666666667,0,0,0.625
"1988","2270","TORONTO",56,91.071428571429,0,5.357142857143,3.571428571429,0,1.625
"1988","2410","VANCOUVER",112,99.107142857143,0.892857142857,0,0,0,0.0892857142857143
"1989","0140","CALGARY",28,100,0,0,0,0,0
"1989","0340","EDMONTON",6,100,0,0,0,0,0
"1989","1060",NA,1226,99.347471451876,0.570962479608,0,0.081566068515,0,0.248776508972268
"1989","1265",NA,28,92.857142857143,7.142857142857,0,0,0,0.285714285714286
"1989","2270","TORONTO",117,79.487179487179,5.128205128205,10.25641025641,5.128205128205,0,3.08547008547009
"1989","2410","VANCOUVER",240,95.416666666667,1.666666666667,1.666666666667,1.25,0,1.05
"1990","0140","CALGARY",12,91.666666666667,0,8.333333333333,0,0,1.16666666666667
"1990","0340","EDMONTON",16,93.75,0,6.25,0,0,1.5625
"1990","1060",NA,1146,99.738219895288,0.174520069808,0.087260034904,0,0,0.389179755671902
"1990","1265",NA,30,96.666666666667,3.333333333333,0,0,0,0.133333333333333
"1990","2270","TORONTO",82,64.634146341463,13.414634146341,15.853658536585,4.878048780488,1.219512195122,4.63414634146341
"1990","2410","VANCOUVER",247,89.473684210526,4.453441295547,4.858299595142,1.214574898785,0,1.55465587044534
"1991","0140","CALGARY",16,100,0,0,0,0,0
"1991","0340","EDMONTON",14,100,0,0,0,0,0.428571428571429
"1991","1060",NA,785,99.490445859873,0.254777070064,0.127388535032,0.127388535032,0,0.514649681528662
"1991","1265",NA,37,100,0,0,0,0,0
"1991","2270","TORONTO",87,75.862068965517,6.896551724138,16.091954022989,1.149425287356,0,2.66666666666667
"1991","2410","VANCOUVER",170,88.823529411765,7.647058823529,3.529411764706,0,0,1.31764705882353
"1992","0140","CALGARY",15,100,0,0,0,0,0
"1992","0340","EDMONTON",23,95.652173913043,4.347826086957,0,0,0,0.304347826086957
"1992","1060",NA,662,98.33836858006,1.510574018127,0.151057401813,0,0,0.794561933534743
"1992","1265",NA,54,94.444444444444,3.703703703704,1.851851851852,0,0,0.462962962962963
"1992","2270","TORONTO",104,71.153846153846,6.730769230769,21.153846153846,0.961538461538,0,2.76923076923077
"1992","2410","VANCOUVER",213,85.915492957746,8.920187793427,4.225352112676,0.93896713615,0,1.86384976525822
"1993","0140","CALGARY",16,100,0,0,0,0,0
"1993","0340","EDMONTON",27,100,0,0,0,0,0
"1993","1060",NA,510,99.803921568627,0,0,0,0.196078431373,0.596078431372549
"1993","1265",NA,36,94.444444444444,0,5.555555555556,0,0,0.666666666666667
"1993","2270","TORONTO",63,79.365079365079,7.936507936508,12.698412698413,0,0,1.92063492063492
"1993","2410","VANCOUVER",277,76.173285198556,18.41155234657,3.610108303249,1.805054151625,0,2.3971119133574
"1994","0140","CALGARY",33,100,0,0,0,0,0
"1994","0340","EDMONTON",23,100,0,0,0,0,0
"1994","1060","MONTRÉAL",479,99.164926931106,0.62630480167,0.208768267223,0,0,1.02922755741127
"1994","1265",NA,15,86.666666666667,6.666666666667,6.666666666667,0,0,1.2
