"ref_yy","CSDuid","metcode","metro","first_value.muni.","total_structures","share_three_to_five","share_six_to_twenty","share_twentyone_to_sixty","share_sixtyone_to_onehundred","share_greater_than_onehundred","avg_number_of_units"
"1988","2452440","1060",NA,NA,3,66.666666666667,33.333333333333,0,0,0,4
"1988","2452780","1060",NA,NA,5,100,0,0,0,0,3
"1988","2456120","1060",NA,NA,12,50,50,0,0,0,4.5
"1988","2456280","1060",NA,NA,1,0,100,0,0,0,16
"1988","2456310","1060",NA,NA,2,100,0,0,0,0,3.5
"1988","2456400","1060",NA,NA,25,76,16,8,0,0,6.08
"1988","2456500","1060",NA,NA,1,0,100,0,0,0,10
"1988","2456580","1060",NA,NA,1,0,0,0,100,0,69
"1988","2456650","1060",NA,NA,62,83.870967741935,12.903225806452,1.612903225806,0,1.612903225806,6.2258064516129
"1988","2456750","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988","2457110","1060",NA,NA,1,0,100,0,0,0,15
"1988","2457150","1060",NA,NA,2,0,100,0,0,0,6
"1988","2457280","1060",NA,NA,6,66.666666666667,33.333333333333,0,0,0,4.33333333333333
"1988","2457320","1060",NA,NA,2,0,100,0,0,0,6
"1988","2457400","1060",NA,NA,3,66.666666666667,33.333333333333,0,0,0,7
"1988","2462200","1060",NA,NA,12,16.666666666667,83.333333333333,0,0,0,10.8333333333333
"1988","2462240","1060",NA,NA,8,0,100,0,0,0,9.5
"1988","2462280","1060",NA,NA,15,66.666666666667,26.666666666667,6.666666666667,0,0,7.26666666666667
"1988","2462310","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988","2462510","1060",NA,NA,3,0,100,0,0,0,8
"1988","2463110","1060",NA,NA,7,42.857142857143,57.142857142857,0,0,0,7.14285714285714
"1988","2463150","1060",NA,NA,61,77.049180327869,22.950819672131,0,0,0,3.9344262295082
"1988","2463190","1060",NA,NA,15,93.333333333333,6.666666666667,0,0,0,4
"1988","2463200","1060",NA,NA,1,100,0,0,0,0,5
"1988","2463220","1060",NA,NA,24,83.333333333333,16.666666666667,0,0,0,6.20833333333333
"1988","2463250","1060",NA,NA,19,78.947368421053,21.052631578947,0,0,0,4.05263157894737
"1988","2464500","1060",NA,NA,66,21.212121212121,71.212121212121,6.060606060606,1.515151515152,0,11.9242424242424
"1988","2465160","1060",NA,NA,4,75,25,0,0,0,4.25
"1988","2465180","1060",NA,NA,8,12.5,25,50,12.5,0,35.125
"1988","2465200","1060",NA,NA,14,92.857142857143,7.142857142857,0,0,0,4.07142857142857
"1988","2465220","1060",NA,NA,23,95.652173913043,0,4.347826086957,0,0,5.65217391304348
"1988","2465260","1060",NA,NA,150,38,40.666666666667,16,2.666666666667,2.666666666667,15.9666666666667
"1988","2465280","1060",NA,NA,1,0,0,100,0,0,51
"1988","2465320","1060",NA,NA,7,0,85.714285714286,0,0,14.285714285714,24.7142857142857
"1988","2465340","1060",NA,NA,12,100,0,0,0,0,3.33333333333333
"1988","2465420","1060",NA,NA,8,25,75,0,0,0,6.125
"1988","2465480","1060",NA,NA,10,20,10,20,30,20,61.3
"1988","2465540","1060",NA,NA,4,75,0,0,0,25,42.25
"1988","2465580","1060",NA,NA,1,0,0,100,0,0,36
"1988","2465640","1060",NA,NA,1,0,0,100,0,0,24
"1988","2465700","1060",NA,NA,22,9.090909090909,81.818181818182,0,9.090909090909,0,15.0909090909091
"1988","2465720","1060",NA,NA,5,80,20,0,0,0,4.4
"1988","2465740","1060",NA,NA,9,33.333333333333,66.666666666667,0,0,0,5.55555555555556
"1988","2466380","1060",NA,NA,17,41.176470588235,41.176470588235,0,5.882352941176,11.764705882353,23.1176470588235
"1988","2466420","1060",NA,NA,5,80,0,20,0,0,12.6
"1988","2466500","1060",NA,NA,5,80,0,0,0,20,27.4
"1988","2466600","1060",NA,NA,1,0,0,100,0,0,21
"1988","2466700","1060",NA,NA,10,100,0,0,0,0,3
"1988","2469480","1060",NA,NA,1,0,100,0,0,0,8
"1988","2469600","1060",NA,NA,8,75,12.5,12.5,0,0,7
"1988","2470110","1060",NA,NA,1,0,100,0,0,0,10
"1988","2470180","1060",NA,NA,1,0,100,0,0,0,15
"1988","2470460","1060",NA,NA,4,100,0,0,0,0,4
"1988","2472150","1060",NA,NA,1,100,0,0,0,0,3
"1988","2472230","1060",NA,NA,13,76.923076923077,23.076923076923,0,0,0,4.07692307692308
"1988","2472260","1060",NA,NA,6,16.666666666667,83.333333333333,0,0,0,7.5
"1988","2472400","1060",NA,NA,3,0,100,0,0,0,6
"1988","2473120","1060",NA,NA,13,23.076923076923,76.923076923077,0,0,0,7.61538461538461
"1988","2473180","1060",NA,NA,13,100,0,0,0,0,3
"1988","2473300","1060",NA,NA,2,100,0,0,0,0,4.5
"1988","2473500","1060",NA,NA,1,0,100,0,0,0,6
"1988","2473650","1060",NA,NA,7,28.571428571429,71.428571428571,0,0,0,8.85714285714286
"1988","3503021","1265",NA,NA,1,0,0,100,0,0,24
"1988","3506004","1265",NA,NA,1,0,0,0,100,0,88
"1988","3506006","1265",NA,NA,3,0,0,66.666666666667,33.333333333333,0,50.3333333333333
"1988","3506012","1265",NA,NA,3,0,0,0,66.666666666667,33.333333333333,111.333333333333
"1988","3506014","1265",NA,NA,16,18.75,25,18.75,31.25,6.25,55.5
"1988","3518001","2270","TORONTO","PICKERING CY",2,0,0,0,0,100,237
"1988","3518029","2270","TORONTO","UXBRIDGE TP",1,0,100,0,0,0,7
"1988","3519028","2270","TORONTO","VAUGHAN CY",1,0,0,0,0,100,196
"1988","3519038","2270","TORONTO","RICHMOND HILL T",2,0,0,0,0,100,237.5
"1988","3519046","2270","TORONTO","AURORA T",3,33.333333333333,66.666666666667,0,0,0,10.6666666666667
"1988","3520001","2270","TORONTO","PICKERING CY",11,0,0,0,27.272727272727,72.727272727273,190.818181818182
"1988","3520004","2270",NA,NA,15,20,33.333333333333,13.333333333333,13.333333333333,20,61.8
"1988","3520006","2270",NA,NA,1,0,0,100,0,0,35
"1988","3520008","2270",NA,NA,3,0,0,33.333333333333,33.333333333333,33.333333333333,110.333333333333
"1988","3520019","2270",NA,NA,1,0,0,0,0,100,110
"1988","3521005","2270","TORONTO","AJAX T",9,0,0,11.111111111111,22.222222222222,66.666666666667,190.222222222222
"1988","3521010","2270","TORONTO","BRAMPTON CY",3,0,0,0,0,100,171.333333333333
"1988","3522014","2270","TORONTO","BRADFORD WEST GWILLIMBURY T",2,50,0,50,0,0,15.5
"1988","3524001","2270","TORONTO","PICKERING CY",1,0,0,0,0,100,208
"1988","3524009","2270","TORONTO","MILTON T",1,0,100,0,0,0,8
"1988","4806016","0140","CALGARY","CALGARY CY",4,100,0,0,0,0,3.75
"1988","4811061","0340","EDMONTON","EDMONTON CY",3,0,0,33.333333333333,33.333333333333,33.333333333333,94.3333333333333
"1988","5911019","2410",NA,NA,2,0,100,0,0,0,8
"1988","5911025","2410","VANCOUVER","BURNABY CY",3,0,0,66.666666666667,33.333333333333,0,57.6666666666667
"1988","5913011","2410","VANCOUVER","DELTA DM",1,0,0,100,0,0,23
"1988","5915004","2410","VANCOUVER","SURREY CY",16,37.5,50,6.25,6.25,0,13.5
"1988","5915007","2410","VANCOUVER","WHITE ROCK CY",5,0,60,40,0,0,15.4
"1988","5915011","2410","VANCOUVER","DELTA DM",2,0,50,50,0,0,15.5
"1988","5915015","2410","VANCOUVER","RICHMOND CY",9,0,22.222222222222,55.555555555556,22.222222222222,0,41.2222222222222
"1988","5915022","2410","VANCOUVER","VANCOUVER CY",48,0,47.916666666667,41.666666666667,8.333333333333,2.083333333333,28.0833333333333
"1988","5915025","2410","VANCOUVER","BURNABY CY",6,0,16.666666666667,83.333333333333,0,0,27.1666666666667
"1988","5915029","2410","VANCOUVER","NEW WESTMINSTER CY",4,0,0,50,25,25,75.75
"1988","5915034","2410","VANCOUVER","COQUITLAM CY",1,0,0,0,100,0,75
"1988","5915039","2410","VANCOUVER","PORT COQUITLAM CY",4,0,50,50,0,0,24.5
"1988","5915046","2410","VANCOUVER","NORTH VANCOUVER DM",6,50,16.666666666667,0,33.333333333333,0,26
"1988","5915051","2410","VANCOUVER","NORTH VANCOUVER CY",2,0,100,0,0,0,18.5
"1988","5915055","2410","VANCOUVER","WEST VANCOUVER DM",3,0,100,0,0,0,9.33333333333333
"1989","2452440","1060",NA,NA,3,33.333333333333,66.666666666667,0,0,0,7
"1989","2452480","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1989","2452550","1060",NA,NA,4,50,50,0,0,0,4.5
"1989","2452780","1060",NA,NA,18,77.777777777778,22.222222222222,0,0,0,4
"1989","2456120","1060",NA,NA,18,77.777777777778,22.222222222222,0,0,0,3.77777777777778
"1989","2456280","1060",NA,NA,3,0,100,0,0,0,9.33333333333333
"1989","2456310","1060",NA,NA,5,80,0,20,0,0,8.8
"1989","2456400","1060",NA,NA,37,70.27027027027,21.621621621622,8.108108108108,0,0,6.7027027027027
"1989","2456450","1060",NA,NA,3,100,0,0,0,0,3
"1989","2456500","1060",NA,NA,2,0,100,0,0,0,7.5
"1989","2456580","1060",NA,NA,1,0,0,0,0,100,115
"1989","2456650","1060",NA,NA,60,68.333333333333,25,3.333333333333,1.666666666667,1.666666666667,9.66666666666667
"1989","2456750","1060",NA,NA,2,0,0,100,0,0,43
"1989","2457150","1060",NA,NA,2,0,50,50,0,0,26
"1989","2457280","1060",NA,NA,13,53.846153846154,46.153846153846,0,0,0,4.69230769230769
"1989","2457320","1060",NA,NA,12,100,0,0,0,0,3
"1989","2457400","1060",NA,NA,2,50,50,0,0,0,8.5
"1989","2462110","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1989","2462200","1060",NA,NA,30,63.333333333333,30,0,3.333333333333,3.333333333333,11.3333333333333
"1989","2462240","1060",NA,NA,10,20,80,0,0,0,7.2
"1989","2462260","1060",NA,NA,5,40,60,0,0,0,6.8
"1989","2462280","1060",NA,NA,10,40,60,0,0,0,8.9
"1989","2462310","1060",NA,NA,3,100,0,0,0,0,3.66666666666667
"1989","2462510","1060",NA,NA,2,0,100,0,0,0,6
"1989","2463110","1060",NA,NA,29,82.758620689655,17.241379310345,0,0,0,4.17241379310345
"1989","2463150","1060",NA,NA,91,84.615384615385,14.285714285714,1.098901098901,0,0,3.76923076923077
"1989","2463190","1060",NA,NA,25,88,12,0,0,0,3.36
"1989","2463200","1060",NA,NA,5,60,40,0,0,0,4.4
"1989","2463220","1060",NA,NA,33,60.606060606061,36.363636363636,3.030303030303,0,0,7.24242424242424
