"ref_yy","CSDuid","metcode","metro","municipality","total_structures","share_three_or_fewer_stories","share_four_to_six_stories","share_seven_to_twenty_stories","share_twentyone_to_thirty_stories","share_greater_than_thirty_stories","avg_number_of_stories"
"1988","2452440","1060",NA,NA,3,100,0,0,0,0,0
"1988","2452780","1060",NA,NA,5,100,0,0,0,0,0
"1988","2456120","1060",NA,NA,12,100,0,0,0,0,0
"1988","2456280","1060",NA,NA,1,100,0,0,0,0,0
"1988","2456310","1060",NA,NA,2,100,0,0,0,0,0
"1988","2456400","1060",NA,NA,25,100,0,0,0,0,0
"1988","2456500","1060",NA,NA,1,100,0,0,0,0,0
"1988","2456580","1060",NA,NA,1,100,0,0,0,0,0
"1988","2456650","1060",NA,NA,62,100,0,0,0,0,0.0967741935483871
"1988","2456750","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988","2457110","1060",NA,NA,1,100,0,0,0,0,0
"1988","2457150","1060",NA,NA,2,100,0,0,0,0,2
"1988","2457280","1060",NA,NA,6,100,0,0,0,0,0
"1988","2457320","1060",NA,NA,2,100,0,0,0,0,0
"1988","2457400","1060",NA,NA,3,100,0,0,0,0,0
"1988","2462200","1060",NA,NA,12,91.666666666667,8.333333333333,0,0,0,0.333333333333333
"1988","2462240","1060",NA,NA,8,100,0,0,0,0,0
"1988","2462280","1060",NA,NA,15,100,0,0,0,0,0
"1988","2462310","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988","2462510","1060",NA,NA,3,100,0,0,0,0,0
"1988","2463110","1060",NA,NA,7,100,0,0,0,0,0
"1988","2463150","1060",NA,NA,61,100,0,0,0,0,0
"1988","2463190","1060",NA,NA,15,100,0,0,0,0,0
"1988","2463200","1060",NA,NA,1,100,0,0,0,0,0
"1988","2463220","1060",NA,NA,24,100,0,0,0,0,0
"1988","2463250","1060",NA,NA,19,100,0,0,0,0,0.210526315789474
"1988","2464500","1060",NA,NA,66,100,0,0,0,0,0
"1988","2465160","1060",NA,NA,4,100,0,0,0,0,0
"1988","2465180","1060",NA,NA,8,100,0,0,0,0,0
"1988","2465200","1060",NA,NA,14,100,0,0,0,0,0
"1988","2465220","1060",NA,NA,23,100,0,0,0,0,0
"1988","2465260","1060",NA,NA,150,98,0.666666666667,1.333333333333,0,0,0.32
"1988","2465280","1060",NA,NA,1,100,0,0,0,0,0
"1988","2465320","1060",NA,NA,7,100,0,0,0,0,0
"1988","2465340","1060",NA,NA,12,100,0,0,0,0,0.5
"1988","2465420","1060",NA,NA,8,100,0,0,0,0,0
"1988","2465480","1060",NA,NA,10,80,10,10,0,0,1.4
"1988","2465540","1060",NA,NA,4,100,0,0,0,0,0
"1988","2465580","1060",NA,NA,1,100,0,0,0,0,0
"1988","2465640","1060",NA,NA,1,100,0,0,0,0,0
"1988","2465700","1060",NA,NA,22,90.909090909091,4.545454545455,4.545454545455,0,0,0.636363636363636
"1988","2465720","1060",NA,NA,5,100,0,0,0,0,0
"1988","2465740","1060",NA,NA,9,100,0,0,0,0,0
"1988","2466380","1060",NA,NA,17,94.117647058824,5.882352941176,0,0,0,0.294117647058824
"1988","2466420","1060",NA,NA,5,100,0,0,0,0,0
"1988","2466500","1060",NA,NA,5,100,0,0,0,0,0
"1988","2466600","1060",NA,NA,1,100,0,0,0,0,0
"1988","2466700","1060",NA,NA,10,100,0,0,0,0,0.2
"1988","2469480","1060",NA,NA,1,100,0,0,0,0,3
"1988","2469600","1060",NA,NA,8,100,0,0,0,0,0.25
"1988","2470110","1060",NA,NA,1,100,0,0,0,0,0
"1988","2470180","1060",NA,NA,1,100,0,0,0,0,0
"1988","2470460","1060",NA,NA,4,100,0,0,0,0,0
"1988","2472150","1060",NA,NA,1,100,0,0,0,0,0
"1988","2472230","1060",NA,NA,13,100,0,0,0,0,0.461538461538462
"1988","2472260","1060",NA,NA,6,100,0,0,0,0,0.5
"1988","2472400","1060",NA,NA,3,100,0,0,0,0,0
"1988","2473120","1060",NA,NA,13,100,0,0,0,0,0.153846153846154
"1988","2473180","1060",NA,NA,13,100,0,0,0,0,0
"1988","2473300","1060",NA,NA,2,100,0,0,0,0,0
"1988","2473500","1060",NA,NA,1,100,0,0,0,0,0
"1988","2473650","1060",NA,NA,7,100,0,0,0,0,0
"1988","3503021","1265",NA,NA,1,100,0,0,0,0,3
"1988","3506004","1265",NA,NA,1,100,0,0,0,0,0
"1988","3506006","1265",NA,NA,3,100,0,0,0,0,0
"1988","3506012","1265",NA,NA,3,66.666666666667,0,33.333333333333,0,0,4
"1988","3506014","1265",NA,NA,16,100,0,0,0,0,0
"1988","3518001","2270","TORONTO","PICKERING CY",2,100,0,0,0,0,0
"1988","3518029","2270","TORONTO","UXBRIDGE TP",1,100,0,0,0,0,0
"1988","3519028","2270","TORONTO","VAUGHAN CY",1,100,0,0,0,0,0
"1988","3519038","2270","TORONTO","RICHMOND HILL T",2,100,0,0,0,0,0
"1988","3519046","2270","TORONTO","AURORA T",3,100,0,0,0,0,0
"1988","3520001","2270","TORONTO","PICKERING CY",11,100,0,0,0,0,0
"1988","3520004","2270",NA,NA,15,100,0,0,0,0,0
"1988","3520006","2270",NA,NA,1,100,0,0,0,0,0
"1988","3520008","2270",NA,NA,3,100,0,0,0,0,0
"1988","3520019","2270",NA,NA,1,100,0,0,0,0,0
"1988","3521005","2270","TORONTO","TORONTO C",9,44.444444444444,0,33.333333333333,22.222222222222,0,10.1111111111111
"1988","3521010","2270","TORONTO","BRAMPTON CY",3,100,0,0,0,0,0
"1988","3522014","2270","TORONTO","ORANGEVILLE T",2,100,0,0,0,0,0
"1988","3524001","2270","TORONTO","PICKERING CY",1,100,0,0,0,0,0
"1988","3524009","2270","TORONTO","MILTON T",1,100,0,0,0,0,0
"1988","4806016","0140","CALGARY","CALGARY CY",4,100,0,0,0,0,0
"1988","4811061","0340","EDMONTON","EDMONTON CY",3,33.333333333333,33.333333333333,33.333333333333,0,0,4.33333333333333
"1988","5911019","2410",NA,NA,2,100,0,0,0,0,0
