"reference_period_qq","metcode","gcd_ct_centroid_fsa","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr"
"2006-1","0610","L7T","March 31, 2006","HAMILTON",10,NA,NA,2,5,0,8.5
"2006-1","1060","H7W","March 31, 2006","MONTRÉAL",4,NA,NA,3,1.33333333333333,0,9.33333333333333
"2006-1","1060","J6R","March 31, 2006","MONTRÉAL",33,NA,NA,16,2.0625,0.1875,3.25
"2006-1","1265","nan","March 31, 2006","OTTAWA",596,NA,NA,395,1.50886075949367,0,5.87341772151899
"2006-1","0580","B3G","March 31, 2006","HALIFAX",2,NA,NA,1,2,0,5
"2006-1","1060","H2P","March 31, 2006","MONTRÉAL",4,NA,NA,1,4,3,4
"2006-1","2270","L7K","March 31, 2006","TORONTO",25,NA,NA,19,1.31578947368421,0,10.3684210526316
"2006-1","0610","L8J","March 31, 2006","HAMILTON",19,NA,NA,16,1.1875,0,2.375
"2006-1","0610","L8P","March 31, 2006","HAMILTON",1,NA,NA,1,1,0,6
"2006-1","2270","M2N","March 31, 2006","TORONTO",580,NA,NA,11,52.7272727272727,3.63636363636364,12.7272727272727
"2006-1","2410","V7V","March 31, 2006","VANCOUVER",2,NA,NA,2,1,0,16.5
"2006-1","0140","nan","March 31, 2006","CALGARY",1983,NA,NA,1772,1.11907449209932,0,5.36512415349887
"2006-1","1700","S7M","March 31, 2006","SASKATOON",6,NA,NA,5,1.2,0,6.4
"2006-1","2270","L4G","March 31, 2006","TORONTO",12,NA,NA,8,1.5,0,11.375
"2006-1","2270","L4S","March 31, 2006","TORONTO",161,NA,NA,2,80.5,7.5,19.5
"2006-1","2410","V7A","March 31, 2006","VANCOUVER",53,NA,NA,26,2.03846153846154,0.346153846153846,6.96153846153846
"2006-1","1060","H9A","March 31, 2006","MONTRÉAL",2,NA,NA,2,1,0,22
"2006-1","1060","J0N","March 31, 2006","MONTRÉAL",78,NA,NA,49,1.59183673469388,0.0408163265306122,4.61224489795918
"2006-1","1060","J4V","March 31, 2006","MONTRÉAL",6,NA,NA,2,3,2,6
"2006-1","1060","J5W","March 31, 2006","MONTRÉAL",35,NA,NA,25,1.4,0.16,3.36
"2006-1","1060","J7E","March 31, 2006","MONTRÉAL",19,NA,NA,3,6.33333333333333,0,10
"2006-1","2270","L5M","March 31, 2006","TORONTO",8,NA,NA,8,1,0,8.125
"2006-1","2410","V6N","March 31, 2006","VANCOUVER",8,NA,NA,8,1,0,9.75
"2006-1","2410","V6P","March 31, 2006","VANCOUVER",25,NA,NA,21,1.19047619047619,0,13.2857142857143
"2006-1","0340","T0C","March 31, 2006","EDMONTON",18,NA,NA,18,1,0,6.27777777777778
"2006-1","1060","J7K","March 31, 2006","MONTRÉAL",52,NA,NA,52,1,0,3.86538461538462
"2006-1","1400","G2K","March 31, 2006","QUÉBEC",5,NA,NA,5,1,0,2
"2006-1","0140","T3E","March 31, 2006","CALGARY",30,NA,NA,20,1.5,0,8.35
"2006-1","0610","L7R","March 31, 2006","HAMILTON",1,NA,NA,1,1,0,3
"2006-1","2410","V4K","March 31, 2006","VANCOUVER",30,NA,NA,17,1.76470588235294,0,6.82352941176471
"2006-1","2410","V5Y","March 31, 2006","VANCOUVER",1,NA,NA,1,1,0,6
"2006-1","2680","R3V","March 31, 2006","WINNIPEG",2,NA,NA,2,1,0,19.5
"2006-1","1265","K1H","March 31, 2006","OTTAWA",8,NA,NA,1,8,0,7
"2006-1","1400","G0A","March 31, 2006","QUÉBEC",79,NA,NA,79,1,0,5.74683544303798
"2006-1","2270","M8W","March 31, 2006","TORONTO",2,NA,NA,1,2,0,9
"2006-1","1060","H4V","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,3
"2006-1","2270","M4N","March 31, 2006","TORONTO",2,NA,NA,2,1,0,8.5
"2006-1","2270","M6E","March 31, 2006","TORONTO",2,NA,NA,2,1,0,9
"2006-1","2410","V3V","March 31, 2006","VANCOUVER",17,NA,NA,17,1,0,5.41176470588235
"2006-1","2410","V5K","March 31, 2006","VANCOUVER",10,NA,NA,10,1,0,5.4
"2006-1","1060","H1R","March 31, 2006","MONTRÉAL",5,NA,NA,5,1,0,4.6
"2006-1","2270","L6R","March 31, 2006","TORONTO",55,NA,NA,9,6.11111111111111,0,4.77777777777778
"2006-1","2270","M2R","March 31, 2006","TORONTO",16,NA,NA,7,2.28571428571429,0,9
"2006-1","2270","M4E","March 31, 2006","TORONTO",2,NA,NA,2,1,0,10.5
"2006-1","0580","B3L","March 31, 2006","HALIFAX",2,NA,NA,2,1,0,4
"2006-1","2410","V3L","March 31, 2006","VANCOUVER",1,NA,NA,1,1,0,60
"2006-1","2410","V6J","March 31, 2006","VANCOUVER",3,NA,NA,2,1.5,0,14
"2006-1","1060","H9S","March 31, 2006","MONTRÉAL",78,NA,NA,3,26,0,7
"2006-1","2270","L0P","March 31, 2006","TORONTO",10,NA,NA,7,1.42857142857143,0,5.57142857142857
"2006-1","2270","M1P","March 31, 2006","TORONTO",329,NA,NA,1,329,16,19
"2006-1","2270","M6N","March 31, 2006","TORONTO",34,NA,NA,3,11.3333333333333,0,14
"2006-1","2410","V3T","March 31, 2006","VANCOUVER",3,NA,NA,3,1,0,4.66666666666667
"2006-1","0610","L8T","March 31, 2006","HAMILTON",13,NA,NA,13,1,0,5.30769230769231
"2006-1","1060","H1V","March 31, 2006","MONTRÉAL",14,NA,NA,2,7,1.5,6.5
"2006-1","2270","M1S","March 31, 2006","TORONTO",2,NA,NA,2,1,0,6
"2006-1","1400","G2G","March 31, 2006","QUÉBEC",7,NA,NA,7,1,0,3.14285714285714
"2006-1","1265","K1T","March 31, 2006","OTTAWA",10,NA,NA,7,1.42857142857143,0,4.85714285714286
"2006-1","1400","G3E","March 31, 2006","QUÉBEC",29,NA,NA,23,1.26086956521739,0,4.91304347826087
"2006-1","2410","V3X","March 31, 2006","VANCOUVER",10,NA,NA,10,1,0,9.4
"2006-1","2410","V7E","March 31, 2006","VANCOUVER",11,NA,NA,11,1,0,5.81818181818182
"2006-1","2410","nan","March 31, 2006","VANCOUVER",2761,NA,NA,761,3.6281208935611,0.47568988173456,7.16819973718791
"2006-1","0340","T5P","March 31, 2006","EDMONTON",5,NA,NA,3,1.66666666666667,0,6.66666666666667
"2006-1","2680","R2P","March 31, 2006","WINNIPEG",14,NA,NA,14,1,0,3.42857142857143
"2006-1","2410","V5V","March 31, 2006","VANCOUVER",15,NA,NA,12,1.25,0.166666666666667,6.5
"2006-1","2680","R0E","March 31, 2006","WINNIPEG",6,NA,NA,6,1,0,3.83333333333333
"2006-1","0610","L0R","March 31, 2006","HAMILTON",7,NA,NA,7,1,0,11
"2006-1","1060","H7A","March 31, 2006","MONTRÉAL",35,NA,NA,23,1.52173913043478,0.130434782608696,4.1304347826087
"2006-1","1060","H7V","March 31, 2006","MONTRÉAL",158,NA,NA,3,52.6666666666667,6.66666666666667,15.6666666666667
"2006-1","2270","M4R","March 31, 2006","TORONTO",1,NA,NA,1,1,0,10
"2006-1","2410","V6V","March 31, 2006","VANCOUVER",6,NA,NA,6,1,0,5.33333333333333
"2006-1","0140","T2T","March 31, 2006","CALGARY",52,NA,NA,28,1.85714285714286,0,9.64285714285714
"2006-1","2270","L7E","March 31, 2006","TORONTO",4,NA,NA,4,1,0,13
"2006-1","1700","S7J","March 31, 2006","SASKATOON",15,NA,NA,10,1.5,0,6.7
"2006-1","0580","nan","March 31, 2006","HALIFAX",77,NA,NA,67,1.14925373134328,0,3.92537313432836
"2006-1","1400","G6C","March 31, 2006","QUÉBEC",8,NA,NA,5,1.6,0,9
"2006-1","2270","L4J","March 31, 2006","TORONTO",11,NA,NA,11,1,0,14.4545454545455
"2006-1","2410","V6A","March 31, 2006","VANCOUVER",291,NA,NA,3,97,11,17.6666666666667
"2006-1","0140","T2K","March 31, 2006","CALGARY",3,NA,NA,2,1.5,0,9
"2006-1","2410","V5L","March 31, 2006","VANCOUVER",14,NA,NA,10,1.4,0,8.1
"2006-1","0580","B2Y","March 31, 2006","HALIFAX",24,NA,NA,1,24,0,17
"2006-1","1060","nan","March 31, 2006","MONTRÉAL",976,NA,NA,681,1.43318649045521,0.136563876651982,5.02055800293686
"2006-1","2270","L6H","March 31, 2006","TORONTO",11,NA,NA,11,1,0,17
"2006-1","2270","M1J","March 31, 2006","TORONTO",1,NA,NA,1,1,0,6
"2006-1","2270","M9A","March 31, 2006","TORONTO",31,NA,NA,9,3.44444444444444,0,8.44444444444444
"2006-1","2410","V7T","March 31, 2006","VANCOUVER",7,NA,NA,4,1.75,0,14.75
"2006-1","0580","B2T","March 31, 2006","HALIFAX",2,NA,NA,2,1,0,2.5
"2006-1","2270","L9T","March 31, 2006","TORONTO",79,NA,NA,47,1.68085106382979,0,7.97872340425532
"2006-1","1060","H7R","March 31, 2006","MONTRÉAL",18,NA,NA,11,1.63636363636364,0,5.36363636363636
"2006-1","1400","G3A","March 31, 2006","QUÉBEC",24,NA,NA,14,1.71428571428571,0,4.71428571428571
"2006-1","0340","T5B","March 31, 2006","EDMONTON",1,NA,NA,1,1,0,5
"2006-1","1060","H8P","March 31, 2006","MONTRÉAL",8,NA,NA,3,2.66666666666667,1,12
"2006-1","2270","M1N","March 31, 2006","TORONTO",6,NA,NA,6,1,0,6
"2006-1","2410","V5P","March 31, 2006","VANCOUVER",5,NA,NA,5,1,0,3.2
"2006-1","2410","V6M","March 31, 2006","VANCOUVER",3,NA,NA,3,1,0,14.6666666666667
"2006-1","1400","G3K","March 31, 2006","QUÉBEC",4,NA,NA,1,4,0,7
"2006-1","2270","L9W","March 31, 2006","TORONTO",23,NA,NA,23,1,0,5.39130434782609
"2006-1","2680","R4A","March 31, 2006","WINNIPEG",2,NA,NA,2,1,0,8.5
"2006-1","0340","T5Y","March 31, 2006","EDMONTON",55,NA,NA,16,3.4375,0.25,5.8125
"2006-1","0340","T6G","March 31, 2006","EDMONTON",9,NA,NA,8,1.125,0,7.25
"2006-1","1060","H2R","March 31, 2006","MONTRÉAL",44,NA,NA,2,22,2,12
"2006-1","1060","J5B","March 31, 2006","MONTRÉAL",16,NA,NA,15,1.06666666666667,0,4.33333333333333
"2006-1","2270","M4L","March 31, 2006","TORONTO",70,NA,NA,2,35,0,9.5
"2006-1","2270","M2M","March 31, 2006","TORONTO",80,NA,NA,6,13.3333333333333,0,14.6666666666667
"2006-1","2440","V9B","March 31, 2006","VICTORIA",59,NA,NA,19,3.10526315789474,0.210526315789474,7.47368421052632
"2006-1","2680","R3R","March 31, 2006","WINNIPEG",3,NA,NA,3,1,0,7.33333333333333
"2006-1","1060","H1X","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,5
"2006-1","2270","L1Z","March 31, 2006","TORONTO",28,NA,NA,10,2.8,0,8.1
"2006-1","2270","L4C","March 31, 2006","TORONTO",6,NA,NA,6,1,0,12.6666666666667
"2006-1","2410","V7M","March 31, 2006","VANCOUVER",1,NA,NA,1,1,0,10
"2006-1","2270","M5T","March 31, 2006","TORONTO",65,NA,NA,3,21.6666666666667,1,15
"2006-1","1060","H1T","March 31, 2006","MONTRÉAL",8,NA,NA,1,8,3,17
"2006-1","2410","V4B","March 31, 2006","VANCOUVER",2,NA,NA,2,1,0,9
"2006-1","2410","V7L","March 31, 2006","VANCOUVER",14,NA,NA,6,2.33333333333333,0.333333333333333,6
"2006-1","1265","K4P","March 31, 2006","OTTAWA",11,NA,NA,11,1,0,6.09090909090909
"2006-1","2270","M1B","March 31, 2006","TORONTO",6,NA,NA,1,6,0,19
"2006-1","2270","M4A","March 31, 2006","TORONTO",2,NA,NA,1,2,0,4
"2006-1","1060","H9E","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,10
"2006-1","1400","G2N","March 31, 2006","QUÉBEC",14,NA,NA,14,1,0,3.14285714285714
"2006-1","2410","V3W","March 31, 2006","VANCOUVER",10,NA,NA,10,1,0,6.8
"2006-1","1400","G2M","March 31, 2006","QUÉBEC",9,NA,NA,7,1.28571428571429,0,7
"2006-1","1060","H1S","March 31, 2006","MONTRÉAL",29,NA,NA,1,29,6,9
"2006-1","1700","S7N","March 31, 2006","SASKATOON",12,NA,NA,9,1.33333333333333,0,7
"2006-1","1060","H7P","March 31, 2006","MONTRÉAL",23,NA,NA,13,1.76923076923077,0,6.30769230769231
"2006-1","1400","G2C","March 31, 2006","QUÉBEC",23,NA,NA,15,1.53333333333333,0.2,4.4
"2006-1","1400","G6W","March 31, 2006","QUÉBEC",12,NA,NA,4,3,0,9.5
"2006-1","0140","T2H","March 31, 2006","CALGARY",55,NA,NA,1,55,0,12
"2006-1","1060","J0L","March 31, 2006","MONTRÉAL",45,NA,NA,44,1.02272727272727,0,3.5
"2006-1","1060","J3G","March 31, 2006","MONTRÉAL",30,NA,NA,28,1.07142857142857,0.0714285714285714,4.21428571428571
"2006-1","2410","V5E","March 31, 2006","VANCOUVER",10,NA,NA,9,1.11111111111111,0,9.55555555555556
"2006-1","0610","L9G","March 31, 2006","HAMILTON",17,NA,NA,17,1,0,8.76470588235294
"2006-1","1060","J7T","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,1
"2006-1","0580","B3N","March 31, 2006","HALIFAX",14,NA,NA,14,1,0,3.14285714285714
"2006-1","1400","nan","March 31, 2006","QUÉBEC",331,NA,NA,255,1.29803921568627,0,3.71372549019608
"2006-1","2410","V4C","March 31, 2006","VANCOUVER",11,NA,NA,11,1,0,6.27272727272727
"2006-1","0340","T5H","March 31, 2006","EDMONTON",67,NA,NA,6,11.1666666666667,0,6.66666666666667
"2006-1","1060","J5L","March 31, 2006","MONTRÉAL",39,NA,NA,22,1.77272727272727,0,4.31818181818182
"2006-1","1265","K4M","March 31, 2006","OTTAWA",1,NA,NA,1,1,0,6
"2006-1","1400","G6V","March 31, 2006","QUÉBEC",58,NA,NA,15,3.86666666666667,0,3.46666666666667
"2006-1","2270","M9B","March 31, 2006","TORONTO",7,NA,NA,7,1,0,8.71428571428571
"2006-1","1060","H7T","March 31, 2006","MONTRÉAL",36,NA,NA,14,2.57142857142857,0.142857142857143,5.57142857142857
"2006-1","0580","B2R","March 31, 2006","HALIFAX",8,NA,NA,8,1,0,3.375
"2006-1","2410","V7W","March 31, 2006","VANCOUVER",19,NA,NA,10,1.9,0,16.2
"2006-1","2440","V8R","March 31, 2006","VICTORIA",3,NA,NA,3,1,0,9.66666666666667
"2006-1","2680","R3T","March 31, 2006","WINNIPEG",3,NA,NA,3,1,0,6
"2006-1","0140","T2E","March 31, 2006","CALGARY",139,NA,NA,21,6.61904761904762,0,14
"2006-1","1265","K2E","March 31, 2006","OTTAWA",4,NA,NA,4,1,0,8
"2006-1","2270","M1R","March 31, 2006","TORONTO",1,NA,NA,1,1,0,6
