"reference_period_qq","metcode","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","ref_qq","ref_yy","population","comp_per_10kpop"
"1988-2","2440","June 30, 1988","VICTORIA",81,NA,NA,65,1.24615384615385,0.0615384615384615,4.18461538461538,"2","1988",279357.102,2.89951461481011
"1988-2","0340","June 30, 1988","EDMONTON",337,NA,NA,306,1.10130718954248,0,3.87908496732026,NA,NA,NA,NA
"1988-2","0580","June 30, 1988",NA,142,NA,NA,118,1.20338983050847,0,3.4406779661017,NA,NA,NA,NA
"1988-2","2680","June 30, 1988","WINNIPEG",417,NA,NA,354,1.17796610169492,0.0367231638418079,6.22598870056497,"2","1988",664919.517,6.2714357052028
"1988-2","0140","June 30, 1988","CALGARY",355,NA,NA,149,2.38255033557047,0,5.32214765100671,NA,NA,NA,NA
"1988-2","1400","June 30, 1988",NA,803,NA,NA,418,1.92105263157895,0,3.24162679425837,"2","1988",641710.984,12.513421462644
"1988-2","1265","June 30, 1988",NA,812,NA,NA,404,2.00990099009901,0.0643564356435644,5.37128712871287,"2","1988",675615.3203,12.0186735795073
"1988-2","2410","June 30, 1988","VANCOUVER",1407,NA,NA,600,2.345,0.155,4.17666666666667,"2","1988",1535606.75,9.16250205334146
"1988-2","0610","June 30, 1988",NA,182,NA,NA,181,1.00552486187845,0,4.8232044198895,NA,NA,NA,NA
"1988-2","1060","June 30, 1988",NA,4383,NA,NA,1919,2.28400208441897,0.146430432516936,3.96039603960396,"2","1988",3315750.79,13.2187256449391
"1988-2","2270","June 30, 1988","TORONTO",3819,NA,NA,1970,1.93857868020305,0.0639593908629442,7.69035532994924,"2","1988",3844267.56,9.93427210878111
"1988-2","1700","June 30, 1988","SASKATOON",258,NA,NA,87,2.96551724137931,0.218390804597701,4.5632183908046,"2","1988",215818.898,11.9544674906087
"1988-2","1490","June 30, 1988","REGINA",177,NA,NA,50,3.54,0.06,5.64,"2","1988",196029.748,9.02924182711289
"1988-3","0580","September 30, 1988",NA,662,NA,NA,471,1.40552016985138,0,2.81740976645435,NA,NA,NA,NA
"1988-3","1060","September 30, 1988",NA,9987,NA,NA,4437,2.25084516565247,0.105251295920667,3.28194726166329,"3","1988",3338762.63,29.91227920866
"1988-3","1400","September 30, 1988",NA,3384,NA,NA,1621,2.08760024676126,0,2.70141887723627,"3","1988",644355.468,52.5175957690484
"1988-3","1490","September 30, 1988","REGINA",245,NA,NA,193,1.26943005181347,0.0155440414507772,5.18652849740933,"3","1988",195669.178,12.5211340132476
"1988-3","2680","September 30, 1988","WINNIPEG",1125,NA,NA,971,1.15859938208033,0.00926879505664264,5.14006179196704,"3","1988",665097.47,16.91481400463
"1988-3","0610","September 30, 1988",NA,1923,NA,NA,1234,1.55834683954619,0.0218800648298217,3.58508914100486,NA,NA,NA,NA
"1988-3","0340","September 30, 1988","EDMONTON",1093,NA,NA,1044,1.04693486590038,0,3.34195402298851,NA,NA,NA,NA
"1988-3","1265","September 30, 1988",NA,2441,NA,NA,1394,1.75107604017217,0,4.13845050215208,"3","1988",679205.4357,35.9390527769299
"1988-3","2440","September 30, 1988","VICTORIA",761,NA,NA,497,1.53118712273642,0.06841046277666,3.92555331991952,"3","1988",281509.78,27.0328085937192
"1988-3","2410","September 30, 1988","VANCOUVER",4458,NA,NA,2628,1.69634703196347,0.102359208523592,4.17237442922374,"3","1988",1550546.04,28.7511617520238
"1988-3","0140","September 30, 1988","CALGARY",966,NA,NA,928,1.04094827586207,0,5.02478448275862,NA,NA,NA,NA
"1988-3","2270","September 30, 1988","TORONTO",7846,NA,NA,5145,1.52497570456754,0.00660835762876579,7.31331389698737,"3","1988",3890054.47,20.1693833865519
"1988-3","1700","September 30, 1988","SASKATOON",368,NA,NA,247,1.48987854251012,0.0404858299595142,5.61538461538461,"3","1988",215988.035,17.0379808307437
"1988-4","0610","December 31, 1988",NA,1307,NA,NA,1148,1.13850174216028,0,3.35278745644599,NA,NA,NA,NA
"1988-4","2680","December 31, 1988","WINNIPEG",1303,NA,NA,773,1.6856403622251,0.0815006468305304,4.39974126778784,"4","1988",665928.947,19.5666520560489
"1988-4","1265","December 31, 1988",NA,2116,NA,NA,1333,1.5873968492123,0.0225056264066016,4.41560390097524,"4","1988",683074.4453,30.9775898448473
"1988-4","2270","December 31, 1988","TORONTO",8638,NA,NA,5886,1.46755011892627,0.00152905198776758,7.02327556914713,"4","1988",3917164.25,22.0516665850813
"1988-4","0340","December 31, 1988","EDMONTON",991,NA,NA,939,1.05537806176784,0,3.84025559105431,NA,NA,NA,NA
"1988-4","1060","December 31, 1988",NA,7958,NA,NA,3828,2.07889237199582,0.135579937304075,2.77194357366771,"4","1988",3351700.63,23.7431706423017
"1988-4","1490","December 31, 1988","REGINA",255,NA,NA,254,1.00393700787402,0,4.92913385826772,"4","1988",195585.119,13.0378017153749
"1988-4","0140","December 31, 1988","CALGARY",1159,NA,NA,1045,1.10909090909091,0.0401913875598086,4.9933014354067,NA,NA,NA,NA
"1988-4","2410","December 31, 1988","VANCOUVER",4427,NA,NA,2503,1.76867758689573,0.0799041150619257,4.40751098681582,"4","1988",1562206,28.3381321029365
"1988-4","0580","December 31, 1988",NA,832,NA,NA,396,2.1010101010101,0,3.83333333333333,NA,NA,NA,NA
"1988-4","2440","December 31, 1988","VICTORIA",618,NA,NA,423,1.46099290780142,0.0851063829787234,3.47754137115839,"4","1988",283268.492,21.8167575093385
"1988-4","1700","December 31, 1988","SASKATOON",353,NA,NA,257,1.37354085603113,0.0389105058365759,3.84046692607004,"4","1988",216113.54,16.334006652244
"1988-4","1400","December 31, 1988",NA,1288,NA,NA,778,1.65552699228792,0,2.30077120822622,"4","1988",646773.443,19.914237573295
"1989-1","0610","March 31, 1989","HAMILTON",1286,NA,NA,762,1.68766404199475,0.0249343832020997,4.04330708661417,NA,NA,NA,NA
"1989-1","2440","March 31, 1989","VICTORIA",596,NA,NA,331,1.80060422960725,0.129909365558912,4.30211480362538,"1","1989",284989.582,20.9130451652791
"1989-1","1265","March 31, 1989",NA,1441,NA,NA,748,1.92647058823529,0.00267379679144385,5.0548128342246,"1","1989",687310.2876,20.9657854101353
"1989-1","0580","March 31, 1989",NA,589,NA,NA,367,1.60490463215259,0,4.64850136239782,NA,NA,NA,NA
"1989-1","1700","March 31, 1989","SASKATOON",419,NA,NA,94,4.45744680851064,0.0638297872340425,5.11702127659574,"1","1989",216182.412,19.3817802347399
"1989-1","2680","March 31, 1989","WINNIPEG",899,NA,NA,332,2.7078313253012,0.108433734939759,5.83734939759036,"1","1989",666875.804,13.4807710012523
"1989-1","2410","March 31, 1989","VANCOUVER",4189,NA,NA,2286,1.83245844269466,0.0975503062117235,4.78958880139982,"1","1989",1573306.47,26.6254546070735
"1989-1","1060","March 31, 1989",NA,3189,NA,NA,1547,2.06140917905624,0.101486748545572,2.75500969618617,"1","1989",3362909.66,9.48285955442526
"1989-1","0340","March 31, 1989","EDMONTON",767,NA,NA,722,1.06232686980609,0,3.81440443213296,NA,NA,NA,NA
"1989-1","0140","March 31, 1989","CALGARY",689,NA,NA,685,1.00583941605839,0.00291970802919708,4.22919708029197,NA,NA,NA,NA
"1989-1","1490","March 31, 1989","REGINA",199,NA,NA,100,1.99,0,6.34,"1","1989",195512.961,10.1783533420068
"1989-1","1400","March 31, 1989",NA,638,NA,NA,351,1.81766381766382,0,2.55270655270655,"1","1989",649245.201,9.8267957778867
"1989-1","2270","March 31, 1989","TORONTO",11942,NA,NA,4981,2.3975105400522,0.0226862075888376,6.62417185304156,"1","1989",3940479.77,30.3059543432195
"1989-2","1265","June 30, 1989",NA,1868,NA,NA,942,1.98301486199575,0.0764331210191083,4.6135881104034,"2","1989",691790.7378,27.0023852291016
"1989-2","0340","June 30, 1989","EDMONTON",821,NA,NA,743,1.1049798115747,0,3.80619111709287,NA,NA,NA,NA
"1989-2","0610","June 30, 1989","HAMILTON",980,NA,NA,721,1.35922330097087,0,3.94868238557559,NA,NA,NA,NA
"1989-2","1060","June 30, 1989",NA,7179,NA,NA,3229,2.22328894394549,0.130071229482812,2.95447506968102,"2","1989",3372389.72,21.2875752687326
"1989-2","2680","June 30, 1989","WINNIPEG",2002,NA,NA,526,3.80608365019011,0.091254752851711,6.18631178707224,"2","1989",667938.04,29.9728399957577
