"reference_period_qq","metcode","gcd_ct_centroid_fsa","date_pbi","metro","inventory","num_structures","unitsperstructure","avgstorycount"
"2006-1","0140","T2V","March 31, 2006","CALGARY",1,3,0.333333333333333,0
"2006-1","0140","T3E","March 31, 2006","CALGARY",0,7,0,0
"2006-1","0140","T2K","March 31, 2006","CALGARY",2,1,2,0
"2006-1","0140","T2M","March 31, 2006","CALGARY",4,7,0.571428571428571,0
"2006-1","0140","T2C","March 31, 2006","CALGARY",0,13,0,0
"2006-1","0140","T2S","March 31, 2006","CALGARY",0,1,0,0
"2006-1","0140","T2Y","March 31, 2006","CALGARY",2,15,0.133333333333333,0
"2006-1","0140","T3C","March 31, 2006","CALGARY",0,1,0,0
"2006-1","0140","nan","March 31, 2006","CALGARY",650,1230,0.528455284552846,0
"2006-1","0140","T2T","March 31, 2006","CALGARY",5,15,0.333333333333333,0
"2006-1","0140","T2E","March 31, 2006","CALGARY",6,6,1,0
"2006-1","0140","T2N","March 31, 2006","CALGARY",2,8,0.25,0
"2006-1","0340","T5A","March 31, 2006","EDMONTON",5,4,1.25,0
"2006-1","0340","T0C","March 31, 2006","EDMONTON",0,4,0,0
"2006-1","0340","T5P","March 31, 2006","EDMONTON",2,1,2,0
"2006-1","0340","T8N","March 31, 2006","EDMONTON",0,3,0,0
"2006-1","0340","T7Z","March 31, 2006","EDMONTON",4,2,2,0
"2006-1","0340","T5E","March 31, 2006","EDMONTON",2,3,0.666666666666667,0
"2006-1","0340","T6C","March 31, 2006","EDMONTON",4,2,2,1.5
"2006-1","0340","T8B","March 31, 2006","EDMONTON",0,1,0,0
"2006-1","0340","T6R","March 31, 2006","EDMONTON",5,13,0.384615384615385,0
"2006-1","0340","nan","March 31, 2006","EDMONTON",949,1282,0.740249609984399,0.093603744149766
"2006-1","0340","T5M","March 31, 2006","EDMONTON",4,2,2,0
"2006-1","0340","T8A","March 31, 2006","EDMONTON",0,1,0,0
"2006-1","0340","T8T","March 31, 2006","EDMONTON",0,6,0,0
"2006-1","0340","T9E","March 31, 2006","EDMONTON",3,6,0.5,0
"2006-1","0340","T6E","March 31, 2006","EDMONTON",0,3,0,0
"2006-1","0340","T8R","March 31, 2006","EDMONTON",4,10,0.4,0
"2006-1","0340","T6H","March 31, 2006","EDMONTON",8,2,4,2
"2006-1","0340","T5Y","March 31, 2006","EDMONTON",33,10,3.3,0.4
"2006-1","0340","T6G","March 31, 2006","EDMONTON",0,2,0,0
"2006-1","0340","T9G","March 31, 2006","EDMONTON",0,6,0,0
"2006-1","0340","T5H","March 31, 2006","EDMONTON",1,1,1,0
"2006-1","0340","T6M","March 31, 2006","EDMONTON",0,1,0,0
"2006-1","0340","T5T","March 31, 2006","EDMONTON",25,1,25,5
"2006-1","0340","T7Y","March 31, 2006","EDMONTON",0,3,0,0
"2006-1","0340","T5N","March 31, 2006","EDMONTON",0,2,0,0
"2006-1","0580","nan","March 31, 2006","HALIFAX",38,48,0.791666666666667,0
"2006-1","0580","B4C","March 31, 2006","HALIFAX",0,2,0,0
"2006-1","0580","B2R","March 31, 2006","HALIFAX",2,4,0.5,0
"2006-1","0580","B4E","March 31, 2006","HALIFAX",2,2,1,0
"2006-1","0580","B4A","March 31, 2006","HALIFAX",8,11,0.727272727272727,0
"2006-1","0580","B3J","March 31, 2006","HALIFAX",52,1,52,0
"2006-1","0580","B3M","March 31, 2006","HALIFAX",3,3,1,0
"2006-1","0580","B3K","March 31, 2006","HALIFAX",4,2,2,0
"2006-1","0580","B3Z","March 31, 2006","HALIFAX",0,3,0,0
"2006-1","0580","B3P","March 31, 2006","HALIFAX",4,3,1.33333333333333,0
"2006-1","0580","B0J","March 31, 2006","HALIFAX",3,11,0.272727272727273,0
"2006-1","0580","B2T","March 31, 2006","HALIFAX",1,2,0.5,0
"2006-1","0580","B2Z","March 31, 2006","HALIFAX",0,8,0,0
"2006-1","0580","B3N","March 31, 2006","HALIFAX",1,6,0.166666666666667,0
"2006-1","0610","L9A","March 31, 2006","HAMILTON",0,3,0,0
"2006-1","0610","L7R","March 31, 2006","HAMILTON",0,1,0,0
"2006-1","0610","L0R","March 31, 2006","HAMILTON",1,2,0.5,0
"2006-1","0610","nan","March 31, 2006","HAMILTON",80,136,0.588235294117647,0
"2006-1","0610","L8J","March 31, 2006","HAMILTON",2,4,0.5,0
"2006-1","0610","L8T","March 31, 2006","HAMILTON",0,6,0,0
"2006-1","0610","L7N","March 31, 2006","HAMILTON",0,2,0,0
"2006-1","0610","L9G","March 31, 2006","HAMILTON",0,3,0,0
"2006-1","0610","N1R","March 31, 2006","HAMILTON",0,1,0,0
"2006-1","0610","L9B","March 31, 2006","HAMILTON",0,3,0,0
"2006-1","0610","L8G","March 31, 2006","HAMILTON",0,4,0,0
"2006-1","0610","L8H","March 31, 2006","HAMILTON",1,1,1,0
"2006-1","0610","L9C","March 31, 2006","HAMILTON",0,3,0,0
"2006-1","0610","L8R","March 31, 2006","HAMILTON",0,4,0,0
"2006-1","0610","L3M","March 31, 2006","HAMILTON",4,7,0.571428571428571,0
"2006-1","0610","L8E","March 31, 2006","HAMILTON",20,16,1.25,0
"2006-1","1060","J3X","March 31, 2006","MONTRÉAL",9,3,3,2.33333333333333
"2006-1","1060","J7Z","March 31, 2006","MONTRÉAL",9,4,2.25,1.5
"2006-1","1060","H2X","March 31, 2006","MONTRÉAL",21,1,21,4
"2006-1","1060","H4B","March 31, 2006","MONTRÉAL",4,2,2,3
"2006-1","1060","J7M","March 31, 2006","MONTRÉAL",24,35,0.685714285714286,0.142857142857143
"2006-1","1060","J7K","March 31, 2006","MONTRÉAL",0,7,0,0
"2006-1","1060","H4V","March 31, 2006","MONTRÉAL",0,1,0,0
"2006-1","1060","H7A","March 31, 2006","MONTRÉAL",8,9,0.888888888888889,0.333333333333333
"2006-1","1060","H7V","March 31, 2006","MONTRÉAL",96,3,32,6.66666666666667
"2006-1","1060","nan","March 31, 2006","MONTRÉAL",2063,968,2.13119834710744,0.99896694214876
"2006-1","1060","H8P","March 31, 2006","MONTRÉAL",4,2,2,1.5
"2006-1","1060","H2G","March 31, 2006","MONTRÉAL",3,1,3,3
"2006-1","1060","J5B","March 31, 2006","MONTRÉAL",3,7,0.428571428571429,0
"2006-1","1060","H1T","March 31, 2006","MONTRÉAL",7,1,7,3
"2006-1","1060","H9E","March 31, 2006","MONTRÉAL",0,1,0,0
"2006-1","1060","H7K","March 31, 2006","MONTRÉAL",0,1,0,0
"2006-1","1060","J3H","March 31, 2006","MONTRÉAL",12,12,1,0.333333333333333
"2006-1","1060","J5L","March 31, 2006","MONTRÉAL",16,13,1.23076923076923,0.153846153846154
"2006-1","1060","H7T","March 31, 2006","MONTRÉAL",17,8,2.125,0.25
"2006-1","1060","H8S","March 31, 2006","MONTRÉAL",3,2,1.5,0
"2006-1","1060","H1A","March 31, 2006","MONTRÉAL",0,1,0,0
"2006-1","1060","J7A","March 31, 2006","MONTRÉAL",0,2,0,0
"2006-1","1060","J7C","March 31, 2006","MONTRÉAL",0,8,0,0
"2006-1","1060","J5R","March 31, 2006","MONTRÉAL",10,9,1.11111111111111,0
"2006-1","1060","H2V","March 31, 2006","MONTRÉAL",14,1,14,0
"2006-1","1060","J4X","March 31, 2006","MONTRÉAL",1,2,0.5,0
"2006-1","1060","J6Y","March 31, 2006","MONTRÉAL",12,11,1.09090909090909,0
"2006-1","1060","H3P","March 31, 2006","MONTRÉAL",1,1,1,0
"2006-1","1060","H7E","March 31, 2006","MONTRÉAL",1,6,0.166666666666667,0
"2006-1","1060","H9X","March 31, 2006","MONTRÉAL",1,2,0.5,0
"2006-1","1060","H9J","March 31, 2006","MONTRÉAL",0,2,0,0
"2006-1","1060","H9R","March 31, 2006","MONTRÉAL",48,3,16,3.33333333333333
"2006-1","1060","J6N","March 31, 2006","MONTRÉAL",0,1,0,0
"2006-1","1060","H7M","March 31, 2006","MONTRÉAL",5,9,0.555555555555556,0.222222222222222
"2006-1","1060","J4R","March 31, 2006","MONTRÉAL",0,1,0,0
"2006-1","1060","J4N","March 31, 2006","MONTRÉAL",11,6,1.83333333333333,1
"2006-1","1060","J0P","March 31, 2006","MONTRÉAL",0,2,0,0
"2006-1","1060","H7H","March 31, 2006","MONTRÉAL",0,1,0,0
"2006-1","1060","J3N","March 31, 2006","MONTRÉAL",2,3,0.666666666666667,0
"2006-1","1060","J5A","March 31, 2006","MONTRÉAL",10,1,10,0
"2006-1","1060","H8T","March 31, 2006","MONTRÉAL",6,3,2,1.66666666666667
"2006-1","1060","J4Z","March 31, 2006","MONTRÉAL",9,3,3,1.33333333333333
