"reference_period_qq","metcode","gcd_ct_centroid_fsa","dweltype","mkttycd","date_pbi","metro","inventory","num_structures","unitsperstructure","avgstorycount"
"2006-1","0140","T2K",2,1,"March 31, 2006","CALGARY",2,1,2,0
"2006-1","0140","T2E",1,1,"March 31, 2006","CALGARY",2,4,0.5,0
"2006-1","0140","T2T",2,1,"March 31, 2006","CALGARY",5,7,0.714285714285714,0
"2006-1","0140","T3E",2,1,"March 31, 2006","CALGARY",0,1,0,0
"2006-1","0140","T2Y",1,1,"March 31, 2006","CALGARY",2,10,0.2,0
"2006-1","0140","nan",2,1,"March 31, 2006","CALGARY",77,83,0.927710843373494,0
"2006-1","0140","nan",4,3,"March 31, 2006","CALGARY",13,8,1.625,0
"2006-1","0140","T3E",1,1,"March 31, 2006","CALGARY",0,6,0,0
"2006-1","0140","T2Y",2,3,"March 31, 2006","CALGARY",0,5,0,0
"2006-1","0140","T2E",2,1,"March 31, 2006","CALGARY",4,2,2,0
"2006-1","0140","T3C",2,1,"March 31, 2006","CALGARY",0,1,0,0
"2006-1","0140","T2M",1,1,"March 31, 2006","CALGARY",1,4,0.25,0
"2006-1","0140","T2N",2,1,"March 31, 2006","CALGARY",0,2,0,0
"2006-1","0140","T2N",1,1,"March 31, 2006","CALGARY",2,6,0.333333333333333,0
"2006-1","0140","T2V",2,1,"March 31, 2006","CALGARY",1,1,1,0
"2006-1","0140","T2V",1,1,"March 31, 2006","CALGARY",0,2,0,0
"2006-1","0140","nan",1,1,"March 31, 2006","CALGARY",530,1117,0.474485228290063,0
"2006-1","0140","T2C",1,1,"March 31, 2006","CALGARY",0,13,0,0
"2006-1","0140","T2M",2,1,"March 31, 2006","CALGARY",3,3,1,0
"2006-1","0140","nan",2,3,"March 31, 2006","CALGARY",26,20,1.3,0
"2006-1","0140","T2T",1,1,"March 31, 2006","CALGARY",0,8,0,0
"2006-1","0140","nan",5,3,"March 31, 2006","CALGARY",4,2,2,0
"2006-1","0140","T2S",1,1,"March 31, 2006","CALGARY",0,1,0,0
