"reference_period_qq","metcode","date_pbi","metro","inventory","num_structures","unitsperstructure","avgstorycount","ref_qq","ref_yy","population","inventory_per_10kpop"
"1988-2","0140","June 30, 1988","CALGARY",172,306,0.562091503267974,0.0849673202614379,NA,NA,NA,NA
"1988-3","0140","September 30, 1988","CALGARY",137,550,0.249090909090909,0.0472727272727273,NA,NA,NA,NA
"1988-4","0140","December 31, 1988","CALGARY",118,400,0.295,0.07,NA,NA,NA,NA
"1989-1","0140","March 31, 1989","CALGARY",146,339,0.430678466076696,0.00589970501474926,NA,NA,NA,NA
"1989-2","0140","June 30, 1989","CALGARY",233,618,0.377022653721683,0.00323624595469256,NA,NA,NA,NA
"1989-3","0140","September 30, 1989","CALGARY",290,742,0.390835579514825,0,NA,NA,NA,NA
"1989-4","0140","December 31, 1989","CALGARY",363,640,0.5671875,0,NA,NA,NA,NA
"1990-1","0140","March 31, 1990","CALGARY",426,893,0.477043673012318,0,NA,NA,NA,NA
"1990-2","0140","June 30, 1990","CALGARY",585,1150,0.508695652173913,0,NA,NA,NA,NA
"1990-3","0140","September 30, 1990","CALGARY",634,1255,0.505179282868526,0,NA,NA,NA,NA
"1990-4","0140","December 31, 1990","CALGARY",575,946,0.607822410147992,0,NA,NA,NA,NA
"1991-1","0140","March 31, 1991","CALGARY",519,700,0.741428571428571,0.0128571428571429,NA,NA,NA,NA
"1991-2","0140","June 30, 1991","CALGARY",663,803,0.825653798256538,0.0112079701120797,NA,NA,NA,NA
"1991-3","0140","September 30, 1991","CALGARY",689,1013,0.680157946692991,0.0118460019743337,NA,NA,NA,NA
"1991-4","0140","December 31, 1991","CALGARY",645,900,0.716666666666667,0.0133333333333333,NA,NA,NA,NA
"1992-1","0140","March 31, 1992","CALGARY",614,925,0.663783783783784,0.00324324324324324,NA,NA,NA,NA
"1992-2","0140","June 30, 1992","CALGARY",614,1106,0.555153707052441,0,NA,NA,NA,NA
"1992-3","0140","September 30, 1992","CALGARY",516,1087,0.474701011959522,0,NA,NA,NA,NA
"1992-4","0140","December 31, 1992","CALGARY",554,916,0.604803493449782,0,NA,NA,NA,NA
"1993-1","0140","March 31, 1993","CALGARY",581,815,0.712883435582822,0,NA,NA,NA,NA
"1993-2","0140","June 30, 1993","CALGARY",716,1088,0.658088235294118,0,NA,NA,NA,NA
"1993-3","0140","September 30, 1993","CALGARY",683,1125,0.607111111111111,0,NA,NA,NA,NA
"1993-4","0140","December 31, 1993","CALGARY",641,1016,0.630905511811024,0,NA,NA,NA,NA
"1994-1","0140","March 31, 1994","CALGARY",739,965,0.76580310880829,0,NA,NA,NA,NA
"1994-2","0140","June 30, 1994","CALGARY",669,1200,0.5575,0,NA,NA,NA,NA
"1994-3","0140","September 30, 1994","CALGARY",727,1270,0.57244094488189,0,NA,NA,NA,NA
"1994-4","0140","December 31, 1994","CALGARY",671,969,0.692466460268318,0,NA,NA,NA,NA
"1995-1","0140","March 31, 1995","CALGARY",938,1120,0.8375,0,NA,NA,NA,NA
"1995-2","0140","June 30, 1995","CALGARY",906,1343,0.674609084139985,0,NA,NA,NA,NA
"1995-3","0140","September 30, 1995","CALGARY",758,1286,0.589424572317263,0,NA,NA,NA,NA
"1995-4","0140","December 31, 1995","CALGARY",976,1132,0.862190812720848,0,NA,NA,NA,NA
"1996-1","0140","March 31, 1996","CALGARY",974,1137,0.856640281442392,0,NA,NA,NA,NA
"1996-2","0140","June 30, 1996","CALGARY",885,1252,0.706869009584665,0,NA,NA,NA,NA
"1996-3","0140","September 30, 1996","CALGARY",754,1200,0.628333333333333,0,NA,NA,NA,NA
"1996-4","0140","December 31, 1996","CALGARY",692,1051,0.658420551855376,0,NA,NA,NA,NA
"1997-1","0140","March 31, 1997","CALGARY",669,981,0.681957186544342,0,NA,NA,NA,NA
"1997-2","0140","June 30, 1997","CALGARY",604,1198,0.504173622704507,0,NA,NA,NA,NA
"1997-3","0140","September 30, 1997","CALGARY",567,1298,0.436825885978428,0,NA,NA,NA,NA
"1997-4","0140","December 31, 1997","CALGARY",551,1274,0.432496075353218,0,NA,NA,NA,NA
