"reference_period_qq","metcode","dweltype","mkttycd","date_pbi","metro","inventory","num_structures","unitsperstructure","avgstorycount","ref_qq","ref_yy","population","inventory_per_10kpop"
"1988-2","0140",2,1,"June 30, 1988","CALGARY",5,4,1.25,0,NA,NA,NA,NA
"1988-2","0140",5,3,"June 30, 1988","CALGARY",2,1,2,26,NA,NA,NA,NA
"1988-2","0140",1,1,"June 30, 1988","CALGARY",165,301,0.548172757475083,0,NA,NA,NA,NA
"1988-3","0140",1,1,"September 30, 1988","CALGARY",124,518,0.239382239382239,0,NA,NA,NA,NA
"1988-3","0140",2,1,"September 30, 1988","CALGARY",11,31,0.354838709677419,0,NA,NA,NA,NA
"1988-3","0140",5,3,"September 30, 1988","CALGARY",2,1,2,26,NA,NA,NA,NA
"1988-4","0140",4,1,"December 31, 1988","CALGARY",7,1,7,2,NA,NA,NA,NA
"1988-4","0140",5,3,"December 31, 1988","CALGARY",2,1,2,26,NA,NA,NA,NA
"1988-4","0140",1,1,"December 31, 1988","CALGARY",95,368,0.258152173913043,0,NA,NA,NA,NA
"1988-4","0140",2,1,"December 31, 1988","CALGARY",14,30,0.466666666666667,0,NA,NA,NA,NA
"1989-1","0140",1,1,"March 31, 1989","CALGARY",128,327,0.391437308868502,0,NA,NA,NA,NA
"1989-1","0140",2,1,"March 31, 1989","CALGARY",15,11,1.36363636363636,0,NA,NA,NA,NA
"1989-1","0140",4,1,"March 31, 1989","CALGARY",3,1,3,2,NA,NA,NA,NA
"1989-2","0140",1,1,"June 30, 1989","CALGARY",219,605,0.36198347107438,0,NA,NA,NA,NA
"1989-2","0140",2,1,"June 30, 1989","CALGARY",11,12,0.916666666666667,0,NA,NA,NA,NA
"1989-2","0140",4,1,"June 30, 1989","CALGARY",3,1,3,2,NA,NA,NA,NA
"1989-3","0140",4,1,"September 30, 1989","CALGARY",2,1,2,0,NA,NA,NA,NA
"1989-3","0140",1,1,"September 30, 1989","CALGARY",274,731,0.374829001367989,0,NA,NA,NA,NA
"1989-3","0140",2,1,"September 30, 1989","CALGARY",14,10,1.4,0,NA,NA,NA,NA
"1989-4","0140",1,1,"December 31, 1989","CALGARY",325,619,0.525040387722132,0,NA,NA,NA,NA
"1989-4","0140",2,1,"December 31, 1989","CALGARY",24,16,1.5,0,NA,NA,NA,NA
"1989-4","0140",4,1,"December 31, 1989","CALGARY",14,5,2.8,0,NA,NA,NA,NA
"1990-1","0140",2,1,"March 31, 1990","CALGARY",20,29,0.689655172413793,0,NA,NA,NA,NA
"1990-1","0140",4,1,"March 31, 1990","CALGARY",1,1,1,0,NA,NA,NA,NA
"1990-1","0140",4,3,"March 31, 1990","CALGARY",1,1,1,0,NA,NA,NA,NA
"1990-1","0140",1,1,"March 31, 1990","CALGARY",404,862,0.468677494199536,0,NA,NA,NA,NA
"1990-2","0140",2,3,"June 30, 1990","CALGARY",7,9,0.777777777777778,0,NA,NA,NA,NA
"1990-2","0140",2,1,"June 30, 1990","CALGARY",26,118,0.220338983050847,0,NA,NA,NA,NA
"1990-2","0140",5,3,"June 30, 1990","CALGARY",3,1,3,0,NA,NA,NA,NA
"1990-2","0140",1,3,"June 30, 1990","CALGARY",1,1,1,0,NA,NA,NA,NA
"1990-2","0140",4,3,"June 30, 1990","CALGARY",27,11,2.45454545454545,0,NA,NA,NA,NA
"1990-2","0140",4,1,"June 30, 1990","CALGARY",7,6,1.16666666666667,0,NA,NA,NA,NA
"1990-2","0140",1,1,"June 30, 1990","CALGARY",514,1004,0.51195219123506,0,NA,NA,NA,NA
"1990-3","0140",4,3,"September 30, 1990","CALGARY",36,12,3,0,NA,NA,NA,NA
"1990-3","0140",1,1,"September 30, 1990","CALGARY",558,1211,0.460776218001652,0,NA,NA,NA,NA
"1990-3","0140",2,1,"September 30, 1990","CALGARY",17,15,1.13333333333333,0,NA,NA,NA,NA
"1990-3","0140",2,3,"September 30, 1990","CALGARY",19,15,1.26666666666667,0,NA,NA,NA,NA
"1990-3","0140",5,3,"September 30, 1990","CALGARY",3,1,3,0,NA,NA,NA,NA
"1990-3","0140",1,3,"September 30, 1990","CALGARY",1,1,1,0,NA,NA,NA,NA
"1990-4","0140",2,1,"December 31, 1990","CALGARY",25,24,1.04166666666667,0,NA,NA,NA,NA
"1990-4","0140",5,3,"December 31, 1990","CALGARY",3,1,3,0,NA,NA,NA,NA
"1990-4","0140",2,3,"December 31, 1990","CALGARY",17,18,0.944444444444444,0,NA,NA,NA,NA
"1990-4","0140",1,1,"December 31, 1990","CALGARY",489,889,0.550056242969629,0,NA,NA,NA,NA
"1990-4","0140",4,3,"December 31, 1990","CALGARY",41,14,2.92857142857143,0,NA,NA,NA,NA
"1991-1","0140",5,3,"March 31, 1991","CALGARY",60,2,30,4.5,NA,NA,NA,NA
"1991-1","0140",2,3,"March 31, 1991","CALGARY",23,15,1.53333333333333,0,NA,NA,NA,NA
"1991-1","0140",4,3,"March 31, 1991","CALGARY",36,13,2.76923076923077,0,NA,NA,NA,NA
"1991-1","0140",2,1,"March 31, 1991","CALGARY",32,31,1.03225806451613,0,NA,NA,NA,NA
"1991-1","0140",1,1,"March 31, 1991","CALGARY",368,639,0.575899843505477,0,NA,NA,NA,NA
"1991-2","0140",2,3,"June 30, 1991","CALGARY",17,10,1.7,0,NA,NA,NA,NA
"1991-2","0140",1,1,"June 30, 1991","CALGARY",481,739,0.650879566982409,0,NA,NA,NA,NA
"1991-2","0140",2,1,"June 30, 1991","CALGARY",49,36,1.36111111111111,0,NA,NA,NA,NA
"1991-2","0140",4,3,"June 30, 1991","CALGARY",38,15,2.53333333333333,0,NA,NA,NA,NA
"1991-2","0140",5,3,"June 30, 1991","CALGARY",78,3,26,3,NA,NA,NA,NA
"1991-3","0140",5,3,"September 30, 1991","CALGARY",63,4,15.75,3,NA,NA,NA,NA
"1991-3","0140",1,1,"September 30, 1991","CALGARY",521,940,0.554255319148936,0,NA,NA,NA,NA
"1991-3","0140",4,3,"September 30, 1991","CALGARY",23,11,2.09090909090909,0,NA,NA,NA,NA
"1991-3","0140",2,3,"September 30, 1991","CALGARY",22,14,1.57142857142857,0,NA,NA,NA,NA
"1991-3","0140",2,1,"September 30, 1991","CALGARY",60,44,1.36363636363636,0,NA,NA,NA,NA
"1991-4","0140",5,3,"December 31, 1991","CALGARY",21,5,4.2,2.4,NA,NA,NA,NA
"1991-4","0140",2,1,"December 31, 1991","CALGARY",57,43,1.32558139534884,0,NA,NA,NA,NA
"1991-4","0140",2,3,"December 31, 1991","CALGARY",12,9,1.33333333333333,0,NA,NA,NA,NA
"1991-4","0140",1,1,"December 31, 1991","CALGARY",486,821,0.591961023142509,0,NA,NA,NA,NA
"1991-4","0140",4,3,"December 31, 1991","CALGARY",65,21,3.0952380952381,0,NA,NA,NA,NA
"1991-4","0140",4,1,"December 31, 1991","CALGARY",4,1,4,0,NA,NA,NA,NA
"1992-1","0140",4,1,"March 31, 1992","CALGARY",3,1,3,0,NA,NA,NA,NA
"1992-1","0140",2,3,"March 31, 1992","CALGARY",7,8,0.875,0,NA,NA,NA,NA
"1992-1","0140",1,1,"March 31, 1992","CALGARY",446,829,0.537997587454765,0,NA,NA,NA,NA
"1992-1","0140",4,3,"March 31, 1992","CALGARY",81,28,2.89285714285714,0,NA,NA,NA,NA
"1992-1","0140",2,1,"March 31, 1992","CALGARY",57,55,1.03636363636364,0,NA,NA,NA,NA
"1992-1","0140",5,3,"March 31, 1992","CALGARY",20,4,5,0.75,NA,NA,NA,NA
"1992-2","0140",5,3,"June 30, 1992","CALGARY",34,8,4.25,0,NA,NA,NA,NA
"1992-2","0140",1,1,"June 30, 1992","CALGARY",439,1009,0.435084241823588,0,NA,NA,NA,NA
"1992-2","0140",4,3,"June 30, 1992","CALGARY",72,26,2.76923076923077,0,NA,NA,NA,NA
"1992-2","0140",5,1,"June 30, 1992","CALGARY",1,1,1,0,NA,NA,NA,NA
"1992-2","0140",2,3,"June 30, 1992","CALGARY",9,8,1.125,0,NA,NA,NA,NA
"1992-2","0140",2,1,"June 30, 1992","CALGARY",59,54,1.09259259259259,0,NA,NA,NA,NA
"1992-3","0140",2,3,"September 30, 1992","CALGARY",7,5,1.4,0,NA,NA,NA,NA
"1992-3","0140",2,1,"September 30, 1992","CALGARY",46,53,0.867924528301887,0,NA,NA,NA,NA
"1992-3","0140",5,3,"September 30, 1992","CALGARY",21,5,4.2,0,NA,NA,NA,NA
"1992-3","0140",1,1,"September 30, 1992","CALGARY",348,982,0.354378818737271,0,NA,NA,NA,NA
"1992-3","0140",4,3,"September 30, 1992","CALGARY",94,42,2.23809523809524,0,NA,NA,NA,NA
"1992-4","0140",1,1,"December 31, 1992","CALGARY",344,797,0.431618569636135,0,NA,NA,NA,NA
"1992-4","0140",2,3,"December 31, 1992","CALGARY",10,9,1.11111111111111,0,NA,NA,NA,NA
"1992-4","0140",2,1,"December 31, 1992","CALGARY",49,54,0.907407407407407,0,NA,NA,NA,NA
"1992-4","0140",5,3,"December 31, 1992","CALGARY",38,7,5.42857142857143,0,NA,NA,NA,NA
"1992-4","0140",4,3,"December 31, 1992","CALGARY",113,49,2.30612244897959,0,NA,NA,NA,NA
"1993-1","0140",1,3,"March 31, 1993","CALGARY",5,6,0.833333333333333,0,NA,NA,NA,NA
"1993-1","0140",5,3,"March 31, 1993","CALGARY",33,7,4.71428571428571,0,NA,NA,NA,NA
"1993-1","0140",2,3,"March 31, 1993","CALGARY",18,17,1.05882352941176,0,NA,NA,NA,NA
"1993-1","0140",1,1,"March 31, 1993","CALGARY",391,703,0.556187766714083,0,NA,NA,NA,NA
"1993-1","0140",2,1,"March 31, 1993","CALGARY",38,42,0.904761904761905,0,NA,NA,NA,NA
"1993-1","0140",4,3,"March 31, 1993","CALGARY",92,39,2.35897435897436,0,NA,NA,NA,NA
"1993-1","0140",5,1,"March 31, 1993","CALGARY",4,1,4,0,NA,NA,NA,NA
"1993-2","0140",4,3,"June 30, 1993","CALGARY",110,46,2.39130434782609,0,NA,NA,NA,NA
"1993-2","0140",2,3,"June 30, 1993","CALGARY",19,21,0.904761904761905,0,NA,NA,NA,NA
"1993-2","0140",2,1,"June 30, 1993","CALGARY",64,59,1.08474576271186,0,NA,NA,NA,NA
"1993-2","0140",1,3,"June 30, 1993","CALGARY",3,4,0.75,0,NA,NA,NA,NA
"1993-2","0140",5,3,"June 30, 1993","CALGARY",31,9,3.44444444444444,0,NA,NA,NA,NA
"1993-2","0140",1,1,"June 30, 1993","CALGARY",489,949,0.515279241306639,0,NA,NA,NA,NA
"1993-3","0140",1,3,"September 30, 1993","CALGARY",7,9,0.777777777777778,0,NA,NA,NA,NA
"1993-3","0140",2,1,"September 30, 1993","CALGARY",71,68,1.04411764705882,0,NA,NA,NA,NA
"1993-3","0140",1,1,"September 30, 1993","CALGARY",487,987,0.493414387031408,0,NA,NA,NA,NA
"1993-3","0140",4,3,"September 30, 1993","CALGARY",83,39,2.12820512820513,0,NA,NA,NA,NA
"1993-3","0140",4,1,"September 30, 1993","CALGARY",1,1,1,0,NA,NA,NA,NA
"1993-3","0140",2,3,"September 30, 1993","CALGARY",12,15,0.8,0,NA,NA,NA,NA
"1993-3","0140",5,3,"September 30, 1993","CALGARY",22,6,3.66666666666667,0,NA,NA,NA,NA
"1993-4","0140",4,1,"December 31, 1993","CALGARY",3,2,1.5,0,NA,NA,NA,NA
