"","reference_period_qq","metcode","dweltype","mkttycd","date_pbi","metro","inventory","num_structures","unitsperstructure","avgstorycount","ref_yy","ref_qq","population","inventory_per_10kpop"
"1","1988-2","0140",1,1,"June 30, 1988","CALGARY",165,301,0.548172757475083,0,1988,2,"714926.887",2.30792830708016
"2","1988-2","0140",2,1,"June 30, 1988","CALGARY",5,4,1.25,0,1988,2,"714926.887",0.0699372214266716
"3","1988-2","0140",5,3,"June 30, 1988","CALGARY",2,1,2,26,1988,2,"714926.887",0.0279748885706686
"4","1988-2","0610",1,1,"June 30, 1988","HAMILTON",251,456,0.550438596491228,0,1988,2,"599723.112",4.18526474930985
"5","1988-2","0610",1,3,"June 30, 1988","HAMILTON",1,1,1,0,1988,2,"599723.112",0.0166743615510352
"6","1988-2","0610",2,1,"June 30, 1988",NA,5,4,1.25,0,1988,2,"599723.112",0.0833718077551762
"7","1988-2","0610",4,1,"June 30, 1988","HAMILTON",1,1,1,0,1988,2,"599723.112",0.0166743615510352
"8","1988-2","0610",4,3,"June 30, 1988","HAMILTON",61,23,2.65217391304348,0,1988,2,"599723.112",1.01713605461315
"9","1988-2","0610",5,3,"June 30, 1988","HAMILTON",23,6,3.83333333333333,0,1988,2,"599723.112",0.383510315673811
"10","1988-2","1265",1,1,"June 30, 1988",NA,141,492,0.286585365853659,0,1988,2,"687116.1271702311",2.05205487725465
"11","1988-2","1265",1,3,"June 30, 1988",NA,3,4,0.75,0,1988,2,"687116.1271702311",0.0436607420692479
"12","1988-2","1265",2,1,"June 30, 1988",NA,2,6,0.333333333333333,0,1988,2,"687116.1271702311",0.0291071613794986
"13","1988-2","1265",4,1,"June 30, 1988",NA,23,13,1.76923076923077,0,1988,2,"687116.1271702311",0.334732355864234
"14","1988-2","1265",4,3,"June 30, 1988",NA,59,19,3.10526315789474,0,1988,2,"687116.1271702311",0.858661260695209
"15","1988-2","1265",5,3,"June 30, 1988",NA,104,13,8,2.15384615384615,1988,2,"687116.1271702311",1.51357239173393
"16","1988-3","0140",1,1,"September 30, 1988","CALGARY",124,518,0.239382239382239,0,1988,3,"719616.5580000001",1.72313989473266
"17","1988-3","0140",2,1,"September 30, 1988","CALGARY",11,31,0.354838709677419,0,1988,3,"719616.5580000001",0.152859184210155
"18","1988-3","0140",5,3,"September 30, 1988","CALGARY",2,1,2,26,1988,3,"719616.5580000001",0.027792578947301
"19","1988-3","0610",1,1,"September 30, 1988","HAMILTON",394,885,0.445197740112994,0,1988,3,"604688.9670000001",6.51574646639782
"20","1988-3","0610",1,3,"September 30, 1988","HAMILTON",1,1,1,0,1988,3,"604688.9670000001",0.0165374275796899
"21","1988-3","0610",2,1,"September 30, 1988",NA,10,7,1.42857142857143,0,1988,3,"604688.9670000001",0.165374275796899
"22","1988-3","0610",4,3,"September 30, 1988","HAMILTON",84,25,3.36,0.6,1988,3,"604688.9670000001",1.38914391669395
"23","1988-3","0610",5,3,"September 30, 1988","HAMILTON",121,2,60.5,0,1988,3,"604688.9670000001",2.00102873714248
"24","1988-3","1265",1,1,"September 30, 1988","OTTAWA",124,627,0.197767145135566,0,1988,3,"690767.356122307",1.79510509437051
"25","1988-3","1265",1,3,"September 30, 1988",NA,2,2,1,0,1988,3,"690767.356122307",0.0289533079737179
"26","1988-3","1265",2,1,"September 30, 1988",NA,3,6,0.5,0,1988,3,"690767.356122307",0.0434299619605768
"27","1988-3","1265",4,1,"September 30, 1988",NA,26,15,1.73333333333333,0,1988,3,"690767.356122307",0.376393003658332
"28","1988-3","1265",4,3,"September 30, 1988",NA,45,16,2.8125,0.125,1988,3,"690767.356122307",0.651449429408652
"29","1988-3","1265",5,3,"September 30, 1988",NA,78,12,6.5,1.83333333333333,1988,3,"690767.356122307",1.129179010975
"30","1988-4","0140",1,1,"December 31, 1988","CALGARY",95,368,0.258152173913043,0,1988,4,"724449.865",1.31133988133188
"31","1988-4","0140",2,1,"December 31, 1988","CALGARY",14,30,0.466666666666667,0,1988,4,"724449.865",0.193250087775225
"32","1988-4","0140",4,1,"December 31, 1988","CALGARY",7,1,7,2,1988,4,"724449.865",0.0966250438876126
"33","1988-4","0140",5,3,"December 31, 1988","CALGARY",2,1,2,26,1988,4,"724449.865",0.0276071553964607
"34","1988-4","0610",1,1,"December 31, 1988","HAMILTON",218,535,0.407476635514019,0,1988,4,"607581.042",3.58799871836686
"35","1988-4","0610",1,3,"December 31, 1988","HAMILTON",1,1,1,0,1988,4,"607581.042",0.0164587097172792
"36","1988-4","0610",2,1,"December 31, 1988",NA,8,9,0.888888888888889,0,1988,4,"607581.042",0.131669677738233
"37","1988-4","0610",4,3,"December 31, 1988","HAMILTON",38,12,3.16666666666667,0.25,1988,4,"607581.042",0.625430969256608
"38","1988-4","0610",5,3,"December 31, 1988","HAMILTON",25,2,12.5,0,1988,4,"607581.042",0.411467742931979
"39","1988-4","1265",1,1,"December 31, 1988",NA,223,516,0.432170542635659,0,1988,4,"694702.2267506439",3.2100084239408
"40","1988-4","1265",1,3,"December 31, 1988",NA,0,1,0,0,1988,4,"694702.2267506439",0
"41","1988-4","1265",2,1,"December 31, 1988",NA,12,10,1.2,0,1988,4,"694702.2267506439",0.1727358793152
"42","1988-4","1265",4,1,"December 31, 1988",NA,26,15,1.73333333333333,0,1988,4,"694702.2267506439",0.3742610718496
"43","1988-4","1265",4,3,"December 31, 1988",NA,42,15,2.8,0.133333333333333,1988,4,"694702.2267506439",0.6045755776032
"44","1988-4","1265",5,3,"December 31, 1988",NA,141,18,7.83333333333333,2.66666666666667,1988,4,"694702.2267506439",2.0296465819536
"45","1989-1","0140",1,1,"March 31, 1989","CALGARY",128,327,0.391437308868502,0,1989,1,"729550.383",1.75450528137136
"46","1989-1","0140",2,1,"March 31, 1989","CALGARY",15,11,1.36363636363636,0,1989,1,"729550.383",0.205606087660706
"47","1989-1","0140",4,1,"March 31, 1989","CALGARY",3,1,3,2,1989,1,"729550.383",0.0411212175321413
"48","1989-1","0610",1,1,"March 31, 1989","HAMILTON",168,424,0.39622641509434,0,1989,1,"610112.429",2.75359084677818
"49","1989-1","0610",1,3,"March 31, 1989","HAMILTON",1,1,1,0,1989,1,"610112.429",0.016390421707013
"50","1989-1","0610",2,1,"March 31, 1989",NA,10,9,1.11111111111111,0,1989,1,"610112.429",0.16390421707013
"51","1989-1","0610",4,1,"March 31, 1989","HAMILTON",12,4,3,0,1989,1,"610112.429",0.196685060484155
"52","1989-1","0610",4,3,"March 31, 1989",NA,68,13,5.23076923076923,0,1989,1,"610112.429",1.11454867607688
"53","1989-1","0610",5,3,"March 31, 1989","HAMILTON",31,4,7.75,0,1989,1,"610112.429",0.508103072917402
"54","1989-1","1265",1,1,"March 31, 1989",NA,203,440,0.461363636363636,0,1989,1,"699010.174594525",2.90410651200827
"55","1989-1","1265",2,1,"March 31, 1989",NA,15,13,1.15384615384615,0,1989,1,"699010.174594525",0.214589151133616
"56","1989-1","1265",4,1,"March 31, 1989",NA,12,8,1.5,0,1989,1,"699010.174594525",0.171671320906893
