"reference_period_qq","CSDuid","date_pbi","metcode","metro","municipality","inventory","num_structures","unitsperstructure","avgstorycount","ref_qq","ref_yy","population","inventory_per_10kpop"
"1988-2","4806021","June 30, 1988","0140","CALGARY","AIRDRIE CY",0,9,0,0,NA,NA,NA,NA
"1988-2","4806016","June 30, 1988","0140","CALGARY","CALGARY CY",172,280,0.614285714285714,0.0928571428571429,NA,NA,NA,NA
"1988-2","4806014","June 30, 1988","0140","CALGARY","ROCKY VIEW COUNTY MD",0,16,0,0,NA,NA,NA,NA
"1988-2","4806019","June 30, 1988","0140","CALGARY","COCHRANE T",0,1,0,0,NA,NA,NA,NA
"1988-3","4806019","September 30, 1988","0140","CALGARY","COCHRANE T",0,5,0,0,NA,NA,NA,NA
"1988-3","4806022","September 30, 1988","0140","CALGARY","IRRICANA T",0,1,0,0,NA,NA,NA,NA
"1988-3","4806021","September 30, 1988","0140","CALGARY","AIRDRIE CY",0,15,0,0,NA,NA,NA,NA
"1988-3","4806014","September 30, 1988","0140","CALGARY","ROCKY VIEW COUNTY MD",0,34,0,0,NA,NA,NA,NA
"1988-3","4806026","September 30, 1988","0140","CALGARY","CROSSFIELD T",0,3,0,0,NA,NA,NA,NA
"1988-3","4806016","September 30, 1988","0140","CALGARY","CALGARY CY",137,492,0.278455284552846,0.0528455284552846,NA,NA,NA,NA
"1988-4","4806016","December 31, 1988","0140","CALGARY","CALGARY CY",118,355,0.332394366197183,0.0788732394366197,NA,NA,NA,NA
"1988-4","4806021","December 31, 1988","0140","CALGARY","AIRDRIE CY",0,15,0,0,NA,NA,NA,NA
"1988-4","4806026","December 31, 1988","0140","CALGARY","CROSSFIELD T",0,2,0,0,NA,NA,NA,NA
"1988-4","4806019","December 31, 1988","0140","CALGARY","COCHRANE T",0,9,0,0,NA,NA,NA,NA
"1988-4","4806014","December 31, 1988","0140","CALGARY","ROCKY VIEW COUNTY MD",0,19,0,0,NA,NA,NA,NA
"1989-1","4806021","March 31, 1989","0140","CALGARY","AIRDRIE CY",0,8,0,0,NA,NA,NA,NA
"1989-1","4806016","March 31, 1989","0140","CALGARY","CALGARY CY",146,331,0.441087613293051,0.00604229607250755,NA,NA,NA,NA
"1989-2","4806019","June 30, 1989","0140","CALGARY","COCHRANE T",0,3,0,0,NA,NA,NA,NA
"1989-2","4806026","June 30, 1989","0140","CALGARY","CROSSFIELD T",0,1,0,0,NA,NA,NA,NA
"1989-2","4806014","June 30, 1989","0140","CALGARY","ROCKY VIEW COUNTY MD",1,25,0.04,0,NA,NA,NA,NA
"1989-2","4806021","June 30, 1989","0140","CALGARY","AIRDRIE CY",2,4,0.5,0,NA,NA,NA,NA
"1989-2","4806016","June 30, 1989","0140","CALGARY","CALGARY CY",230,585,0.393162393162393,0.00341880341880342,NA,NA,NA,NA
"1989-3","4806021","September 30, 1989","0140","CALGARY","AIRDRIE CY",2,11,0.181818181818182,0,NA,NA,NA,NA
"1989-3","4806016","September 30, 1989","0140","CALGARY","CALGARY CY",286,726,0.393939393939394,0,NA,NA,NA,NA
"1989-3","4806014","September 30, 1989","0140","CALGARY","ROCKY VIEW COUNTY MD",2,5,0.4,0,NA,NA,NA,NA
"1989-4","4806016","December 31, 1989","0140","CALGARY","CALGARY CY",351,617,0.568881685575365,0,NA,NA,NA,NA
"1989-4","4806021","December 31, 1989","0140","CALGARY","AIRDRIE CY",11,12,0.916666666666667,0,NA,NA,NA,NA
"1989-4","4806014","December 31, 1989","0140","CALGARY","ROCKY VIEW COUNTY MD",0,5,0,0,NA,NA,NA,NA
"1989-4","4806019","December 31, 1989","0140","CALGARY","COCHRANE T",1,6,0.166666666666667,0,NA,NA,NA,NA
"1990-1","4806016","March 31, 1990","0140","CALGARY","CALGARY CY",421,865,0.486705202312139,0,NA,NA,NA,NA
"1990-1","4806019","March 31, 1990","0140","CALGARY","COCHRANE T",2,8,0.25,0,NA,NA,NA,NA
"1990-1","4806014","March 31, 1990","0140","CALGARY","ROCKY VIEW COUNTY MD",0,9,0,0,NA,NA,NA,NA
"1990-1","4806021","March 31, 1990","0140","CALGARY","AIRDRIE CY",3,11,0.272727272727273,0,NA,NA,NA,NA
"1990-2","4806014","June 30, 1990","0140","CALGARY","ROCKY VIEW COUNTY MD",2,11,0.181818181818182,0,NA,NA,NA,NA
"1990-2","4806016","June 30, 1990","0140","CALGARY","CALGARY CY",577,1117,0.516562220232766,0,NA,NA,NA,NA
"1990-2","4806021","June 30, 1990","0140","CALGARY","AIRDRIE CY",6,15,0.4,0,NA,NA,NA,NA
"1990-2","4806019","June 30, 1990","0140","CALGARY","COCHRANE T",0,7,0,0,NA,NA,NA,NA
"1990-3","4806024","September 30, 1990","0140","CALGARY","BEISEKER VL",0,1,0,0,NA,NA,NA,NA
"1990-3","4806014","September 30, 1990","0140","CALGARY","ROCKY VIEW COUNTY MD",1,103,0.00970873786407767,0,NA,NA,NA,NA
"1990-3","4806022","September 30, 1990","0140","CALGARY","IRRICANA T",0,2,0,0,NA,NA,NA,NA
"1990-3","4806016","September 30, 1990","0140","CALGARY","CALGARY CY",626,1108,0.564981949458484,0,NA,NA,NA,NA
"1990-3","4806019","September 30, 1990","0140","CALGARY","COCHRANE T",2,27,0.0740740740740741,0,NA,NA,NA,NA
"1990-3","4806021","September 30, 1990","0140","CALGARY","AIRDRIE CY",5,14,0.357142857142857,0,NA,NA,NA,NA
"1990-4","4806021","December 31, 1990","0140","CALGARY","AIRDRIE CY",7,21,0.333333333333333,0,NA,NA,NA,NA
"1990-4","4806022","December 31, 1990","0140","CALGARY","IRRICANA T",0,3,0,0,NA,NA,NA,NA
"1990-4","4806019","December 31, 1990","0140","CALGARY","COCHRANE T",6,14,0.428571428571429,0,NA,NA,NA,NA
"1990-4","4806014","December 31, 1990","0140","CALGARY","ROCKY VIEW COUNTY MD",8,41,0.195121951219512,0,NA,NA,NA,NA
"1990-4","4806024","December 31, 1990","0140","CALGARY","BEISEKER VL",0,3,0,0,NA,NA,NA,NA
"1990-4","4806016","December 31, 1990","0140","CALGARY","CALGARY CY",554,864,0.641203703703704,0,NA,NA,NA,NA
"1991-1","4806024","March 31, 1991","0140","CALGARY","BEISEKER VL",0,1,0,0,NA,NA,NA,NA
