"reference_period_qq","metcode","gcd_ct_centroid_fsa","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount"
"2006-1","0140","T2V","March 31, 2006","CALGARY",7,NA,NA,6,1.16666666666667,0
"2006-1","1060","J3X","March 31, 2006","MONTRÉAL",2,NA,NA,2,1,0
"2006-1","1060","J7Z","March 31, 2006","MONTRÉAL",12,NA,NA,5,2.4,0
"2006-1","2410","V6Y","March 31, 2006","VANCOUVER",146,NA,NA,29,5.03448275862069,0.137931034482759
"2006-1","1060","H4B","March 31, 2006","MONTRÉAL",84,NA,NA,18,4.66666666666667,0
"2006-1","2270","L4P","March 31, 2006","TORONTO",64,NA,NA,63,1.01587301587302,0
"2006-1","2440","V8L","March 31, 2006","VICTORIA",6,NA,NA,6,1,0
"2006-1","0340","T5A","March 31, 2006","EDMONTON",35,NA,NA,25,1.4,0
"2006-1","2270","M4S","March 31, 2006","TORONTO",1,NA,NA,1,1,0
"2006-1","0610","L9A","March 31, 2006","HAMILTON",6,NA,NA,6,1,0
"2006-1","1060","J7M","March 31, 2006","MONTRÉAL",97,NA,NA,69,1.40579710144928,0.0579710144927536
"2006-1","1265","K1W","March 31, 2006","OTTAWA",1,NA,NA,1,1,0
"2006-1","2440","V9C","March 31, 2006","VICTORIA",75,NA,NA,71,1.05633802816901,0
"2006-1","0340","T0C","March 31, 2006","EDMONTON",8,NA,NA,8,1,0
"2006-1","1060","J7K","March 31, 2006","MONTRÉAL",15,NA,NA,15,1,0
"2006-1","2270","M1M","March 31, 2006","TORONTO",1,NA,NA,1,1,0
"2006-1","1265","K1H","March 31, 2006","OTTAWA",13,NA,NA,5,2.6,0
"2006-1","1400","G0A","March 31, 2006","QUÉBEC",52,NA,NA,51,1.01960784313725,0
"2006-1","1400","G1L","March 31, 2006","QUÉBEC",31,NA,NA,1,31,0
"2006-1","1060","H4V","March 31, 2006","MONTRÉAL",24,NA,NA,8,3,0
"2006-1","2270","M4N","March 31, 2006","TORONTO",5,NA,NA,5,1,0
"2006-1","2410","V7N","March 31, 2006","VANCOUVER",50,NA,NA,2,25,2
"2006-1","2270","M6E","March 31, 2006","TORONTO",2,NA,NA,2,1,0
"2006-1","2410","V3V","March 31, 2006","VANCOUVER",17,NA,NA,17,1,0
"2006-1","2410","V5K","March 31, 2006","VANCOUVER",19,NA,NA,18,1.05555555555556,0.111111111111111
"2006-1","1060","H1R","March 31, 2006","MONTRÉAL",30,NA,NA,10,3,0
"2006-1","2270","L6R","March 31, 2006","TORONTO",17,NA,NA,3,5.66666666666667,0
"2006-1","1265","K1T","March 31, 2006","OTTAWA",2,NA,NA,2,1,0
"2006-1","1400","G3E","March 31, 2006","QUÉBEC",34,NA,NA,18,1.88888888888889,0
"2006-1","2410","V3X","March 31, 2006","VANCOUVER",10,NA,NA,10,1,0
"2006-1","2410","V7E","March 31, 2006","VANCOUVER",18,NA,NA,18,1,0
"2006-1","2410","nan","March 31, 2006","VANCOUVER",2461,NA,NA,767,3.20860495436767,0.316818774445893
"2006-1","2410","V5V","March 31, 2006","VANCOUVER",5,NA,NA,4,1.25,0.25
"2006-1","2680","R0E","March 31, 2006","WINNIPEG",2,NA,NA,2,1,0
"2006-1","2410","V6V","March 31, 2006","VANCOUVER",13,NA,NA,13,1,0
"2006-1","1060","J6J","March 31, 2006","MONTRÉAL",9,NA,NA,9,1,0
"2006-1","0340","T8N","March 31, 2006","EDMONTON",16,NA,NA,16,1,0
"2006-1","2410","V6W","March 31, 2006","VANCOUVER",48,NA,NA,5,9.6,0.8
"2006-1","2410","V7S","March 31, 2006","VANCOUVER",20,NA,NA,20,1,0
"2006-1","0140","T2T","March 31, 2006","CALGARY",67,NA,NA,33,2.03030303030303,0
"2006-1","2270","L7E","March 31, 2006","TORONTO",2,NA,NA,2,1,0
"2006-1","0580","nan","March 31, 2006","HALIFAX",36,NA,NA,35,1.02857142857143,0
"2006-1","1400","G6C","March 31, 2006","QUÉBEC",12,NA,NA,4,3,0
"2006-1","2270","L4J","March 31, 2006","TORONTO",6,NA,NA,6,1,0
"2006-1","2270","M5R","March 31, 2006","TORONTO",1,NA,NA,1,1,0
"2006-1","1700","S7H","March 31, 2006","SASKATOON",1,NA,NA,1,1,0
"2006-1","0580","B2T","March 31, 2006","HALIFAX",1,NA,NA,1,1,0
"2006-1","2270","L9T","March 31, 2006","TORONTO",2,NA,NA,2,1,0
"2006-1","1060","H7R","March 31, 2006","MONTRÉAL",19,NA,NA,4,4.75,0
"2006-1","1400","G3A","March 31, 2006","QUÉBEC",17,NA,NA,13,1.30769230769231,0
"2006-1","0610","L7N","March 31, 2006","HAMILTON",1,NA,NA,1,1,0
"2006-1","1060","H2L","March 31, 2006","MONTRÉAL",84,NA,NA,1,84,8
"2006-1","2270","M1C","March 31, 2006","TORONTO",54,NA,NA,54,1,0
"2006-1","2410","V3S","March 31, 2006","VANCOUVER",251,NA,NA,229,1.09606986899563,0
"2006-1","0340","T5B","March 31, 2006","EDMONTON",6,NA,NA,2,3,0
"2006-1","1060","H8P","March 31, 2006","MONTRÉAL",6,NA,NA,1,6,0
"2006-1","2270","M1N","March 31, 2006","TORONTO",2,NA,NA,2,1,0
"2006-1","2410","V5P","March 31, 2006","VANCOUVER",10,NA,NA,9,1.11111111111111,0.222222222222222
"2006-1","2410","V6M","March 31, 2006","VANCOUVER",3,NA,NA,3,1,0
"2006-1","1400","G1C","March 31, 2006","QUÉBEC",68,NA,NA,38,1.78947368421053,0
"2006-1","1400","G3K","March 31, 2006","QUÉBEC",1,NA,NA,1,1,0
