"reference_period_qq","metcode","dweltype","mkttycd","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price","ref_qq","ref_yy","population","starts_per_10kpop"
"1988-2","0610",4,3,"June 30, 1988","HAMILTON",9,NA,NA,1,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","2410",2,3,"June 30, 1988","VANCOUVER",42,NA,NA,21,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",1535606.75,0.273507523980342
"1988-2","2680",4,2,"June 30, 1988","WINNIPEG",4,NA,NA,1,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",664919.517,0.0601576566446312
"1988-2","2410",4,4,"June 30, 1988","VANCOUVER",32,NA,NA,1,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",1535606.75,0.208386684937403
"1988-2","2270",4,3,"June 30, 1988","TORONTO",136,NA,NA,14,9.71428571428571,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3844267.56,0.35377350269553
"1988-2","1265",1,1,"June 30, 1988",NA,676,NA,NA,676,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",675615.3203,10.0056937681613
"1988-2","1060",5,2,"June 30, 1988",NA,760,NA,NA,134,5.67164179104478,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3315750.79,2.29209023275238
"1988-2","1060",1,1,"June 30, 1988",NA,1268,NA,NA,1268,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3315750.79,3.82417159885529
"1988-2","1060",5,3,"June 30, 1988",NA,372,NA,NA,14,26.5714285714286,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3315750.79,1.12191785076827
"1988-2","0340",2,1,"June 30, 1988","EDMONTON",18,NA,NA,9,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","0340",4,1,"June 30, 1988","EDMONTON",18,NA,NA,5,3.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","1060",2,2,"June 30, 1988",NA,2,NA,NA,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3315750.79,0.00603181640197996
"1988-2","1400",4,1,"June 30, 1988",NA,33,NA,NA,6,5.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",641710.984,0.514250197094959
"1988-2","2270",5,2,"June 30, 1988","TORONTO",7,NA,NA,1,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3844267.56,0.0182089302857994
"1988-2","2410",2,2,"June 30, 1988","VANCOUVER",12,NA,NA,6,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",1535606.75,0.0781450068515263
"1988-2","1265",4,1,"June 30, 1988",NA,125,NA,NA,24,5.20833333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",675615.3203,1.8501652677813
"1988-2","0340",1,1,"June 30, 1988","EDMONTON",374,NA,NA,374,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","2410",1,1,"June 30, 1988","VANCOUVER",939,NA,NA,939,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",1535606.75,6.11484678613193
"1988-2","1060",4,1,"June 30, 1988",NA,80,NA,NA,15,5.33333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3315750.79,0.241272656079198
"1988-2","2270",1,1,"June 30, 1988","TORONTO",1960,NA,NA,1960,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3844267.56,5.09850048002382
"1988-2","2440",5,2,"June 30, 1988","VICTORIA",67,NA,NA,3,22.3333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",279357.102,2.3983639406454
"1988-2","1060",4,3,"June 30, 1988",NA,18,NA,NA,2,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3315750.79,0.0542863476178196
"1988-2","0140",1,0,"June 30, 1988","CALGARY",1,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","2680",2,1,"June 30, 1988","WINNIPEG",14,NA,NA,7,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",664919.517,0.210551798256209
"1988-2","1490",1,1,"June 30, 1988","REGINA",61,NA,NA,61,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",196029.748,3.1117726070841
"1988-2","2410",1,3,"June 30, 1988","VANCOUVER",5,NA,NA,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",1535606.75,0.0325604195214693
"1988-2","2270",4,1,"June 30, 1988","TORONTO",217,NA,NA,37,5.86486486486486,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3844267.56,0.56447683885978
"1988-2","0580",4,2,"June 30, 1988",NA,6,NA,NA,1,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","2440",2,1,"June 30, 1988",NA,2,NA,NA,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",279357.102,0.0715929534521016
"1988-2","1265",2,1,"June 30, 1988",NA,6,NA,NA,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",675615.3203,0.0888079328535025
"1988-2","2440",1,1,"June 30, 1988",NA,221,NA,NA,221,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",279357.102,7.91102135645723
"1988-2","0140",1,1,"June 30, 1988","CALGARY",331,NA,NA,331,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","1700",1,1,"June 30, 1988","SASKATOON",99,NA,NA,99,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",215818.898,4.58717938593125
"1988-2","1490",2,2,"June 30, 1988","REGINA",4,NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",196029.748,0.204050662759613
"1988-2","2270",2,1,"June 30, 1988","TORONTO",10,NA,NA,5,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3844267.56,0.0260127575511419
"1988-2","1490",4,4,"June 30, 1988","REGINA",46,NA,NA,1,46,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",196029.748,2.34658262173555
"1988-2","2410",4,3,"June 30, 1988","VANCOUVER",146,NA,NA,33,4.42424242424242,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",1535606.75,0.950764250026903
"1988-2","0340",1,3,"June 30, 1988","EDMONTON",15,NA,NA,15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","1400",5,1,"June 30, 1988",NA,7,NA,NA,3,2.33333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",641710.984,0.109083375141355
"1988-2","2680",5,2,"June 30, 1988","WINNIPEG",125,NA,NA,1,125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",664919.517,1.87992677014472
"1988-2","0140",5,1,"June 30, 1988","CALGARY",11,NA,NA,3,3.66666666666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","2410",4,2,"June 30, 1988","VANCOUVER",34,NA,NA,8,4.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",1535606.75,0.221410852745991
"1988-2","0580",4,4,"June 30, 1988",NA,24,NA,NA,2,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","0580",1,1,"June 30, 1988",NA,209,NA,NA,209,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","0580",2,1,"June 30, 1988",NA,67,NA,NA,34,1.97058823529412,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","2440",5,3,"June 30, 1988",NA,53,NA,NA,3,17.6666666666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",279357.102,1.89721326648069
"1988-2","2410",2,1,"June 30, 1988","VANCOUVER",30,NA,NA,15,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",1535606.75,0.195362517128816
"1988-2","0610",1,1,"June 30, 1988",NA,250,NA,NA,250,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","0610",5,3,"June 30, 1988","HAMILTON",118,NA,NA,1,118,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","2410",5,3,"June 30, 1988","VANCOUVER",502,NA,NA,12,41.8333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",1535606.75,3.26906611995552
"1988-2","1400",1,1,"June 30, 1988",NA,498,NA,NA,498,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",641710.984,7.76050297434211
"1988-2","0580",5,2,"June 30, 1988",NA,21,NA,NA,1,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","2270",5,3,"June 30, 1988","TORONTO",487,NA,NA,3,162.333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3844267.56,1.26682129274061
"1988-2","1060",5,1,"June 30, 1988",NA,10,NA,NA,2,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3315750.79,0.0301590820098998
"1988-2","1265",5,2,"June 30, 1988",NA,277,NA,NA,5,55.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",675615.3203,4.09996623340337
"1988-2","1400",2,1,"June 30, 1988",NA,23,NA,NA,12,1.91666666666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",641710.984,0.35841680403588
"1988-2","0610",2,1,"June 30, 1988",NA,4,NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","1700",2,1,"June 30, 1988","SASKATOON",12,NA,NA,6,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",215818.898,0.556021743749243
"1988-2","2680",1,1,"June 30, 1988","WINNIPEG",363,NA,NA,363,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",664919.517,5.45930734050028
"1988-2","0610",4,2,"June 30, 1988",NA,63,NA,NA,9,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","2680",5,3,"June 30, 1988","WINNIPEG",102,NA,NA,4,25.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",664919.517,1.53402024443809
"1988-2","0340",2,3,"June 30, 1988","EDMONTON",4,NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","0340",4,3,"June 30, 1988","EDMONTON",4,NA,NA,1,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","1265",4,3,"June 30, 1988",NA,28,NA,NA,4,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",675615.3203,0.414437019983012
"1988-2","2270",4,4,"June 30, 1988","TORONTO",3,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3844267.56,0.00780382726534258
"1988-2","1060",2,1,"June 30, 1988",NA,38,NA,NA,19,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3315750.79,0.114604511637619
"1988-2","1400",5,2,"June 30, 1988",NA,310,NA,NA,27,11.4814814814815,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",641710.984,4.83083518483143
"1988-2","0340",4,2,"June 30, 1988",NA,4,NA,NA,1,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","2410",5,2,"June 30, 1988","VANCOUVER",218,NA,NA,5,43.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",1535606.75,1.41963429113606
"1988-2","1490",1,3,"June 30, 1988","REGINA",1,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",196029.748,0.0510126656899033
"1988-3","2270",2,4,"September 30, 1988","TORONTO",2,NA,NA,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",3890054.47,0.00514131618316388
"1988-3","1700",2,1,"September 30, 1988","SASKATOON",18,NA,NA,9,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",215988.035,0.833379497155942
"1988-3","2270",4,4,"September 30, 1988","TORONTO",73,NA,NA,10,7.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",3890054.47,0.187658040685482
"1988-3","2410",1,3,"September 30, 1988","VANCOUVER",22,NA,NA,22,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",1550546.04,0.14188549989783
"1988-3","0340",4,3,"September 30, 1988","EDMONTON",41,NA,NA,8,5.125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-3","1265",1,1,"September 30, 1988",NA,1257,NA,NA,1257,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",679205.4357,18.5069190252359
"1988-3","2680",1,1,"September 30, 1988","WINNIPEG",852,NA,NA,852,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",665097.47,12.8101524728398
