"","reference_period_qq","metcode","gcd_ct_centroid_fsa","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount"
"1","1988-2","0140",NA,"June 30, 1988","CALGARY",27,23,1.17391304347826,0
"2","1988-2","0140","nan","June 30, 1988","CALGARY",1575,1463,1.07655502392344,0
"3","1988-3","0140",NA,"September 30, 1988","CALGARY",25,21,1.19047619047619,0
"4","1988-3","0140","nan","September 30, 1988","CALGARY",1675,1523,1.09980302035456,0
"5","1988-4","0140",NA,"December 31, 1988","CALGARY",29,25,1.16,0
"6","1988-4","0140","nan","December 31, 1988","CALGARY",1652,1441,1.14642609299098,0
"7","1989-1","0140",NA,"March 31, 1989","CALGARY",32,28,1.14285714285714,0
"8","1989-1","0140","nan","March 31, 1989","CALGARY",1960,1606,1.22042341220423,0
"9","1989-2","0140",NA,"June 30, 1989","CALGARY",22,19,1.15789473684211,0
"10","1989-2","0140","nan","June 30, 1989","CALGARY",2157,1821,1.18451400329489,0
"11","1989-3","0140",NA,"September 30, 1989","CALGARY",19,18,1.05555555555556,0
"12","1989-3","0140","nan","September 30, 1989","CALGARY",2302,1926,1.19522326064382,0
"13","1989-4","0140",NA,"December 31, 1989","CALGARY",162,29,5.58620689655172,0
"14","1989-4","0140","nan","December 31, 1989","CALGARY",2704,2221,1.21746960828456,0
"15","1990-1","0140",NA,"March 31, 1990","CALGARY",167,32,5.21875,0
"16","1990-1","0140","nan","March 31, 1990","CALGARY",3250,2777,1.17032769175369,0
"17","1990-2","0140",NA,"June 30, 1990","CALGARY",104,42,2.47619047619048,0
"18","1990-2","0140","nan","June 30, 1990","CALGARY",3102,2558,1.21266614542611,0.00430023455824863
"19","1990-3","0140",NA,"September 30, 1990","CALGARY",162,68,2.38235294117647,0
"20","1990-3","0140","nan","September 30, 1990","CALGARY",2326,1593,1.4601381042059,0.00878844946641557
"21","1990-4","0140",NA,"December 31, 1990","CALGARY",158,64,2.46875,0
"22","1990-4","0140","nan","December 31, 1990","CALGARY",2195,1250,1.756,0.0112
"23","1991-1","0140",NA,"March 31, 1991","CALGARY",165,71,2.32394366197183,0
"24","1991-1","0140","nan","March 31, 1991","CALGARY",1889,985,1.91776649746193,0.00304568527918782
"25","1991-2","0140",NA,"June 30, 1991","CALGARY",164,68,2.41176470588235,0
"26","1991-2","0140","nan","June 30, 1991","CALGARY",2129,1348,1.57937685459941,0.00222551928783383
"27","1991-3","0140",NA,"September 30, 1991","CALGARY",163,68,2.39705882352941,0
"28","1991-3","0140","nan","September 30, 1991","CALGARY",1920,1299,1.47806004618938,0
"29","1991-4","0140",NA,"December 31, 1991","CALGARY",168,70,2.4,0
"30","1991-4","0140","nan","December 31, 1991","CALGARY",1854,1369,1.35427319211103,0
"31","1992-1","0140",NA,"March 31, 1992","CALGARY",154,60,2.56666666666667,0
"32","1992-1","0140","nan","March 31, 1992","CALGARY",1917,1530,1.25294117647059,0
"33","1992-2","0140",NA,"June 30, 1992","CALGARY",154,60,2.56666666666667,0
"34","1992-2","0140","nan","June 30, 1992","CALGARY",2511,2092,1.20028680688337,0
"35","1992-3","0140",NA,"September 30, 1992","CALGARY",87,34,2.55882352941176,0
"36","1992-3","0140","nan","September 30, 1992","CALGARY",2263,1733,1.30582804385459,0
"37","1992-4","0140",NA,"December 31, 1992","CALGARY",87,34,2.55882352941176,0
"38","1992-4","0140","nan","December 31, 1992","CALGARY",2367,1854,1.27669902912621,0
"39","1993-1","0140",NA,"March 31, 1993","CALGARY",87,34,2.55882352941176,0
"40","1993-1","0140","nan","March 31, 1993","CALGARY",2407,1819,1.32325453545904,0
"41","1993-2","0140",NA,"June 30, 1993","CALGARY",87,34,2.55882352941176,0
"42","1993-2","0140","nan","June 30, 1993","CALGARY",2587,1928,1.34180497925311,0
