"reference_period_qq","metcode","dweltype","mkttycd","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount","ref_qq","ref_yy","population","underconstr_per_10kpop"
"1988-2","0140",4,1,"June 30, 1988","CALGARY",64,8,8,0,NA,NA,NA,NA
"1988-2","0140",2,1,"June 30, 1988","CALGARY",98,49,2,0,NA,NA,NA,NA
"1988-2","0140",5,2,"June 30, 1988","CALGARY",4,1,4,0,NA,NA,NA,NA
"1988-2","0140",1,0,"June 30, 1988","CALGARY",1,1,1,0,NA,NA,NA,NA
"1988-2","0140",1,1,"June 30, 1988","CALGARY",1424,1424,1,0,NA,NA,NA,NA
"1988-2","0140",5,1,"June 30, 1988","CALGARY",11,3,3.66666666666667,0,NA,NA,NA,NA
"1988-3","0140",5,1,"September 30, 1988","CALGARY",11,3,3.66666666666667,0,NA,NA,NA,NA
"1988-3","0140",1,1,"September 30, 1988","CALGARY",1442,1442,1,0,NA,NA,NA,NA
"1988-3","0140",2,1,"September 30, 1988","CALGARY",182,91,2,0,NA,NA,NA,NA
"1988-3","0140",4,1,"September 30, 1988","CALGARY",61,7,8.71428571428571,0,NA,NA,NA,NA
"1988-3","0140",5,2,"September 30, 1988","CALGARY",4,1,4,0,NA,NA,NA,NA
"1988-4","0140",2,2,"December 31, 1988","CALGARY",2,1,2,0,NA,NA,NA,NA
"1988-4","0140",4,2,"December 31, 1988","CALGARY",76,3,25.3333333333333,0,NA,NA,NA,NA
"1988-4","0140",4,1,"December 31, 1988","CALGARY",21,3,7,0,NA,NA,NA,NA
"1988-4","0140",5,1,"December 31, 1988","CALGARY",11,3,3.66666666666667,0,NA,NA,NA,NA
"1988-4","0140",1,1,"December 31, 1988","CALGARY",1341,1341,1,0,NA,NA,NA,NA
"1988-4","0140",2,1,"December 31, 1988","CALGARY",230,115,2,0,NA,NA,NA,NA
"1989-1","0140",1,1,"March 31, 1989","CALGARY",1438,1438,1,0,NA,NA,NA,NA
"1989-1","0140",5,1,"March 31, 1989","CALGARY",7,2,3.5,0,NA,NA,NA,NA
"1989-1","0140",2,1,"March 31, 1989","CALGARY",294,147,2,0,NA,NA,NA,NA
"1989-1","0140",4,1,"March 31, 1989","CALGARY",21,3,7,0,NA,NA,NA,NA
"1989-1","0140",2,2,"March 31, 1989","CALGARY",8,4,2,0,NA,NA,NA,NA
"1989-1","0140",4,2,"March 31, 1989","CALGARY",224,40,5.6,0,NA,NA,NA,NA
"1989-2","0140",5,1,"June 30, 1989","CALGARY",7,2,3.5,0,NA,NA,NA,NA
"1989-2","0140",1,1,"June 30, 1989","CALGARY",1450,1450,1,0,NA,NA,NA,NA
"1989-2","0140",1,0,"June 30, 1989","CALGARY",210,210,1,0,NA,NA,NA,NA
"1989-2","0140",1,2,"June 30, 1989","CALGARY",3,3,1,0,NA,NA,NA,NA
"1989-2","0140",2,2,"June 30, 1989","CALGARY",8,4,2,0,NA,NA,NA,NA
"1989-2","0140",4,2,"June 30, 1989","CALGARY",224,40,5.6,0,NA,NA,NA,NA
"1989-2","0140",2,0,"June 30, 1989","CALGARY",28,14,2,0,NA,NA,NA,NA
"1989-2","0140",2,1,"June 30, 1989","CALGARY",228,114,2,0,NA,NA,NA,NA
"1989-2","0140",4,1,"June 30, 1989","CALGARY",21,3,7,0,NA,NA,NA,NA
"1989-3","0140",2,2,"September 30, 1989","CALGARY",2,1,2,0,NA,NA,NA,NA
"1989-3","0140",1,0,"September 30, 1989","CALGARY",378,378,1,0,NA,NA,NA,NA
"1989-3","0140",4,0,"September 30, 1989","CALGARY",53,3,17.6666666666667,0,NA,NA,NA,NA
"1989-3","0140",2,0,"September 30, 1989","CALGARY",38,19,2,0,NA,NA,NA,NA
"1989-3","0140",4,1,"September 30, 1989","CALGARY",152,37,4.10810810810811,0,NA,NA,NA,NA
"1989-3","0140",5,2,"September 30, 1989","CALGARY",6,2,3,0,NA,NA,NA,NA
"1989-3","0140",4,3,"September 30, 1989","CALGARY",42,7,6,0,NA,NA,NA,NA
"1989-3","0140",1,1,"September 30, 1989","CALGARY",1360,1360,1,0,NA,NA,NA,NA
"1989-3","0140",2,1,"September 30, 1989","CALGARY",236,118,2,0,NA,NA,NA,NA
"1989-3","0140",1,2,"September 30, 1989","CALGARY",15,15,1,0,NA,NA,NA,NA
"1989-3","0140",5,0,"September 30, 1989","CALGARY",39,4,9.75,0,NA,NA,NA,NA
"1989-4","0140",1,2,"December 31, 1989","CALGARY",6,6,1,0,NA,NA,NA,NA
"1989-4","0140",4,2,"December 31, 1989","CALGARY",12,3,4,0,NA,NA,NA,NA
"1989-4","0140",5,0,"December 31, 1989","CALGARY",30,1,30,0,NA,NA,NA,NA
"1989-4","0140",1,1,"December 31, 1989","CALGARY",1788,1788,1,0,NA,NA,NA,NA
"1989-4","0140",4,3,"December 31, 1989","CALGARY",42,7,6,0,NA,NA,NA,NA
"1989-4","0140",5,1,"December 31, 1989","CALGARY",13,4,3.25,0,NA,NA,NA,NA
"1989-4","0140",2,0,"December 31, 1989","CALGARY",24,12,2,0,NA,NA,NA,NA
"1989-4","0140",2,2,"December 31, 1989","CALGARY",20,10,2,0,NA,NA,NA,NA
"1989-4","0140",4,0,"December 31, 1989","CALGARY",47,2,23.5,0,NA,NA,NA,NA
"1989-4","0140",2,1,"December 31, 1989","CALGARY",248,124,2,0,NA,NA,NA,NA
"1989-4","0140",5,2,"December 31, 1989","CALGARY",254,22,11.5454545454545,0,NA,NA,NA,NA
"1989-4","0140",4,1,"December 31, 1989","CALGARY",139,31,4.48387096774194,0,NA,NA,NA,NA
"1989-4","0140",1,0,"December 31, 1989","CALGARY",239,239,1,0,NA,NA,NA,NA
"1989-4","0140",5,3,"December 31, 1989","CALGARY",4,1,4,0,NA,NA,NA,NA
"1990-1","0140",1,2,"March 31, 1990","CALGARY",2,2,1,0,NA,NA,NA,NA
"1990-1","0140",2,1,"March 31, 1990","CALGARY",240,120,2,0,NA,NA,NA,NA
"1990-1","0140",4,1,"March 31, 1990","CALGARY",57,15,3.8,0,NA,NA,NA,NA
"1990-1","0140",1,0,"March 31, 1990","CALGARY",180,180,1,0,NA,NA,NA,NA
"1990-1","0140",5,3,"March 31, 1990","CALGARY",34,5,6.8,0,NA,NA,NA,NA
"1990-1","0140",2,0,"March 31, 1990","CALGARY",22,11,2,0,NA,NA,NA,NA
"1990-1","0140",5,1,"March 31, 1990","CALGARY",12,3,4,0,NA,NA,NA,NA
"1990-1","0140",5,2,"March 31, 1990","CALGARY",255,22,11.5909090909091,0,NA,NA,NA,NA
"1990-1","0140",4,3,"March 31, 1990","CALGARY",108,27,4,0,NA,NA,NA,NA
"1990-1","0140",1,3,"March 31, 1990","CALGARY",1,1,1,0,NA,NA,NA,NA
"1990-1","0140",2,2,"March 31, 1990","CALGARY",20,10,2,0,NA,NA,NA,NA
"1990-1","0140",1,1,"March 31, 1990","CALGARY",2346,2346,1,0,NA,NA,NA,NA
"1990-1","0140",4,2,"March 31, 1990","CALGARY",12,3,4,0,NA,NA,NA,NA
"1990-1","0140",2,3,"March 31, 1990","CALGARY",128,64,2,0,NA,NA,NA,NA
"1990-2","0140",5,1,"June 30, 1990","CALGARY",1,1,1,0,NA,NA,NA,NA
"1990-2","0140",2,3,"June 30, 1990","CALGARY",78,39,2,0,NA,NA,NA,NA
"1990-2","0140",1,2,"June 30, 1990","CALGARY",4,4,1,0,NA,NA,NA,NA
"1990-2","0140",2,2,"June 30, 1990","CALGARY",14,7,2,0,NA,NA,NA,NA
"1990-2","0140",2,1,"June 30, 1990","CALGARY",30,15,2,0,NA,NA,NA,NA
"1990-2","0140",5,3,"June 30, 1990","CALGARY",134,7,19.1428571428571,1.57142857142857,NA,NA,NA,NA
"1990-2","0140",1,0,"June 30, 1990","CALGARY",204,204,1,0,NA,NA,NA,NA
"1990-2","0140",5,2,"June 30, 1990","CALGARY",158,6,26.3333333333333,0,NA,NA,NA,NA
"1990-2","0140",4,3,"June 30, 1990","CALGARY",226,51,4.43137254901961,0,NA,NA,NA,NA
"1990-2","0140",2,0,"June 30, 1990","CALGARY",18,9,2,0,NA,NA,NA,NA
"1990-2","0140",4,2,"June 30, 1990","CALGARY",105,23,4.56521739130435,0,NA,NA,NA,NA
"1990-2","0140",1,1,"June 30, 1990","CALGARY",2234,2234,1,0,NA,NA,NA,NA
"1990-3","0140",4,2,"September 30, 1990","CALGARY",105,23,4.56521739130435,0,NA,NA,NA,NA
"1990-3","0140",2,2,"September 30, 1990","CALGARY",10,5,2,0,NA,NA,NA,NA
"1990-3","0140",4,3,"September 30, 1990","CALGARY",286,57,5.01754385964912,0,NA,NA,NA,NA
"1990-3","0140",5,1,"September 30, 1990","CALGARY",1,1,1,0,NA,NA,NA,NA
"1990-3","0140",2,0,"September 30, 1990","CALGARY",32,16,2,0,NA,NA,NA,NA
"1990-3","0140",1,1,"September 30, 1990","CALGARY",1447,1447,1,0,NA,NA,NA,NA
"1990-3","0140",2,1,"September 30, 1990","CALGARY",22,11,2,0,NA,NA,NA,NA
"1990-3","0140",2,3,"September 30, 1990","CALGARY",86,43,2,0,NA,NA,NA,NA
"1990-3","0140",5,2,"September 30, 1990","CALGARY",88,5,17.6,0.4,NA,NA,NA,NA
"1990-3","0140",5,3,"September 30, 1990","CALGARY",366,8,45.75,1.5,NA,NA,NA,NA
"1990-3","0140",1,0,"September 30, 1990","CALGARY",45,45,1,0,NA,NA,NA,NA
"1990-4","0140",2,1,"December 31, 1990","CALGARY",20,10,2,0,NA,NA,NA,NA
"1990-4","0140",1,0,"December 31, 1990","CALGARY",43,43,1,0,NA,NA,NA,NA
"1990-4","0140",2,2,"December 31, 1990","CALGARY",16,8,2,0,NA,NA,NA,NA
"1990-4","0140",5,3,"December 31, 1990","CALGARY",366,8,45.75,1.5,NA,NA,NA,NA
"1990-4","0140",4,0,"December 31, 1990","CALGARY",66,1,66,0,NA,NA,NA,NA
"1990-4","0140",2,3,"December 31, 1990","CALGARY",68,34,2,0,NA,NA,NA,NA
"1990-4","0140",1,1,"December 31, 1990","CALGARY",1110,1110,1,0,NA,NA,NA,NA
"1990-4","0140",4,2,"December 31, 1990","CALGARY",174,25,6.96,0,NA,NA,NA,NA
"1990-4","0140",4,3,"December 31, 1990","CALGARY",348,58,6,0,NA,NA,NA,NA
"1990-4","0140",5,0,"December 31, 1990","CALGARY",32,1,32,0,NA,NA,NA,NA
"1990-4","0140",2,0,"December 31, 1990","CALGARY",20,10,2,0,NA,NA,NA,NA
"1990-4","0140",5,2,"December 31, 1990","CALGARY",90,6,15,0.333333333333333,NA,NA,NA,NA
"1991-1","0140",1,0,"March 31, 1991","CALGARY",16,16,1,0,NA,NA,NA,NA
"1991-1","0140",2,2,"March 31, 1991","CALGARY",6,3,2,0,NA,NA,NA,NA
"1991-1","0140",5,3,"March 31, 1991","CALGARY",343,9,38.1111111111111,0.333333333333333,NA,NA,NA,NA
"1991-1","0140",4,2,"March 31, 1991","CALGARY",182,27,6.74074074074074,0,NA,NA,NA,NA
"1991-1","0140",4,1,"March 31, 1991","CALGARY",66,1,66,0,NA,NA,NA,NA
"1991-1","0140",5,2,"March 31, 1991","CALGARY",118,6,19.6666666666667,0,NA,NA,NA,NA
"1991-1","0140",2,3,"March 31, 1991","CALGARY",58,29,2,0,NA,NA,NA,NA
"1991-1","0140",4,3,"March 31, 1991","CALGARY",338,57,5.92982456140351,0,NA,NA,NA,NA
"1991-1","0140",2,1,"March 31, 1991","CALGARY",32,17,1.88235294117647,0,NA,NA,NA,NA
"1991-1","0140",1,1,"March 31, 1991","CALGARY",887,887,1,0,NA,NA,NA,NA
"1991-1","0140",2,0,"March 31, 1991","CALGARY",8,4,2,0,NA,NA,NA,NA
"1991-2","0140",1,0,"June 30, 1991","CALGARY",7,7,1,0,NA,NA,NA,NA
"1991-2","0140",2,3,"June 30, 1991","CALGARY",58,29,2,0,NA,NA,NA,NA
"1991-2","0140",4,1,"June 30, 1991","CALGARY",66,1,66,0,NA,NA,NA,NA
"1991-2","0140",2,2,"June 30, 1991","CALGARY",18,9,2,0,NA,NA,NA,NA
"1991-2","0140",5,4,"June 30, 1991","CALGARY",41,1,41,0,NA,NA,NA,NA
"1991-2","0140",2,0,"June 30, 1991","CALGARY",8,4,2,0,NA,NA,NA,NA
"1991-2","0140",4,2,"June 30, 1991","CALGARY",190,28,6.78571428571429,0,NA,NA,NA,NA
"1991-2","0140",1,1,"June 30, 1991","CALGARY",1253,1253,1,0,NA,NA,NA,NA
"1991-2","0140",5,2,"June 30, 1991","CALGARY",69,4,17.25,0,NA,NA,NA,NA
"1991-2","0140",2,1,"June 30, 1991","CALGARY",50,26,1.92307692307692,0,NA,NA,NA,NA
"1991-2","0140",4,3,"June 30, 1991","CALGARY",294,47,6.25531914893617,0,NA,NA,NA,NA
"1991-2","0140",5,3,"June 30, 1991","CALGARY",239,7,34.1428571428571,0.428571428571429,NA,NA,NA,NA
"1991-3","0140",2,0,"September 30, 1991","CALGARY",6,3,2,0,NA,NA,NA,NA
"1991-3","0140",5,3,"September 30, 1991","CALGARY",77,7,11,0,NA,NA,NA,NA
"1991-3","0140",1,1,"September 30, 1991","CALGARY",1223,1223,1,0,NA,NA,NA,NA
