reference_period,metro,metcode,FSA,total_starts,num_structures,starts_accsuite,starts_no_accsuite,unitsperstructure,avgstorycount,avgpermit_to_start_time
1988,Calgary,0140,nan,2530.0,2273,,,1.0,0.0,0.27
1988,Calgary,0140,,32.0,30,,,1.0,0.0,0.1
1989,Calgary,0140,,162.0,29,,,6.0,0.0,0.28
1989,Calgary,0140,nan,6066.0,5451,,,1.0,0.0,0.38
1990,Calgary,0140,nan,6857.0,5752,,,1.0,0.0,0.51
1990,Calgary,0140,,147.0,62,,,2.0,0.0,1.05
1991,Calgary,0140,,39.0,32,,,1.0,0.0,0.31
1991,Calgary,0140,nan,4711.0,4284,,,1.0,0.0,0.38
1992,Calgary,0140,,9.0,8,,,1.0,0.0,1.0
1992,Calgary,0140,nan,7025.0,6256,,,1.0,0.0,0.28
1993,Calgary,0140,nan,6528.0,5574,,,1.0,0.0,0.29
1993,Calgary,0140,,101.0,2,,,51.0,0.0,6.5
1994,Calgary,0140,,2.0,2,,,1.0,0.0,0.0
1994,Calgary,0140,nan,6875.0,5538,,,1.0,0.0,0.33
1995,Calgary,0140,,2.0,2,,,1.0,0.0,0.0
1995,Calgary,0140,nan,5683.0,4617,,,1.0,0.0,0.27
1996,Calgary,0140,,3.0,3,,,1.0,0.0,4.0
1996,Calgary,0140,nan,7108.0,6125,,,1.0,0.0,0.42
1997,Calgary,0140,,1.0,1,,,1.0,0.0,4.0
1997,Calgary,0140,nan,11214.0,9155,,,1.0,0.0,0.31
1998,Calgary,0140,T2E,1.0,1,,,1.0,0.0,0.0
1998,Calgary,0140,nan,12488.0,9737,,,1.0,0.0,0.3
1998,Calgary,0140,,6.0,6,,,1.0,0.0,0.17
1999,Calgary,0140,nan,10578.0,7093,,,1.0,0.01,0.29
1999,Calgary,0140,,22.0,16,,,1.0,0.0,3.94
2000,Calgary,0140,T2T,10.0,1,,,10.0,0.0,16.0
2000,Calgary,0140,,7.0,6,,,1.0,0.0,1.67
2000,Calgary,0140,nan,11076.0,7280,,,2.0,0.01,0.31
2001,Calgary,0140,nan,11347.0,8138,,,1.0,0.0,0.31
2001,Calgary,0140,,2.0,2,,,1.0,0.0,11.0
2002,Calgary,0140,T2N,1.0,1,,,1.0,0.0,0.0
2002,Calgary,0140,T2V,1.0,1,,,1.0,0.0,0.0
2002,Calgary,0140,nan,14331.0,10071,,,1.0,0.0,0.37
2002,Calgary,0140,,6.0,3,,,2.0,0.0,8.33
2003,Calgary,0140,nan,13564.0,9231,,,1.0,0.0,0.43
2003,Calgary,0140,T2S,1.0,1,,,1.0,0.0,1.0
2003,Calgary,0140,T2E,8.0,1,,,8.0,0.0,6.0
2003,Calgary,0140,,66.0,4,,,17.0,0.0,0.0
2003,Calgary,0140,T2T,3.0,2,,,2.0,0.0,0.5
2004,Calgary,0140,T2H,1.0,1,,,1.0,0.0,1.0
2004,Calgary,0140,T2T,10.0,9,,,1.0,0.0,0.22
2004,Calgary,0140,T2C,154.0,3,,,51.0,0.0,5.67
2004,Calgary,0140,T2N,21.0,13,,,2.0,0.0,0.69
2004,Calgary,0140,nan,12428.0,8872,,,1.0,0.0,0.37
2004,Calgary,0140,T2L,1.0,1,,,1.0,0.0,2.0
2004,Calgary,0140,T2B,8.0,2,,,4.0,0.0,4.0
2004,Calgary,0140,T2R,351.0,1,,,351.0,0.0,2.0
2004,Calgary,0140,T2S,3.0,3,,,1.0,0.0,0.0
2004,Calgary,0140,T2W,6.0,1,,,6.0,0.0,6.0
2004,Calgary,0140,T3B,3.0,2,,,2.0,0.0,5.5
2004,Calgary,0140,T3C,2.0,2,,,1.0,0.0,1.0
2004,Calgary,0140,T3E,250.0,1,,,250.0,0.0,2.0
2004,Calgary,0140,T2E,139.0,6,,,23.0,0.0,2.0
2004,Calgary,0140,T2G,366.0,3,,,122.0,0.0,3.33
2004,Calgary,0140,T2P,201.0,3,,,67.0,0.0,10.0
2004,Calgary,0140,T2M,2.0,2,,,1.0,0.0,0.0
2004,Calgary,0140,,51.0,8,,,6.0,0.0,2.25
2004,Calgary,0140,T2Y,7.0,4,,,2.0,0.0,8.5
2004,Calgary,0140,T3H,2.0,2,,,1.0,0.0,1.0
2004,Calgary,0140,T2V,2.0,2,,,1.0,0.0,1.0
2005,Calgary,0140,T2E,201.0,67,,,3.0,0.0,0.72
2005,Calgary,0140,T3H,4.0,4,,,1.0,0.0,5.0
2005,Calgary,0140,T2B,24.0,6,,,4.0,0.0,9.0
2005,Calgary,0140,T2H,71.0,12,,,6.0,0.0,0.75
2005,Calgary,0140,T2Y,67.0,56,,,1.0,0.0,1.32
2005,Calgary,0140,T2J,261.0,5,,,52.0,0.0,1.4
2005,Calgary,0140,T2M,59.0,39,,,2.0,0.0,0.41
2005,Calgary,0140,T2W,12.0,2,,,6.0,0.0,14.0
2005,Calgary,0140,T2C,280.0,63,,,4.0,0.0,0.87
2005,Calgary,0140,T2R,168.0,2,,,84.0,0.0,2.0
2005,Calgary,0140,T2V,32.0,25,,,1.0,0.0,0.32
2005,Calgary,0140,T3C,202.0,15,,,13.0,0.0,0.67
2005,Calgary,0140,,8.0,6,,,1.0,0.0,1.5
2005,Calgary,0140,T2K,8.0,6,,,1.0,0.0,0.67
2005,Calgary,0140,T3B,10.0,7,,,1.0,0.0,2.14
2005,Calgary,0140,T4C,1.0,1,,,1.0,0.0,0.0
2005,Calgary,0140,nan,11354.0,8843,,,1.0,0.0,0.43
2005,Calgary,0140,T2A,12.0,2,,,6.0,0.0,8.5
2005,Calgary,0140,T3E,218.0,82,,,3.0,0.0,0.49
2005,Calgary,0140,T2S,19.0,19,,,1.0,0.0,0.95
2005,Calgary,0140,T2X,7.0,1,,,7.0,0.0,11.0
2005,Calgary,0140,T3A,2.0,2,,,1.0,0.0,0.0
2005,Calgary,0140,T2G,188.0,12,,,16.0,0.0,1.08
2005,Calgary,0140,T2L,4.0,4,,,1.0,0.0,1.5
2005,Calgary,0140,T2T,266.0,105,,,3.0,0.0,0.54
2005,Calgary,0140,T2N,145.0,95,,,2.0,0.0,0.29
2005,Calgary,0140,T2P,44.0,1,,,44.0,0.0,7.0
2006,Calgary,0140,T2J,241.0,2,,,121.0,0.0,0.5
2006,Calgary,0140,T2E,238.0,96,,,2.0,0.02,0.98
2006,Calgary,0140,T2C,618.0,368,,,2.0,0.0,0.61
2006,Calgary,0140,T2P,181.0,1,,,181.0,0.0,6.0
2006,Calgary,0140,T2G,564.0,16,,,35.0,0.0,1.06
2006,Calgary,0140,T2H,372.0,7,,,53.0,3.0,2.71
2006,Calgary,0140,T2V,66.0,39,,,2.0,0.0,0.97
2006,Calgary,0140,T3E,218.0,127,,,2.0,0.0,0.76
2006,Calgary,0140,T1Y,1.0,1,,,1.0,0.0,0.0
2006,Calgary,0140,T2L,7.0,7,,,1.0,0.0,1.0
