reference_period,metro,metcode,FSA,dweltype,mkttycd,total_starts,num_structures,starts_accsuite,starts_no_accsuite,unitsperstructure,avgstorycount,avgpermit_to_start_time
1988,Calgary,0140,,5.0,1.0,3.0,1,,,3.0,0.0,0.0
1988,Calgary,0140,,1.0,1.0,29.0,29,,,1.0,0.0,0.1
1988,Calgary,0140,nan,1.0,0.0,1.0,1,,,1.0,0.0,0.0
1988,Calgary,0140,nan,1.0,1.0,2106.0,2106,,,1.0,0.0,0.27
1988,Calgary,0140,nan,2.0,2.0,2.0,1,,,2.0,0.0,1.0
1988,Calgary,0140,nan,4.0,1.0,21.0,3,,,7.0,0.0,2.67
1988,Calgary,0140,nan,2.0,1.0,312.0,156,,,2.0,0.0,0.06
1988,Calgary,0140,nan,5.0,1.0,12.0,3,,,4.0,0.0,1.67
1988,Calgary,0140,nan,4.0,2.0,76.0,3,,,25.0,0.0,1.0
1989,Calgary,0140,nan,2.0,2.0,28.0,14,,,2.0,0.0,1.14
1989,Calgary,0140,nan,5.0,0.0,39.0,4,,,10.0,0.0,1.75
1989,Calgary,0140,,5.0,2.0,144.0,12,,,12.0,0.0,0.0
1989,Calgary,0140,nan,1.0,0.0,672.0,672,,,1.0,0.0,0.29
1989,Calgary,0140,nan,1.0,1.0,4558.0,4558,,,1.0,0.0,0.37
1989,Calgary,0140,nan,4.0,3.0,42.0,2,,,21.0,0.0,0.0
1989,Calgary,0140,,2.0,0.0,2.0,1,,,2.0,0.0,2.0
1989,Calgary,0140,nan,2.0,0.0,58.0,29,,,2.0,0.0,0.1
1989,Calgary,0140,,1.0,0.0,2.0,2,,,1.0,0.0,0.0
1989,Calgary,0140,nan,1.0,2.0,32.0,32,,,1.0,0.0,0.81
1989,Calgary,0140,nan,5.0,1.0,8.0,2,,,4.0,0.0,1.0
1989,Calgary,0140,,1.0,1.0,14.0,14,,,1.0,0.0,0.43
1989,Calgary,0140,nan,4.0,0.0,131.0,5,,,26.0,0.0,2.2
1989,Calgary,0140,nan,5.0,2.0,114.0,11,,,10.0,0.0,0.0
1989,Calgary,0140,nan,4.0,1.0,102.0,22,,,5.0,0.0,1.27
1989,Calgary,0140,nan,5.0,3.0,4.0,1,,,4.0,0.0,0.0
1989,Calgary,0140,nan,2.0,1.0,118.0,59,,,2.0,0.0,1.63
1989,Calgary,0140,nan,4.0,2.0,160.0,40,,,4.0,0.0,0.93
1990,Calgary,0140,nan,4.0,0.0,150.0,2,,,75.0,0.0,1.0
1990,Calgary,0140,nan,5.0,0.0,88.0,2,,,44.0,0.0,0.0
1990,Calgary,0140,,1.0,1.0,16.0,16,,,1.0,0.0,1.88
1990,Calgary,0140,nan,1.0,0.0,320.0,320,,,1.0,0.0,0.32
1990,Calgary,0140,,2.0,2.0,4.0,2,,,2.0,0.0,3.5
1990,Calgary,0140,nan,1.0,2.0,5.0,5,,,1.0,0.0,0.8
1990,Calgary,0140,nan,5.0,3.0,289.0,4,,,72.0,3.0,1.25
1990,Calgary,0140,nan,2.0,2.0,20.0,10,,,2.0,0.0,1.2
1990,Calgary,0140,,4.0,2.0,24.0,5,,,5.0,0.0,0.0
1990,Calgary,0140,nan,2.0,3.0,108.0,54,,,2.0,0.0,0.31
1990,Calgary,0140,nan,4.0,3.0,269.0,43,,,6.0,0.0,0.49
1990,Calgary,0140,,1.0,0.0,1.0,1,,,1.0,0.0,2.0
1990,Calgary,0140,nan,5.0,2.0,93.0,7,,,13.0,0.29,1.14
1990,Calgary,0140,nan,1.0,1.0,5221.0,5221,,,1.0,0.0,0.51
1990,Calgary,0140,nan,1.0,3.0,1.0,1,,,1.0,0.0,0.0
1990,Calgary,0140,nan,5.0,1.0,1.0,1,,,1.0,0.0,2.0
1990,Calgary,0140,nan,4.0,1.0,42.0,12,,,4.0,0.0,4.0
1990,Calgary,0140,nan,2.0,1.0,70.0,35,,,2.0,0.0,1.34
1990,Calgary,0140,nan,4.0,2.0,150.0,20,,,8.0,0.0,0.05
1990,Calgary,0140,nan,2.0,0.0,30.0,15,,,2.0,0.0,1.73
1990,Calgary,0140,,4.0,3.0,55.0,15,,,4.0,0.0,0.0
1990,Calgary,0140,,2.0,3.0,44.0,22,,,2.0,0.0,1.0
1990,Calgary,0140,,4.0,1.0,3.0,1,,,3.0,0.0,4.0
1991,Calgary,0140,nan,2.0,0.0,34.0,17,,,2.0,0.0,0.06
1991,Calgary,0140,nan,2.0,2.0,20.0,10,,,2.0,0.0,0.7
1991,Calgary,0140,nan,4.0,1.0,12.0,3,,,4.0,0.0,2.0
1991,Calgary,0140,nan,5.0,1.0,4.0,1,,,4.0,0.0,0.0
1991,Calgary,0140,nan,5.0,2.0,56.0,7,,,8.0,0.0,0.29
1991,Calgary,0140,,1.0,1.0,24.0,24,,,1.0,0.0,0.33
1991,Calgary,0140,,2.0,1.0,8.0,4,,,2.0,0.0,0.25
1991,Calgary,0140,nan,1.0,1.0,4117.0,4117,,,1.0,0.0,0.36
1991,Calgary,0140,nan,5.0,0.0,12.0,2,,,6.0,0.0,5.0
1991,Calgary,0140,nan,4.0,0.0,17.0,1,,,17.0,0.0,4.0
1991,Calgary,0140,nan,5.0,4.0,41.0,1,,,41.0,0.0,1.0
1991,Calgary,0140,nan,5.0,3.0,59.0,5,,,12.0,0.0,3.0
1991,Calgary,0140,nan,4.0,2.0,62.0,7,,,9.0,0.0,1.71
1991,Calgary,0140,nan,2.0,1.0,152.0,77,,,2.0,0.0,0.48
1991,Calgary,0140,nan,1.0,2.0,3.0,3,,,1.0,0.0,0.0
