reference_period,metro,metcode,total_starts,starts_accsuite,starts_no_accsuite,num_structures,unitsperstructure,avgstorycount,avgpermit_to_start_time,population,starts_per_10kpop
1988-06-01,Calgary,0140,2562.0,,,2303,1.11,0.0,0.26,724449.87,35.36
1989-01-01,Calgary,0140,6228.0,,,5480,1.14,0.0,0.38,747414.6,83.33
1990-04-01,Calgary,0140,7004.0,,,5814,1.2,0.0,0.52,764404.2,91.63
1991-01-01,Calgary,0140,4750.0,,,4316,1.1,0.0,0.38,779040.07,60.97
1992-01-01,Calgary,0140,7034.0,,,6264,1.12,0.0,0.28,789289.72,89.12
1993-01-01,Calgary,0140,6629.0,,,5576,1.19,0.0,0.3,803617.45,82.49
1994-01-01,Calgary,0140,6877.0,,,5540,1.24,0.0,0.33,820531.9,83.81
1995-01-01,Calgary,0140,5685.0,,,4619,1.23,0.0,0.27,839716.2,67.7
1996-01-01,Calgary,0140,7111.0,,,6128,1.16,0.0,0.42,867371.68,81.98
1997-02-01,Calgary,0140,11215.0,,,9156,1.22,0.0,0.31,899742.31,124.65
1998-01-01,Calgary,0140,12495.0,,,9744,1.28,0.0,0.3,925463.09,135.01
1999-01-01,Calgary,0140,10600.0,,,7109,1.49,0.01,0.3,949842.56,111.6
2000-04-01,Calgary,0140,11093.0,,,7287,1.52,0.01,0.31,974556.1,113.83
2001-02-01,Calgary,0140,11349.0,,,8140,1.39,0.0,0.31,1004815.47,112.95
2002-01-01,Calgary,0140,14339.0,,,10076,1.42,0.0,0.37,1026949.07,139.63
2003-02-01,Calgary,0140,13642.0,,,9239,1.48,0.0,0.43,1049550.64,129.98
2004-10-01,Calgary,0140,14008.0,,,8941,1.57,0.0,0.39,1083762.24,129.25
2005-03-01,Calgary,0140,13667.0,,,9482,1.44,0.0,0.46,1120692.72,121.95
2006-07-01,Calgary,0140,17046.0,,,11308,1.51,0.0,0.93,1151604.22,148.02
2007-05-01,Calgary,0140,13505.0,,,8567,1.58,0.0,0.8,1183363.88,114.12
2008-01-01,Calgary,0140,11438.0,,,4908,2.33,0.05,0.78,1217803.53,93.92
2009-09-01,Calgary,0140,6318.0,,,5239,1.21,0.0,0.85,1237706.53,51.05
2010-02-01,Calgary,0140,9262.0,,9262.0,6496,1.43,0.01,0.63,1259794.84,73.52
2011-02-01,Calgary,0140,9292.0,,9292.0,5801,1.6,0.0,0.53,1294993.91,71.75
2012-07-01,Calgary,0140,12841.0,,12841.0,6897,1.86,0.02,0.42,1339347.88,95.88
2013-02-01,Calgary,0140,12584.0,,12584.0,7492,1.68,0.02,0.42,1382962.75,90.99
2014-01-01,Calgary,0140,17131.0,,17131.0,7795,2.2,0.04,0.51,1410896.5,121.42
2015-02-01,Calgary,0140,13033.0,,13033.0,5154,2.53,0.09,0.65,1435513.81,90.79
2016-01-01,Calgary,0140,9245.0,,9245.0,4238,2.18,0.09,0.95,1455343.75,63.52
2017-11-01,Calgary,0140,11534.0,,11534.0,5438,2.12,0.07,1.03,1479844.06,77.94
2018-03-01,Calgary,0140,10971.0,44.0,10927.0,4844,2.26,0.08,0.97,1510785.75,72.62
2019-01-01,Calgary,0140,11909.0,113.0,11796.0,4677,2.55,0.12,1.09,1540598.94,77.3
2020-12-01,Calgary,0140,9235.0,97.0,9138.0,4514,2.05,0.09,1.45,1553935.06,59.43
2021-11-01,Calgary,0140,15017.0,53.0,14964.0,6766,2.22,0.09,1.23,1598936.31,93.92
2022-04-01,Calgary,0140,17306.0,342.0,16964.0,7705,2.25,0.16,1.57,1674560.42,103.35
2023-07-01,Calgary,0140,19579.0,676.0,18903.0,8591,2.28,0.21,1.55,1753690.0,111.64
1988-06-01,Edmonton,0340,2807.0,,,2340,1.2,0.01,0.1,821466.78,34.17
1989-03-01,Edmonton,0340,4817.0,,,4134,1.17,0.0,0.23,839681.23,57.37
1990-01-01,Edmonton,0340,5921.0,,,4949,1.2,0.01,0.4,855178.48,69.24
1991-04-01,Edmonton,0340,4285.0,,,3248,1.32,0.0,0.55,867285.29,49.41
1992-01-01,Edmonton,0340,6764.0,,,5050,1.34,0.0,0.3,875231.65,77.28
1993-09-01,Edmonton,0340,6720.0,,,4665,1.44,0.0,0.24,877513.39,76.58
1994-01-01,Edmonton,0340,5006.0,,,3484,1.44,0.0,0.31,878697.77,56.97
1995-02-01,Edmonton,0340,3082.0,,,2267,1.36,0.0,0.44,884326.84,34.85
1996-01-01,Edmonton,0340,3634.0,,,3127,1.16,0.0,0.47,896539.38,40.53
1997-05-01,Edmonton,0340,4962.0,,,3930,1.26,0.0,0.32,915045.9,54.23
1998-01-01,Edmonton,0340,5947.0,,,4297,1.38,0.0,0.51,930636.07,63.9
1999-09-01,Edmonton,0340,6655.0,,,4380,1.52,0.0,0.34,946094.38,70.34
2000-08-01,Edmonton,0340,6228.0,,,4344,1.43,0.0,0.31,959720.91,64.89
2001-07-01,Edmonton,0340,7855.0,,,5340,1.47,0.0,0.32,982239.87,79.97
2002-05-01,Edmonton,0340,12581.0,,,7577,1.66,0.0,0.45,998763.73,125.97
2003-01-01,Edmonton,0340,12380.0,,,7118,1.74,0.0,0.55,1014137.09,122.07
2004-07-01,Edmonton,0340,11488.0,,,7356,1.56,0.01,0.54,1038096.58,110.66
