reference_period,ref_qq,metro,metcode,total_starts,starts_accsuite,starts_no_accsuite,num_structures,unitsperstructure,avgstorycount,avgpermit_to_start_time,population,starts_per_10kpop
1988-06-01,2,Calgary,0140,1372.0,,,1340,1.02,0.0,0.0,724449.87,18.94
1988-07-01,3,Calgary,0140,4304.0,,,3992,1.08,0.0,0.22,724449.87,59.41
1988-10-01,4,Calgary,0140,4572.0,,,3880,1.18,0.0,0.4,724449.87,63.11
1989-01-01,1,Calgary,0140,4020.0,,,3432,1.17,0.0,0.53,747414.6,53.79
1989-04-01,2,Calgary,0140,6252.0,,,6156,1.02,0.0,0.39,747414.6,83.65
1989-07-01,3,Calgary,0140,7012.0,,,5864,1.2,0.0,0.43,747414.6,93.82
1989-10-01,4,Calgary,0140,7628.0,,,6468,1.18,0.0,0.26,747414.6,102.06
1990-02-01,1,Calgary,0140,8648.0,,,8192,1.06,0.0,0.39,764404.2,113.13
1990-04-01,2,Calgary,0140,9212.0,,,7536,1.22,0.0,0.35,764404.2,120.51
1990-07-01,3,Calgary,0140,5544.0,,,3976,1.39,0.01,0.88,764404.2,72.53
1990-10-01,4,Calgary,0140,4612.0,,,3552,1.3,0.0,0.78,764404.2,60.33
1991-01-01,1,Calgary,0140,2896.0,,,2684,1.08,0.0,0.67,779040.07,37.17
1991-04-01,2,Calgary,0140,5728.0,,,5180,1.11,0.0,0.25,779040.07,73.53
1991-07-01,3,Calgary,0140,5228.0,,,4776,1.09,0.0,0.38,779040.07,67.11
1991-10-01,4,Calgary,0140,5148.0,,,4624,1.11,0.0,0.34,779040.07,66.08
1992-01-01,1,Calgary,0140,5188.0,,,4724,1.1,0.0,0.45,789289.72,65.73
1992-06-01,2,Calgary,0140,9160.0,,,8092,1.13,0.0,0.19,789289.72,116.05
1992-07-01,3,Calgary,0140,6788.0,,,5924,1.15,0.0,0.38,789289.72,86.0
1992-12-01,4,Calgary,0140,7000.0,,,6316,1.11,0.0,0.18,789289.72,88.69
1993-01-01,1,Calgary,0140,5016.0,,,4196,1.2,0.0,0.36,803617.45,62.42
1993-05-01,2,Calgary,0140,7320.0,,,6252,1.17,0.0,0.27,803617.45,91.09
1993-07-01,3,Calgary,0140,6732.0,,,5448,1.24,0.0,0.31,803617.45,83.77
1993-10-01,4,Calgary,0140,7448.0,,,6408,1.16,0.0,0.27,803617.45,92.68
1994-01-01,1,Calgary,0140,4924.0,,,4644,1.06,0.0,0.36,820531.9,60.01
1994-04-01,2,Calgary,0140,8132.0,,,7440,1.09,0.0,0.3,820531.9,99.11
1994-07-01,3,Calgary,0140,7840.0,,,5520,1.42,0.0,0.35,820531.9,95.55
1994-11-01,4,Calgary,0140,6612.0,,,4556,1.45,0.0,0.32,820531.9,80.58
1995-01-01,1,Calgary,0140,3812.0,,,3396,1.12,0.0,0.38,839716.2,45.4
1995-06-01,2,Calgary,0140,5736.0,,,4972,1.15,0.0,0.21,839716.2,68.31
1995-07-01,3,Calgary,0140,7024.0,,,5220,1.35,0.0,0.33,839716.2,83.65
1995-10-01,4,Calgary,0140,6168.0,,,4888,1.26,0.0,0.21,839716.2,73.45
1996-01-01,1,Calgary,0140,4468.0,,,3568,1.25,0.0,0.48,867371.68,51.51
1996-04-01,2,Calgary,0140,8012.0,,,7340,1.09,0.0,0.31,867371.68,92.37
1996-07-01,3,Calgary,0140,8416.0,,,7300,1.15,0.0,0.65,867371.68,97.03
1996-10-01,4,Calgary,0140,7548.0,,,6304,1.2,0.0,0.24,867371.68,87.02
1997-02-01,1,Calgary,0140,9836.0,,,7872,1.25,0.0,0.47,899742.31,109.32
1997-04-01,2,Calgary,0140,11528.0,,,9700,1.19,0.0,0.32,899742.31,128.13
1997-08-01,3,Calgary,0140,11048.0,,,9204,1.2,0.0,0.32,899742.31,122.79
1997-10-01,4,Calgary,0140,12448.0,,,9848,1.26,0.0,0.18,899742.31,138.35
1998-02-01,1,Calgary,0140,11484.0,,,8816,1.3,0.0,0.37,925463.09,124.09
1998-05-01,2,Calgary,0140,14088.0,,,11808,1.19,0.0,0.26,925463.09,152.23
1998-07-01,3,Calgary,0140,12508.0,,,10260,1.22,0.0,0.34,925463.09,135.15
1998-10-01,4,Calgary,0140,11900.0,,,8092,1.47,0.01,0.25,925463.09,128.58
1999-02-01,1,Calgary,0140,9364.0,,,5336,1.75,0.01,0.33,949842.56,98.58
1999-04-01,2,Calgary,0140,10864.0,,,8032,1.35,0.0,0.3,949842.56,114.38
1999-07-01,3,Calgary,0140,11292.0,,,7960,1.42,0.01,0.33,949842.56,118.88
1999-10-01,4,Calgary,0140,10880.0,,,7108,1.53,0.0,0.23,949842.56,114.55
2000-01-01,1,Calgary,0140,9060.0,,,6124,1.48,0.0,0.29,974556.1,92.97
2000-04-01,2,Calgary,0140,12128.0,,,8296,1.46,0.0,0.32,974556.1,124.45
2000-07-01,3,Calgary,0140,11284.0,,,7776,1.45,0.01,0.32,974556.1,115.79
2000-10-01,4,Calgary,0140,11900.0,,,6952,1.71,0.02,0.31,974556.1,122.11
2001-02-01,1,Calgary,0140,8200.0,,,5940,1.38,0.0,0.43,1004815.47,81.61
2001-04-01,2,Calgary,0140,12596.0,,,9076,1.39,0.0,0.33,1004815.47,125.36
2001-07-01,3,Calgary,0140,12096.0,,,9612,1.26,0.0,0.32,1004815.47,120.38
2001-10-01,4,Calgary,0140,12504.0,,,7932,1.58,0.0,0.19,1004815.47,124.44
2002-03-01,1,Calgary,0140,11248.0,,,7680,1.46,0.0,0.25,1026949.07,109.53
2002-04-01,2,Calgary,0140,16248.0,,,11872,1.37,0.0,0.33,1026949.07,158.22
