reference_period,ref_qq,metro,metcode,dweltype,mkttycd,total_starts,starts_accsuite,starts_no_accsuite,num_structures,unitsperstructure,avgstorycount,avgpermit_to_start_time,bachelor_units,one_bedrooms,two_bedrooms,three_bedrooms,four_bedrooms,tot_units,total_avg_unitsize_sqm,total_avg_unitsize_sqft,total_avg_price,total_min_price,total_max_price,population,starts_per_10kpop
1988-06-01,2,Calgary,0140,1.0,1.0,1324.0,,,1324,1.0,0.0,0.0,,,,,,,,,,,,724449.87,18.28
1988-06-01,2,Calgary,0140,5.0,1.0,44.0,,,12,3.67,0.0,0.0,,,,,,,,,,,,724449.87,0.61
1988-06-01,2,Calgary,0140,1.0,0.0,4.0,,,4,1.0,0.0,0.0,,,,,,,,,,,,724449.87,0.06
1988-08-01,3,Calgary,0140,2.0,1.0,624.0,,,312,2.0,0.0,0.01,,,,,,,,,,,,724449.87,8.61
1988-07-01,3,Calgary,0140,1.0,1.0,3680.0,,,3680,1.0,0.0,0.24,,,,,,,,,,,,724449.87,50.8
1988-12-01,4,Calgary,0140,5.0,1.0,16.0,,,4,4.0,0.0,5.0,,,,,,,,,,,,724449.87,0.22
1988-11-01,4,Calgary,0140,2.0,2.0,8.0,,,4,2.0,0.0,1.0,,,,,,,,,,,,724449.87,0.11
1988-11-01,4,Calgary,0140,4.0,2.0,304.0,,,12,25.33,0.0,1.0,,,,,,,,,,,,724449.87,4.2
1988-12-01,4,Calgary,0140,4.0,1.0,84.0,,,12,7.0,0.0,2.67,,,,,,,,,,,,724449.87,1.16
1988-10-01,4,Calgary,0140,1.0,1.0,3536.0,,,3536,1.0,0.0,0.41,,,,,,,,,,,,724449.87,48.81
1988-10-01,4,Calgary,0140,2.0,1.0,624.0,,,312,2.0,0.0,0.1,,,,,,,,,,,,724449.87,8.61
1989-02-01,1,Calgary,0140,4.0,2.0,592.0,,,148,4.0,0.0,1.0,,,,,,,,,,,,747414.6,7.92
