"ref_yy","metcode","metro","total_structures","share_three_or_fewer_stories","share_four_to_six_stories","share_seven_to_twenty_stories","share_twentyone_to_thirty_stories","share_greater_than_thirty_stories","avg_number_of_stories"
"1994","1060","MONTRÉAL",156,98.076923076923,1.923076923077,0,0,0,1.16666666666667
"2014","2270","TORONTO",54,57.407407407407,7.407407407407,20.37037037037,1.851851851852,12.962962962963,8.44444444444444
"2022","0140","CALGARY",66,50,45.454545454545,4.545454545455,0,0,3.77272727272727
"1988","1060",NA,58,100,0,0,0,0,0
"2010","0140","CALGARY",7,100,0,0,0,0,0
"2004","0340","EDMONTON",28,89.285714285714,3.571428571429,7.142857142857,0,0,1.28571428571429
"2014","1060","MONTRÉAL",302,88.41059602649,7.615894039735,2.980132450331,0,0.993377483444,2.67549668874172
"2004","1060","MONTRÉAL",404,99.50495049505,0.247524752475,0.247524752475,0,0,0.0866336633663366
"2017","1265","OTTAWA",35,82.857142857143,5.714285714286,8.571428571429,0,2.857142857143,5.34285714285714
"2014","0140","CALGARY",75,68,20,6.666666666667,2.666666666667,2.666666666667,3.37333333333333
"2020","2410","VANCOUVER",80,11.25,62.5,15,6.25,5,9.0375
"1997","2410","VANCOUVER",78,39.74358974359,43.589743589744,10.25641025641,6.410256410256,0,5.24358974358974
"2001","0140","CALGARY",18,88.888888888889,11.111111111111,0,0,0,0.444444444444444
"2006","2270","TORONTO",99,78.787878787879,2.020202020202,13.131313131313,4.040404040404,2.020202020202,3.7979797979798
"2019","1265","OTTAWA",15,46.666666666667,33.333333333333,13.333333333333,6.666666666667,0,6.26666666666667
"2008","1265","OTTAWA",34,100,0,0,0,0,0
"2018","1060","MONTRÉAL",354,78.813559322034,12.429378531073,7.627118644068,0.847457627119,0.282485875706,3.78813559322034
"1989","1060",NA,371,98.921832884097,1.078167115903,0,0,0,0.221024258760108
"1997","0340","EDMONTON",7,100,0,0,0,0,0
"2002","1060","MONTRÉAL",267,92.883895131086,5.61797752809,1.498127340824,0,0,0.764044943820225
"2013","2410","VANCOUVER",65,24.615384615385,49.230769230769,18.461538461538,1.538461538462,6.153846153846,7.66153846153846
"2018","2410","VANCOUVER",102,13.725490196078,53.921568627451,23.529411764706,5.882352941176,2.941176470588,8.41176470588235
"1991","1265",NA,10,100,0,0,0,0,0
"2011","1060","MONTRÉAL",390,94.102564102564,4.358974358974,1.538461538462,0,0,1.20769230769231
"2014","1265","OTTAWA",22,59.090909090909,22.727272727273,13.636363636364,4.545454545455,0,5.63636363636364
"1991","0140","CALGARY",5,100,0,0,0,0,0
"2016","1265","OTTAWA",14,50,28.571428571429,14.285714285714,7.142857142857,0,5.21428571428571
"2020","2270","TORONTO",68,4.411764705882,36.764705882353,30.882352941176,13.235294117647,14.705882352941,14.7058823529412
"2002","2410","VANCOUVER",37,35.135135135135,35.135135135135,13.513513513514,13.513513513514,2.702702702703,9.21621621621622
"2021","0140","CALGARY",48,52.083333333333,45.833333333333,2.083333333333,0,0,3.625
"2018","2270","TORONTO",87,31.034482758621,14.942528735632,26.436781609195,11.494252873563,16.091954022989,14.1264367816092
"1994","2410","VANCOUVER",108,43.518518518519,44.444444444444,8.333333333333,3.703703703704,0,4.59259259259259
"1993","1265",NA,7,100,0,0,0,0,0
"1988","2410","VANCOUVER",17,100,0,0,0,0,0
"2016","0140","CALGARY",35,48.571428571429,45.714285714286,5.714285714286,0,0,3.77142857142857
"1995","1060","MONTRÉAL",109,98.165137614679,0.917431192661,0.917431192661,0,0,0.990825688073395
"1996","1060","MONTRÉAL",106,100,0,0,0,0,0.207547169811321
"2008","1060","MONTRÉAL",366,100,0,0,0,0,0.0983606557377049
"2020","1060","MONTRÉAL",223,68.609865470852,17.488789237668,10.762331838565,1.345291479821,1.793721973094,4.87892376681614
"1999","0340","EDMONTON",12,100,0,0,0,0,0
