"ref_yy","metcode","metro","unitsperstory","unitsperstory1620","unitsperstory1115"
"1994","1060","MONTRÉAL",75,0,0
"2014","2270","TORONTO",19.4340044742729,0,19.4340044742729
"2022","0140","CALGARY",17.1075949367089,0,0
"1988","1060",NA,NA,NA,NA
"2010","0140","CALGARY",NA,NA,NA
"2004","0340","EDMONTON",38.9375,0,0
"2014","1060","MONTRÉAL",12.7089337175793,0,12.7089337175793
"2004","1060","MONTRÉAL",193.615384615385,0,0
"2017","1265","OTTAWA",9.10619469026549,9.10619469026549,0
"2014","0140","CALGARY",15.3386454183267,0,15.3386454183267
"2020","2410","VANCOUVER",9.27625201938611,9.27625201938611,0
"1997","2410","VANCOUVER",9.8695652173913,0,0
"2001","0140","CALGARY",114.875,0,0
"2006","2270","TORONTO",21.528901734104,0,0
"2019","1265","OTTAWA",12.8695652173913,12.8695652173913,0
"2008","1265","OTTAWA",NA,NA,NA
"2018","1060","MONTRÉAL",11.2277070063694,11.2277070063694,0
"1989","1060",NA,632.333333333333,0,0
"1997","0340","EDMONTON",NA,NA,NA
"2002","1060","MONTRÉAL",31.2692307692308,0,0
"2013","2410","VANCOUVER",10.5795206971678,0,10.5795206971678
"2018","2410","VANCOUVER",9.84798994974874,9.84798994974874,0
"1991","1265",NA,NA,NA,NA
"2011","1060","MONTRÉAL",29.2113821138211,0,29.2113821138211
"2014","1265","OTTAWA",9.89873417721519,0,9.89873417721519
"1991","0140","CALGARY",NA,NA,NA
"2016","1265","OTTAWA",6.94230769230769,6.94230769230769,0
"2020","2270","TORONTO",13.6773195876289,13.6773195876289,0
"2002","2410","VANCOUVER",6.88524590163934,0,0
"2021","0140","CALGARY",22.4579439252336,0,0
"2018","2270","TORONTO",12.6986417657046,12.6986417657046,0
"1994","2410","VANCOUVER",10.6496519721578,0,0
"1993","1265",NA,NA,NA,NA
"1988","2410","VANCOUVER",NA,NA,NA
"2016","0140","CALGARY",15.0352941176471,15.0352941176471,0
"1995","1060","MONTRÉAL",33.7142857142857,0,0
"1996","1060","MONTRÉAL",NA,NA,NA
"2008","1060","MONTRÉAL",635,0,0
"2020","1060","MONTRÉAL",11.5295857988166,11.5295857988166,0
"1999","0340","EDMONTON",NA,NA,NA
"2005","1060","MONTRÉAL",91.4473684210526,0,0
"2007","2270","TORONTO",51.25,0,0
"1990","1265",NA,212,0,0
"1998","1265",NA,NA,NA,NA
"1995","1265",NA,31.25,0,0
"2007","2410","VANCOUVER",10.0485981308411,0,0
"2017","0340","EDMONTON",12.4900662251656,12.4900662251656,0
"1990","2270","TORONTO",23.8870967741935,0,0
"1999","1265",NA,NA,NA,NA
"2021","2410","VANCOUVER",9.84876260311641,0,0
"1991","2410","VANCOUVER",58.3055555555556,0,0
"2003","2270","TORONTO",25.382252559727,0,0
"2005","0340","EDMONTON",NA,NA,NA
"1997","2270",NA,43.3055555555556,0,0
"1994","1265",NA,12,0,0
"2010","2410","VANCOUVER",16.2576687116564,0,0
"2013","1265","OTTAWA",13.0361445783133,0,13.0361445783133
"2010","0340","EDMONTON",118.5,0,0
"2013","1060","MONTRÉAL",12.2429906542056,0,12.2429906542056
"1991","2270",NA,27.3555555555556,0,0
"2007","1060","MONTRÉAL",121.681818181818,0,0
"2011","1265","OTTAWA",NA,NA,NA
"2019","0340","EDMONTON",14.4123711340206,14.4123711340206,0
"2017","0140","CALGARY",12.6583850931677,12.6583850931677,0
"2017","1060","MONTRÉAL",11.0775681341719,11.0775681341719,0
"1988","0140","CALGARY",NA,NA,NA
"2006","1265","OTTAWA",24.4444444444444,0,0
"1989","0340","EDMONTON",NA,NA,NA
"1990","2410","VANCOUVER",26.8176470588235,0,0
"1998","0140","CALGARY",NA,NA,NA
"2003","2410","VANCOUVER",9.28636363636364,0,0
"2000","2270","TORONTO",21.7062146892655,0,0
"2019","2410","VANCOUVER",9.06482213438735,9.06482213438735,0
"2015","1060","MONTRÉAL",11.5627376425856,0,11.5627376425856
"1992","2270","TORONTO",23.3571428571429,0,0
"2012","0340","EDMONTON",43.5,0,43.5
"2022","2410","VANCOUVER",8.29577464788732,0,0
"1997","1060","MONTRÉAL",NA,NA,NA
