reference_period,metro,metcode,stcan_cmacode,censustr,underconstr,num_structures,unitsperstructure,avgstorycount,underconstr_per_10kpop
1988,Calgary,0140,825,0000.00,1681.0,1466,1.15,0.0,23.2
1989,Calgary,0140,825,0000.00,1804.0,1657,1.09,0.0,24.14
1989,Calgary,0140,825,0052.04,2.0,2,1.0,0.0,0.03
1989,Calgary,0140,825,0021.00,2.0,2,1.0,0.0,0.03
1989,Calgary,0140,825,0063.00,2.0,2,1.0,0.0,0.03
1989,Calgary,0140,825,0070.00,44.0,1,44.0,0.0,0.59
1989,Calgary,0140,825,0001.12,72.0,72,1.0,0.0,0.96
1989,Calgary,0140,825,0001.13,10.0,9,1.11,0.0,0.13
1989,Calgary,0140,825,0001.07,46.0,28,1.64,0.0,0.62
1989,Calgary,0140,825,0038.17,1.0,1,1.0,0.0,0.01
1989,Calgary,0140,825,0017.02,18.0,18,1.0,0.0,0.24
1989,Calgary,0140,825,0047.00,1.0,1,1.0,0.0,0.01
1989,Calgary,0140,825,0049.02,23.0,19,1.21,0.0,0.31
1989,Calgary,0140,825,0077.06,27.0,27,1.0,0.0,0.36
1989,Calgary,0140,825,0001.01,30.0,1,30.0,0.0,0.4
1989,Calgary,0140,825,0001.11,50.0,50,1.0,0.0,0.67
1989,Calgary,0140,825,0007.03,1.0,1,1.0,0.0,0.01
1989,Calgary,0140,825,0027.00,3.0,1,3.0,0.0,0.04
1989,Calgary,0140,825,0038.01,5.0,5,1.0,0.0,0.07
1989,Calgary,0140,825,0072.00,2.0,2,1.0,0.0,0.03
1989,Calgary,0140,825,0007.02,66.0,15,4.4,0.0,0.88
1989,Calgary,0140,825,0026.00,6.0,1,6.0,0.0,0.08
1989,Calgary,0140,825,0077.05,71.0,71,1.0,0.0,0.95
1989,Calgary,0140,825,0038.19,64.0,64,1.0,0.0,0.86
1989,Calgary,0140,825,0038.09,7.0,7,1.0,0.0,0.09
1989,Calgary,0140,825,0064.00,1.0,1,1.0,0.0,0.01
1989,Calgary,0140,825,0002.02,16.0,16,1.0,0.0,0.21
1989,Calgary,0140,825,0077.03,253.0,22,11.5,0.0,3.39
1989,Calgary,0140,825,0020.00,1.0,1,1.0,0.0,0.01
1989,Calgary,0140,825,0045.00,44.0,8,5.5,0.0,0.59
1989,Calgary,0140,825,0052.02,1.0,1,1.0,0.0,0.01
1989,Calgary,0140,825,0056.00,2.0,2,1.0,0.0,0.03
1989,Calgary,0140,825,0002.01,78.0,78,1.0,0.0,1.04
1989,Calgary,0140,825,0076.08,14.0,14,1.0,0.0,0.19
1989,Calgary,0140,825,0076.07,2.0,2,1.0,0.0,0.03
1989,Calgary,0140,825,0062.00,6.0,1,6.0,0.0,0.08
1989,Calgary,0140,825,0052.03,2.0,2,1.0,0.0,0.03
1989,Calgary,0140,825,0019.00,1.0,1,1.0,0.0,0.01
1989,Calgary,0140,825,0030.00,5.0,2,2.5,0.0,0.07
1989,Calgary,0140,825,0052.01,14.0,14,1.0,0.0,0.19
1989,Calgary,0140,825,0007.04,2.0,2,1.0,0.0,0.03
1989,Calgary,0140,825,0022.00,57.0,16,3.56,0.0,0.76
1989,Calgary,0140,825,0001.09,2.0,2,1.0,0.0,0.03
1989,Calgary,0140,825,0076.04,8.0,8,1.0,0.0,0.11
1990,Calgary,0140,825,0077.03,2.0,1,2.0,0.0,0.03
1990,Calgary,0140,825,0049.00,69.0,19,3.63,0.0,0.9
1990,Calgary,0140,825,0017.02,84.0,14,6.0,0.0,1.1
1990,Calgary,0140,825,0001.12,1.0,1,1.0,0.0,0.01
1990,Calgary,0140,825,0002.01,1.0,1,1.0,0.0,0.01
1990,Calgary,0140,825,0077.06,1.0,1,1.0,0.0,0.01
1990,Calgary,0140,825,0029.00,12.0,6,2.0,0.0,0.16
1990,Calgary,0140,825,0011.00,30.0,1,30.0,0.0,0.39
1990,Calgary,0140,825,0001.01,21.0,3,7.0,0.0,0.27
1990,Calgary,0140,825,0000.00,2083.0,1255,1.66,0.01,27.25
1990,Calgary,0140,825,0002.00,41.0,9,4.56,0.0,0.54
1990,Calgary,0140,825,0014.00,2.0,1,2.0,0.0,0.03
1990,Calgary,0140,825,0054.00,4.0,1,4.0,0.0,0.05
1990,Calgary,0140,825,0070.00,2.0,1,2.0,0.0,0.03
1991,Calgary,0140,825,0070.00,2.0,1,2.0,0.0,0.03
1991,Calgary,0140,825,0019.00,10.0,2,5.0,0.0,0.13
1991,Calgary,0140,825,0045.00,16.0,1,16.0,0.0,0.21
1991,Calgary,0140,825,0058.00,4.0,1,4.0,0.0,0.05
1991,Calgary,0140,825,0062.00,5.0,1,5.0,0.0,0.06
1991,Calgary,0140,825,0001.01,15.0,2,7.5,0.0,0.19
1991,Calgary,0140,825,0001.12,1.0,1,1.0,0.0,0.01
1991,Calgary,0140,825,0021.00,4.0,1,4.0,0.0,0.05
1991,Calgary,0140,825,0026.00,4.0,1,4.0,0.0,0.05
1991,Calgary,0140,825,0017.02,78.0,13,6.0,0.0,1.0
1991,Calgary,0140,825,0002.00,5.0,1,5.0,0.0,0.06
1991,Calgary,0140,825,0077.03,2.0,1,2.0,0.0,0.03
1991,Calgary,0140,825,0049.00,52.0,15,3.47,0.0,0.67
1991,Calgary,0140,825,0077.06,1.0,1,1.0,0.0,0.01
1991,Calgary,0140,825,0057.00,28.0,1,28.0,0.0,0.36
1991,Calgary,0140,825,0000.00,1729.0,1394,1.24,0.0,22.19
1991,Calgary,0140,825,0066.02,65.0,1,65.0,0.0,0.83
1991,Calgary,0140,825,0002.01,1.0,1,1.0,0.0,0.01
1992,Calgary,0140,825,0077.03,10.0,3,3.33,0.0,0.13
1992,Calgary,0140,825,0049.00,2.0,1,2.0,0.0,0.03
1992,Calgary,0140,825,0001.01,15.0,2,7.5,0.0,0.19
1992,Calgary,0140,825,0007.01,2.0,1,2.0,0.0,0.03
1992,Calgary,0140,825,0017.02,78.0,13,6.0,0.0,0.99
1992,Calgary,0140,825,0045.00,3.0,1,3.0,0.0,0.04
1992,Calgary,0140,825,0077.06,1.0,1,1.0,0.0,0.01
1992,Calgary,0140,825,0000.00,2343.0,1866,1.26,0.0,29.68
1993,Calgary,0140,825,0034.00,10.0,3,3.33,0.0,0.12
1993,Calgary,0140,825,0076.07,30.0,8,3.75,0.0,0.37
1993,Calgary,0140,825,0044.00,10.0,1,10.0,0.0,0.12
1993,Calgary,0140,825,0038.11,16.0,7,2.29,0.0,0.2
1993,Calgary,0140,825,0049.00,43.0,12,3.58,0.0,0.54
1993,Calgary,0140,825,0015.00,21.0,6,3.5,0.0,0.26
1993,Calgary,0140,825,0013.00,28.0,7,4.0,0.0,0.35
1993,Calgary,0140,825,0022.00,17.0,2,8.5,0.0,0.21
1993,Calgary,0140,825,0002.00,28.0,6,4.67,0.0,0.35
1993,Calgary,0140,825,0007.01,2.0,1,2.0,0.0,0.02
1993,Calgary,0140,825,0045.00,5.0,1,5.0,0.0,0.06
1993,Calgary,0140,825,0056.00,4.0,1,4.0,0.0,0.05
1993,Calgary,0140,825,0008.00,27.0,4,6.75,0.0,0.34
1993,Calgary,0140,825,0077.03,49.0,14,3.5,0.0,0.61
1993,Calgary,0140,825,0027.00,5.0,1,5.0,0.0,0.06
1993,Calgary,0140,825,0026.00,5.0,1,5.0,0.0,0.06
1993,Calgary,0140,825,0001.01,15.0,2,7.5,0.0,0.19
1993,Calgary,0140,825,0017.02,51.0,7,7.29,0.0,0.63
1993,Calgary,0140,825,0046.00,9.0,1,9.0,0.0,0.11
1993,Calgary,0140,825,0038.08,5.0,1,5.0,0.0,0.06
1993,Calgary,0140,825,0007.04,58.0,1,58.0,0.0,0.72
1993,Calgary,0140,825,0000.00,2197.0,1880,1.17,0.0,27.34
1994,Calgary,0140,825,0038.08,5.0,1,5.0,0.0,0.06
1994,Calgary,0140,825,0024.00,8.0,1,8.0,0.0,0.1
1994,Calgary,0140,825,0049.00,3.0,1,3.0,0.0,0.04
1994,Calgary,0140,825,0038.11,9.0,4,2.25,0.0,0.11
1994,Calgary,0140,825,0017.02,12.0,2,6.0,0.0,0.15
1994,Calgary,0140,825,0077.03,7.0,2,3.5,0.0,0.09
1994,Calgary,0140,825,0076.08,6.0,1,6.0,0.0,0.07
1994,Calgary,0140,825,0026.00,5.0,1,5.0,0.0,0.06
1994,Calgary,0140,825,0076.07,11.0,3,3.67,0.0,0.13
1994,Calgary,0140,825,0000.00,2733.0,1587,1.72,0.0,33.31
1994,Calgary,0140,825,0008.00,25.0,4,6.25,0.0,0.3
1994,Calgary,0140,825,0027.00,5.0,1,5.0,0.0,0.06
1994,Calgary,0140,825,0046.00,9.0,1,9.0,0.0,0.11
1995,Calgary,0140,825,0008.00,8.0,1,8.0,0.0,0.1
1995,Calgary,0140,825,0000.00,2828.0,1724,1.64,0.0,33.68
1995,Calgary,0140,825,0038.11,7.0,3,2.33,0.0,0.08
1995,Calgary,0140,825,0001.08,5.0,1,5.0,0.0,0.06
1995,Calgary,0140,825,0076.07,7.0,2,3.5,0.0,0.08
1996,Calgary,0140,825,0007.01,5.0,1,5.0,0.0,0.06
1996,Calgary,0140,825,0076.07,21.0,6,3.5,0.0,0.24
1996,Calgary,0140,825,0038.19,3.0,1,3.0,0.0,0.03
1996,Calgary,0140,825,0000.00,3152.0,2214,1.42,0.0,36.34
1997,Calgary,0140,825,0000.00,5182.0,3400,1.52,0.0,57.59
1997,Calgary,0140,825,0039.00,26.0,5,5.2,0.0,0.29
1997,Calgary,0140,825,0049.00,4.0,1,4.0,0.0,0.04
1998,Calgary,0140,825,0077.03,6.0,1,6.0,0.0,0.06
1998,Calgary,0140,825,0000.00,5576.0,3172,1.76,0.03,60.25
1998,Calgary,0140,825,0049.00,3.0,1,3.0,0.0,0.03
1998,Calgary,0140,825,0062.00,4.0,1,4.0,0.0,0.04
