reference_period,ref_qq,metro,metcode,FSA,dweltype,mkttycd,underconstr,num_structures,unitsperstructure,avgstorycount
1988-12-01,4,Calgary,0140,nan,2.0,2.0,2.0,1,2.0,0.0
1988-12-01,4,Calgary,0140,,5.0,1.0,3.0,1,3.0,0.0
1988-12-01,4,Calgary,0140,nan,5.0,1.0,8.0,2,4.0,0.0
1988-12-01,4,Calgary,0140,nan,4.0,1.0,21.0,3,7.0,0.0
1988-12-01,4,Calgary,0140,,1.0,1.0,22.0,22,1.0,0.0
1988-12-01,4,Calgary,0140,nan,4.0,2.0,76.0,3,25.33,0.0
1988-12-01,4,Calgary,0140,,2.0,1.0,4.0,2,2.0,0.0
1988-12-01,4,Calgary,0140,nan,1.0,1.0,1319.0,1319,1.0,0.0
1988-12-01,4,Calgary,0140,nan,2.0,1.0,226.0,113,2.0,0.0
1989-12-01,4,Calgary,0140,,2.0,1.0,2.0,1,2.0,0.0
1989-12-01,4,Calgary,0140,nan,5.0,0.0,30.0,1,30.0,0.0
1989-12-01,4,Calgary,0140,nan,2.0,0.0,24.0,12,2.0,0.0
1989-12-01,4,Calgary,0140,,1.0,1.0,15.0,15,1.0,0.0
1989-12-01,4,Calgary,0140,nan,4.0,0.0,47.0,2,23.5,0.0
1989-12-01,4,Calgary,0140,,1.0,0.0,1.0,1,1.0,0.0
1989-12-01,4,Calgary,0140,nan,5.0,1.0,13.0,4,3.25,0.0
1989-12-01,4,Calgary,0140,,5.0,2.0,144.0,12,12.0,0.0
1989-12-01,4,Calgary,0140,nan,4.0,3.0,42.0,7,6.0,0.0
1989-12-01,4,Calgary,0140,nan,5.0,3.0,4.0,1,4.0,0.0
1989-12-01,4,Calgary,0140,nan,2.0,1.0,246.0,123,2.0,0.0
1989-12-01,4,Calgary,0140,nan,2.0,2.0,20.0,10,2.0,0.0
1989-12-01,4,Calgary,0140,nan,4.0,2.0,12.0,3,4.0,0.0
1989-12-01,4,Calgary,0140,nan,1.0,0.0,238.0,238,1.0,0.0
1989-12-01,4,Calgary,0140,nan,1.0,2.0,6.0,6,1.0,0.0
1989-12-01,4,Calgary,0140,nan,4.0,1.0,139.0,31,4.48,0.0
1989-12-01,4,Calgary,0140,nan,5.0,2.0,110.0,10,11.0,0.0
1989-12-01,4,Calgary,0140,nan,1.0,1.0,1773.0,1773,1.0,0.0
1990-12-01,4,Calgary,0140,,2.0,1.0,2.0,1,2.0,0.0
1990-12-01,4,Calgary,0140,,2.0,3.0,44.0,22,2.0,0.0
1990-12-01,4,Calgary,0140,nan,1.0,0.0,42.0,42,1.0,0.0
1990-12-01,4,Calgary,0140,nan,1.0,1.0,1094.0,1094,1.0,0.0
1990-12-01,4,Calgary,0140,nan,4.0,0.0,66.0,1,66.0,0.0
