reference_period,metro,metcode,underconstr,num_structures,unitsperstructure,avgstorycount,underconstr_per_10kpop
1988,Calgary,0140,1681.0,1466,1.15,0.0,23.2
1989,Calgary,0140,2866.0,2250,1.27,0.0,38.35
1990,Calgary,0140,2353.0,1314,1.79,0.01,30.78
1991,Calgary,0140,2022.0,1439,1.41,0.0,25.96
1992,Calgary,0140,2454.0,1888,1.3,0.0,31.09
1993,Calgary,0140,2635.0,1967,1.34,0.0,32.79
1994,Calgary,0140,2838.0,1609,1.76,0.0,34.59
1995,Calgary,0140,2855.0,1731,1.65,0.0,34.0
1996,Calgary,0140,3181.0,2222,1.43,0.0,36.67
1997,Calgary,0140,5212.0,3406,1.53,0.0,57.93
1998,Calgary,0140,5589.0,3175,1.76,0.03,60.39
1999,Calgary,0140,6543.0,2713,2.41,0.04,68.89
2000,Calgary,0140,6888.0,2689,2.56,0.05,70.68
2001,Calgary,0140,7164.0,3437,2.08,0.02,71.3
2002,Calgary,0140,8661.0,4474,1.94,0.0,84.34
2003,Calgary,0140,8165.0,4035,2.02,0.0,77.8
2004,Calgary,0140,9182.0,3984,2.3,0.0,84.72
2005,Calgary,0140,10027.0,4801,2.09,0.0,89.47
2006,Calgary,0140,14324.0,7254,1.97,0.03,124.38
2007,Calgary,0140,14720.0,5959,2.47,0.03,124.39
2008,Calgary,0140,11216.0,3139,3.57,0.11,92.1
2009,Calgary,0140,9190.0,3411,2.69,0.1,74.25
2010,Calgary,0140,7199.0,2932,2.46,0.08,57.14
2011,Calgary,0140,8691.0,3240,2.68,0.07,67.11
2012,Calgary,0140,10916.0,4011,2.72,0.08,81.5
2013,Calgary,0140,11866.0,4440,2.67,0.08,85.8
2014,Calgary,0140,15335.0,4736,3.24,0.17,108.69
2015,Calgary,0140,13773.0,3159,4.36,0.27,95.94
2016,Calgary,0140,9761.0,2806,3.48,0.21,67.07
2017,Calgary,0140,10298.0,3302,3.12,0.16,69.59
2018,Calgary,0140,11452.0,2933,3.9,0.21,75.8
2019,Calgary,0140,11587.0,3006,3.85,0.21,75.21
2020,Calgary,0140,10177.0,2596,3.92,0.24,65.49
2021,Calgary,0140,14438.0,4206,3.43,0.17,90.3
2022,Calgary,0140,18594.0,5671,3.28,0.15,111.04
2023,Calgary,0140,23473.0,6318,3.72,0.19,133.85
