reference_period,ref_qq,metro,metcode,underconstr,num_structures,unitsperstructure,avgstorycount,underconstr_per_10kpop
1988-06-01,2,Calgary,0140,1602.0,1486,1.08,0.0,22.41
1988-09-01,3,Calgary,0140,1700.0,1544,1.1,0.0,23.62
1988-12-01,4,Calgary,0140,1681.0,1466,1.15,0.0,23.2
1989-03-01,1,Calgary,0140,1992.0,1634,1.22,0.0,27.3
1989-06-01,2,Calgary,0140,2179.0,1840,1.18,0.0,29.65
1989-09-01,3,Calgary,0140,2321.0,1944,1.19,0.0,31.27
1989-12-01,4,Calgary,0140,2866.0,2250,1.27,0.0,38.35
1990-03-01,1,Calgary,0140,3417.0,2809,1.22,0.0,45.42
1990-06-01,2,Calgary,0140,3206.0,2600,1.23,0.0,42.36
1990-09-01,3,Calgary,0140,2488.0,1661,1.5,0.01,32.72
1990-12-01,4,Calgary,0140,2353.0,1314,1.79,0.01,30.78
1991-03-01,1,Calgary,0140,2054.0,1056,1.95,0.0,26.74
1991-06-01,2,Calgary,0140,2293.0,1416,1.62,0.0,29.7
1991-09-01,3,Calgary,0140,2083.0,1367,1.52,0.0,26.85
1991-12-01,4,Calgary,0140,2022.0,1439,1.41,0.0,25.96
1992-03-01,1,Calgary,0140,2071.0,1590,1.3,0.0,26.48
1992-06-01,2,Calgary,0140,2665.0,2152,1.24,0.0,33.95
1992-09-01,3,Calgary,0140,2350.0,1767,1.33,0.0,29.88
1992-12-01,4,Calgary,0140,2454.0,1888,1.3,0.0,31.09
1993-03-01,1,Calgary,0140,2494.0,1853,1.35,0.0,31.47
1993-06-01,2,Calgary,0140,2674.0,1962,1.36,0.0,33.6
1993-09-01,3,Calgary,0140,2657.0,1836,1.45,0.0,33.22
1993-12-01,4,Calgary,0140,2635.0,1967,1.34,0.0,32.79
1994-03-01,1,Calgary,0140,2578.0,2024,1.27,0.0,31.92
1994-06-01,2,Calgary,0140,2704.0,2217,1.22,0.0,33.31
1994-09-01,3,Calgary,0140,2588.0,1701,1.52,0.0,31.71
1994-12-01,4,Calgary,0140,2838.0,1609,1.76,0.0,34.59
1995-03-01,1,Calgary,0140,2703.0,1594,1.7,0.0,32.76
1995-06-01,2,Calgary,0140,2825.0,1744,1.62,0.0,34.03
1995-09-01,3,Calgary,0140,3033.0,1676,1.81,0.0,36.36
1995-12-01,4,Calgary,0140,2855.0,1731,1.65,0.0,34.0
1996-03-01,1,Calgary,0140,2918.0,1642,1.78,0.0,34.5
1996-06-01,2,Calgary,0140,3318.0,2190,1.52,0.0,38.93
1996-09-01,3,Calgary,0140,3280.0,2229,1.47,0.0,38.14
1996-12-01,4,Calgary,0140,3181.0,2222,1.43,0.0,36.67
1997-03-01,1,Calgary,0140,4071.0,2916,1.4,0.0,46.53
1997-06-01,2,Calgary,0140,4808.0,3416,1.41,0.0,54.47
1997-09-01,3,Calgary,0140,4690.0,3157,1.49,0.0,52.57
1997-12-01,4,Calgary,0140,5212.0,3406,1.53,0.0,57.93
1998-03-01,1,Calgary,0140,5821.0,3727,1.56,0.0,64.19
1998-06-01,2,Calgary,0140,6249.0,4282,1.46,0.0,68.39
1998-09-01,3,Calgary,0140,5920.0,3825,1.55,0.0,64.41
1998-12-01,4,Calgary,0140,5589.0,3175,1.76,0.03,60.39
1999-03-01,1,Calgary,0140,5791.0,2635,2.2,0.05,62.16
1999-06-01,2,Calgary,0140,6308.0,2870,2.2,0.05,67.26
1999-09-01,3,Calgary,0140,6629.0,2870,2.31,0.05,70.25
1999-12-01,4,Calgary,0140,6543.0,2713,2.41,0.04,68.89
2000-03-01,1,Calgary,0140,6585.0,2759,2.39,0.02,68.88
2000-06-01,2,Calgary,0140,6520.0,2940,2.22,0.03,67.76
2000-09-01,3,Calgary,0140,6502.0,2749,2.37,0.05,67.17
2000-12-01,4,Calgary,0140,6888.0,2689,2.56,0.05,70.68
2001-03-01,1,Calgary,0140,6156.0,2628,2.34,0.04,62.73
2001-06-01,2,Calgary,0140,6488.0,3111,2.09,0.02,65.63
2001-09-01,3,Calgary,0140,6544.0,3429,1.91,0.02,65.58
2001-12-01,4,Calgary,0140,7164.0,3437,2.08,0.02,71.3
2002-03-01,1,Calgary,0140,7022.0,3492,2.01,0.01,69.44
2002-06-01,2,Calgary,0140,7983.0,4285,1.86,0.0,78.47
2002-09-01,3,Calgary,0140,8429.0,4486,1.88,0.0,82.53
2002-12-01,4,Calgary,0140,8661.0,4474,1.94,0.0,84.34
2003-03-01,1,Calgary,0140,9148.0,4439,2.06,0.0,88.59
2003-06-01,2,Calgary,0140,9395.0,4628,2.03,0.0,90.47
2003-09-01,3,Calgary,0140,8671.0,4335,2.0,0.0,83.14
2003-12-01,4,Calgary,0140,8165.0,4035,2.02,0.0,77.8
2004-03-01,1,Calgary,0140,8408.0,4085,2.06,0.0,79.56
2004-06-01,2,Calgary,0140,9229.0,4339,2.13,0.0,86.67
2004-09-01,3,Calgary,0140,9247.0,4174,2.22,0.0,86.02
2004-12-01,4,Calgary,0140,9182.0,3984,2.3,0.0,84.72
2005-03-01,1,Calgary,0140,9691.0,4254,2.28,0.0,88.69
2005-06-01,2,Calgary,0140,9580.0,4303,2.23,0.0,86.96
2005-09-01,3,Calgary,0140,9639.0,4514,2.14,0.0,86.69
2005-12-01,4,Calgary,0140,10027.0,4801,2.09,0.0,89.47
2006-03-01,1,Calgary,0140,11311.0,5486,2.06,0.0,100.18
2006-06-01,2,Calgary,0140,13371.0,6669,2.0,0.04,117.58
2006-09-01,3,Calgary,0140,14188.0,7155,1.98,0.05,124.04
2006-12-01,4,Calgary,0140,14324.0,7254,1.97,0.03,124.38
2007-03-01,1,Calgary,0140,14382.0,7006,2.05,0.03,124.04
2007-06-01,2,Calgary,0140,14392.0,6644,2.17,0.03,123.29
2007-09-01,3,Calgary,0140,15070.0,6663,2.26,0.03,128.22
2007-12-01,4,Calgary,0140,14720.0,5959,2.47,0.03,124.39
2008-03-01,1,Calgary,0140,15258.0,4651,3.28,0.05,128.06
2008-06-01,2,Calgary,0140,15120.0,4167,3.63,0.1,126.03
2008-09-01,3,Calgary,0140,13110.0,3597,3.64,0.11,108.32
2008-12-01,4,Calgary,0140,11216.0,3139,3.57,0.11,92.1
2009-03-01,1,Calgary,0140,9938.0,2590,3.84,0.13,81.16
2009-06-01,2,Calgary,0140,8925.0,2467,3.62,0.12,72.55
2009-09-01,3,Calgary,0140,8777.0,3035,2.89,0.1,71.21
2009-12-01,4,Calgary,0140,9190.0,3411,2.69,0.1,74.25
2010-03-01,1,Calgary,0140,8888.0,3866,2.3,0.07,71.5
2010-06-01,2,Calgary,0140,8792.0,4043,2.17,0.07,70.41
