reference_period,metro,metcode,dweltype,mkttycd,underconstr,num_structures,unitsperstructure,avgstorycount,underconstr_per_10kpop
1988,Calgary,0140,2.0,2.0,2.0,1,2.0,0.0,0.03
1988,Calgary,0140,4.0,1.0,21.0,3,7.0,0.0,0.29
1988,Calgary,0140,4.0,2.0,76.0,3,25.33,0.0,1.05
1988,Calgary,0140,5.0,1.0,11.0,3,3.67,0.0,0.15
1988,Calgary,0140,1.0,1.0,1341.0,1341,1.0,0.0,18.51
1988,Calgary,0140,2.0,1.0,230.0,115,2.0,0.0,3.17
1989,Calgary,0140,1.0,2.0,6.0,6,1.0,0.0,0.08
1989,Calgary,0140,2.0,0.0,24.0,12,2.0,0.0,0.32
1989,Calgary,0140,2.0,1.0,248.0,124,2.0,0.0,3.32
1989,Calgary,0140,5.0,1.0,13.0,4,3.25,0.0,0.17
1989,Calgary,0140,4.0,3.0,42.0,7,6.0,0.0,0.56
1989,Calgary,0140,4.0,0.0,47.0,2,23.5,0.0,0.63
1989,Calgary,0140,4.0,2.0,12.0,3,4.0,0.0,0.16
1989,Calgary,0140,5.0,0.0,30.0,1,30.0,0.0,0.4
1989,Calgary,0140,5.0,2.0,254.0,22,11.55,0.0,3.4
1989,Calgary,0140,1.0,1.0,1788.0,1788,1.0,0.0,23.92
1989,Calgary,0140,2.0,2.0,20.0,10,2.0,0.0,0.27
1989,Calgary,0140,4.0,1.0,139.0,31,4.48,0.0,1.86
1989,Calgary,0140,5.0,3.0,4.0,1,4.0,0.0,0.05
1989,Calgary,0140,1.0,0.0,239.0,239,1.0,0.0,3.2
1990,Calgary,0140,1.0,1.0,1110.0,1110,1.0,0.0,14.52
1990,Calgary,0140,2.0,1.0,20.0,10,2.0,0.0,0.26
1990,Calgary,0140,1.0,0.0,43.0,43,1.0,0.0,0.56
1990,Calgary,0140,2.0,0.0,20.0,10,2.0,0.0,0.26
1990,Calgary,0140,5.0,3.0,366.0,8,45.75,1.5,4.79
1990,Calgary,0140,5.0,2.0,90.0,6,15.0,0.33,1.18
1990,Calgary,0140,4.0,2.0,174.0,25,6.96,0.0,2.28
1990,Calgary,0140,2.0,2.0,16.0,8,2.0,0.0,0.21
1990,Calgary,0140,4.0,0.0,66.0,1,66.0,0.0,0.86
1990,Calgary,0140,2.0,3.0,68.0,34,2.0,0.0,0.89
1990,Calgary,0140,4.0,3.0,348.0,58,6.0,0.0,4.55
1990,Calgary,0140,5.0,0.0,32.0,1,32.0,0.0,0.42
