reference_period,ref_qq,metro,metcode,dweltype,mkttycd,underconstr,num_structures,unitsperstructure,avgstorycount,underconstr_per_10kpop
1988-06-01,2,Calgary,0140,2.0,1.0,98.0,49,2.0,0.0,1.37
1988-06-01,2,Calgary,0140,5.0,1.0,11.0,3,3.67,0.0,0.15
1988-06-01,2,Calgary,0140,1.0,1.0,1424.0,1424,1.0,0.0,19.92
1988-06-01,2,Calgary,0140,1.0,0.0,1.0,1,1.0,0.0,0.01
1988-06-01,2,Calgary,0140,4.0,1.0,64.0,8,8.0,0.0,0.9
1988-06-01,2,Calgary,0140,5.0,2.0,4.0,1,4.0,0.0,0.06
1988-09-01,3,Calgary,0140,5.0,1.0,11.0,3,3.67,0.0,0.15
1988-09-01,3,Calgary,0140,4.0,1.0,61.0,7,8.71,0.0,0.85
1988-09-01,3,Calgary,0140,1.0,1.0,1442.0,1442,1.0,0.0,20.04
1988-09-01,3,Calgary,0140,2.0,1.0,182.0,91,2.0,0.0,2.53
1988-09-01,3,Calgary,0140,5.0,2.0,4.0,1,4.0,0.0,0.06
1988-12-01,4,Calgary,0140,5.0,1.0,11.0,3,3.67,0.0,0.15
1988-12-01,4,Calgary,0140,4.0,2.0,76.0,3,25.33,0.0,1.05
1988-12-01,4,Calgary,0140,4.0,1.0,21.0,3,7.0,0.0,0.29
1988-12-01,4,Calgary,0140,2.0,2.0,2.0,1,2.0,0.0,0.03
1988-12-01,4,Calgary,0140,2.0,1.0,230.0,115,2.0,0.0,3.17
1988-12-01,4,Calgary,0140,1.0,1.0,1341.0,1341,1.0,0.0,18.51
1989-03-01,1,Calgary,0140,2.0,2.0,8.0,4,2.0,0.0,0.11
1989-03-01,1,Calgary,0140,5.0,1.0,7.0,2,3.5,0.0,0.1
1989-03-01,1,Calgary,0140,4.0,2.0,224.0,40,5.6,0.0,3.07
1989-03-01,1,Calgary,0140,1.0,1.0,1438.0,1438,1.0,0.0,19.71
1989-03-01,1,Calgary,0140,2.0,1.0,294.0,147,2.0,0.0,4.03
1989-03-01,1,Calgary,0140,4.0,1.0,21.0,3,7.0,0.0,0.29
1989-06-01,2,Calgary,0140,1.0,1.0,1450.0,1450,1.0,0.0,19.73
1989-06-01,2,Calgary,0140,2.0,2.0,8.0,4,2.0,0.0,0.11
1989-06-01,2,Calgary,0140,5.0,1.0,7.0,2,3.5,0.0,0.1
1989-06-01,2,Calgary,0140,1.0,2.0,3.0,3,1.0,0.0,0.04
1989-06-01,2,Calgary,0140,4.0,1.0,21.0,3,7.0,0.0,0.29
1989-06-01,2,Calgary,0140,2.0,1.0,228.0,114,2.0,0.0,3.1
1989-06-01,2,Calgary,0140,1.0,0.0,210.0,210,1.0,0.0,2.86
1989-06-01,2,Calgary,0140,2.0,0.0,28.0,14,2.0,0.0,0.38
1989-06-01,2,Calgary,0140,4.0,2.0,224.0,40,5.6,0.0,3.05
1989-09-01,3,Calgary,0140,2.0,2.0,2.0,1,2.0,0.0,0.03
1989-09-01,3,Calgary,0140,4.0,0.0,53.0,3,17.67,0.0,0.71
1989-09-01,3,Calgary,0140,2.0,1.0,236.0,118,2.0,0.0,3.18
1989-09-01,3,Calgary,0140,2.0,0.0,38.0,19,2.0,0.0,0.51
1989-09-01,3,Calgary,0140,4.0,1.0,152.0,37,4.11,0.0,2.05
1989-09-01,3,Calgary,0140,1.0,1.0,1360.0,1360,1.0,0.0,18.33
1989-09-01,3,Calgary,0140,1.0,0.0,378.0,378,1.0,0.0,5.09
1989-09-01,3,Calgary,0140,5.0,0.0,39.0,4,9.75,0.0,0.53
1989-09-01,3,Calgary,0140,5.0,2.0,6.0,2,3.0,0.0,0.08
1989-09-01,3,Calgary,0140,4.0,3.0,42.0,7,6.0,0.0,0.57
1989-09-01,3,Calgary,0140,1.0,2.0,15.0,15,1.0,0.0,0.2
1989-12-01,4,Calgary,0140,1.0,1.0,1788.0,1788,1.0,0.0,23.92
1989-12-01,4,Calgary,0140,1.0,0.0,239.0,239,1.0,0.0,3.2
1989-12-01,4,Calgary,0140,2.0,0.0,24.0,12,2.0,0.0,0.32
1989-12-01,4,Calgary,0140,1.0,2.0,6.0,6,1.0,0.0,0.08
1989-12-01,4,Calgary,0140,4.0,0.0,47.0,2,23.5,0.0,0.63
1989-12-01,4,Calgary,0140,5.0,3.0,4.0,1,4.0,0.0,0.05
1989-12-01,4,Calgary,0140,5.0,1.0,13.0,4,3.25,0.0,0.17
1989-12-01,4,Calgary,0140,2.0,1.0,248.0,124,2.0,0.0,3.32
1989-12-01,4,Calgary,0140,2.0,2.0,20.0,10,2.0,0.0,0.27
1989-12-01,4,Calgary,0140,5.0,0.0,30.0,1,30.0,0.0,0.4
1989-12-01,4,Calgary,0140,4.0,2.0,12.0,3,4.0,0.0,0.16
1989-12-01,4,Calgary,0140,5.0,2.0,254.0,22,11.55,0.0,3.4
1989-12-01,4,Calgary,0140,4.0,1.0,139.0,31,4.48,0.0,1.86
1989-12-01,4,Calgary,0140,4.0,3.0,42.0,7,6.0,0.0,0.56
1990-03-01,1,Calgary,0140,4.0,3.0,108.0,27,4.0,0.0,1.44
1990-03-01,1,Calgary,0140,5.0,2.0,255.0,22,11.59,0.0,3.39
1990-03-01,1,Calgary,0140,2.0,2.0,20.0,10,2.0,0.0,0.27
1990-03-01,1,Calgary,0140,4.0,1.0,57.0,15,3.8,0.0,0.76
1990-03-01,1,Calgary,0140,2.0,1.0,240.0,120,2.0,0.0,3.19
1990-03-01,1,Calgary,0140,4.0,2.0,12.0,3,4.0,0.0,0.16
1990-03-01,1,Calgary,0140,5.0,1.0,12.0,3,4.0,0.0,0.16
1990-03-01,1,Calgary,0140,1.0,1.0,2346.0,2346,1.0,0.0,31.18
1990-03-01,1,Calgary,0140,1.0,0.0,180.0,180,1.0,0.0,2.39
1990-03-01,1,Calgary,0140,1.0,3.0,1.0,1,1.0,0.0,0.01
1990-03-01,1,Calgary,0140,2.0,0.0,22.0,11,2.0,0.0,0.29
1990-03-01,1,Calgary,0140,5.0,3.0,34.0,5,6.8,0.0,0.45
1990-03-01,1,Calgary,0140,2.0,3.0,128.0,64,2.0,0.0,1.7
1990-03-01,1,Calgary,0140,1.0,2.0,2.0,2,1.0,0.0,0.03
1990-06-01,2,Calgary,0140,2.0,0.0,18.0,9,2.0,0.0,0.24
1990-06-01,2,Calgary,0140,2.0,2.0,14.0,7,2.0,0.0,0.18
1990-06-01,2,Calgary,0140,4.0,3.0,226.0,51,4.43,0.0,2.99
1990-06-01,2,Calgary,0140,5.0,2.0,158.0,6,26.33,0.0,2.09
1990-06-01,2,Calgary,0140,1.0,1.0,2234.0,2234,1.0,0.0,29.52
1990-06-01,2,Calgary,0140,1.0,2.0,4.0,4,1.0,0.0,0.05
1990-06-01,2,Calgary,0140,5.0,3.0,134.0,7,19.14,1.57,1.77
1990-06-01,2,Calgary,0140,1.0,0.0,204.0,204,1.0,0.0,2.7
1990-06-01,2,Calgary,0140,2.0,1.0,30.0,15,2.0,0.0,0.4
1990-06-01,2,Calgary,0140,2.0,3.0,78.0,39,2.0,0.0,1.03
1990-06-01,2,Calgary,0140,4.0,2.0,105.0,23,4.57,0.0,1.39
1990-06-01,2,Calgary,0140,5.0,1.0,1.0,1,1.0,0.0,0.01
1990-09-01,3,Calgary,0140,5.0,3.0,366.0,8,45.75,1.5,4.81
1990-09-01,3,Calgary,0140,2.0,1.0,22.0,11,2.0,0.0,0.29
1990-09-01,3,Calgary,0140,5.0,2.0,88.0,5,17.6,0.4,1.16
1990-09-01,3,Calgary,0140,2.0,0.0,32.0,16,2.0,0.0,0.42
1990-09-01,3,Calgary,0140,2.0,2.0,10.0,5,2.0,0.0,0.13
1990-09-01,3,Calgary,0140,1.0,1.0,1447.0,1447,1.0,0.0,19.03
1990-09-01,3,Calgary,0140,4.0,3.0,286.0,57,5.02,0.0,3.76
1990-09-01,3,Calgary,0140,2.0,3.0,86.0,43,2.0,0.0,1.13
1990-09-01,3,Calgary,0140,4.0,2.0,105.0,23,4.57,0.0,1.38
1990-09-01,3,Calgary,0140,5.0,1.0,1.0,1,1.0,0.0,0.01
1990-09-01,3,Calgary,0140,1.0,0.0,45.0,45,1.0,0.0,0.59
1990-12-01,4,Calgary,0140,1.0,0.0,43.0,43,1.0,0.0,0.56
1990-12-01,4,Calgary,0140,4.0,3.0,348.0,58,6.0,0.0,4.55
1990-12-01,4,Calgary,0140,4.0,2.0,174.0,25,6.96,0.0,2.28
1990-12-01,4,Calgary,0140,5.0,0.0,32.0,1,32.0,0.0,0.42
1990-12-01,4,Calgary,0140,1.0,1.0,1110.0,1110,1.0,0.0,14.52
1990-12-01,4,Calgary,0140,5.0,3.0,366.0,8,45.75,1.5,4.79
1990-12-01,4,Calgary,0140,2.0,2.0,16.0,8,2.0,0.0,0.21
1990-12-01,4,Calgary,0140,2.0,1.0,20.0,10,2.0,0.0,0.26
1990-12-01,4,Calgary,0140,2.0,3.0,68.0,34,2.0,0.0,0.89
1990-12-01,4,Calgary,0140,5.0,2.0,90.0,6,15.0,0.33,1.18
1990-12-01,4,Calgary,0140,4.0,0.0,66.0,1,66.0,0.0,0.86
1990-12-01,4,Calgary,0140,2.0,0.0,20.0,10,2.0,0.0,0.26
1991-03-01,1,Calgary,0140,1.0,1.0,887.0,887,1.0,0.0,11.55
1991-03-01,1,Calgary,0140,5.0,2.0,118.0,6,19.67,0.0,1.54
1991-03-01,1,Calgary,0140,5.0,3.0,343.0,9,38.11,0.33,4.46
1991-03-01,1,Calgary,0140,2.0,2.0,6.0,3,2.0,0.0,0.08
1991-03-01,1,Calgary,0140,2.0,1.0,32.0,17,1.88,0.0,0.42
1991-03-01,1,Calgary,0140,2.0,3.0,58.0,29,2.0,0.0,0.75
1991-03-01,1,Calgary,0140,4.0,3.0,338.0,57,5.93,0.0,4.4
1991-03-01,1,Calgary,0140,2.0,0.0,8.0,4,2.0,0.0,0.1
1991-03-01,1,Calgary,0140,4.0,1.0,66.0,1,66.0,0.0,0.86
1991-03-01,1,Calgary,0140,1.0,0.0,16.0,16,1.0,0.0,0.21
1991-03-01,1,Calgary,0140,4.0,2.0,182.0,27,6.74,0.0,2.37
1991-06-01,2,Calgary,0140,2.0,3.0,58.0,29,2.0,0.0,0.75
1991-06-01,2,Calgary,0140,5.0,4.0,41.0,1,41.0,0.0,0.53
1991-06-01,2,Calgary,0140,1.0,0.0,7.0,7,1.0,0.0,0.09
1991-06-01,2,Calgary,0140,2.0,2.0,18.0,9,2.0,0.0,0.23
1991-06-01,2,Calgary,0140,4.0,1.0,66.0,1,66.0,0.0,0.85
1991-06-01,2,Calgary,0140,2.0,1.0,50.0,26,1.92,0.0,0.65
1991-06-01,2,Calgary,0140,2.0,0.0,8.0,4,2.0,0.0,0.1
1991-06-01,2,Calgary,0140,1.0,1.0,1253.0,1253,1.0,0.0,16.23
1991-06-01,2,Calgary,0140,5.0,3.0,239.0,7,34.14,0.43,3.1
1991-06-01,2,Calgary,0140,4.0,2.0,190.0,28,6.79,0.0,2.46
1991-06-01,2,Calgary,0140,5.0,2.0,69.0,4,17.25,0.0,0.89
1991-06-01,2,Calgary,0140,4.0,3.0,294.0,47,6.26,0.0,3.81
1991-09-01,3,Calgary,0140,2.0,2.0,18.0,9,2.0,0.0,0.23
1991-09-01,3,Calgary,0140,1.0,0.0,5.0,5,1.0,0.0,0.06
1991-09-01,3,Calgary,0140,2.0,1.0,40.0,20,2.0,0.0,0.52
1991-09-01,3,Calgary,0140,4.0,2.0,155.0,14,11.07,0.0,2.0
1991-09-01,3,Calgary,0140,1.0,2.0,3.0,3,1.0,0.0,0.04
1991-09-01,3,Calgary,0140,5.0,2.0,83.0,7,11.86,0.0,1.07
1991-09-01,3,Calgary,0140,5.0,4.0,41.0,1,41.0,0.0,0.53
1991-09-01,3,Calgary,0140,5.0,3.0,77.0,7,11.0,0.0,0.99
1991-09-01,3,Calgary,0140,4.0,3.0,313.0,49,6.39,0.0,4.03
1991-09-01,3,Calgary,0140,2.0,0.0,6.0,3,2.0,0.0,0.08
1991-09-01,3,Calgary,0140,4.0,1.0,73.0,3,24.33,0.0,0.94
1991-09-01,3,Calgary,0140,2.0,3.0,46.0,23,2.0,0.0,0.59
1991-09-01,3,Calgary,0140,1.0,1.0,1223.0,1223,1.0,0.0,15.77
1991-12-01,4,Calgary,0140,4.0,1.0,69.0,2,34.5,0.0,0.89
1991-12-01,4,Calgary,0140,5.0,3.0,37.0,4,9.25,0.0,0.47
1991-12-01,4,Calgary,0140,2.0,3.0,84.0,42,2.0,0.0,1.08
1991-12-01,4,Calgary,0140,2.0,1.0,86.0,43,2.0,0.0,1.1
1991-12-01,4,Calgary,0140,4.0,2.0,109.0,10,10.9,0.0,1.4
1991-12-01,4,Calgary,0140,5.0,1.0,4.0,1,4.0,0.0,0.05
1991-12-01,4,Calgary,0140,1.0,1.0,1254.0,1254,1.0,0.0,16.1
1991-12-01,4,Calgary,0140,2.0,0.0,34.0,17,2.0,0.0,0.44
1991-12-01,4,Calgary,0140,2.0,2.0,14.0,7,2.0,0.0,0.18
1991-12-01,4,Calgary,0140,5.0,0.0,12.0,2,6.0,0.0,0.15
1991-12-01,4,Calgary,0140,1.0,2.0,3.0,3,1.0,0.0,0.04
1991-12-01,4,Calgary,0140,4.0,0.0,17.0,1,17.0,0.0,0.22
1991-12-01,4,Calgary,0140,4.0,3.0,252.0,42,6.0,0.0,3.23
1991-12-01,4,Calgary,0140,1.0,0.0,8.0,8,1.0,0.0,0.1
1991-12-01,4,Calgary,0140,5.0,2.0,39.0,3,13.0,0.0,0.5
1992-03-01,1,Calgary,0140,1.0,1.0,1404.0,1404,1.0,0.0,17.95
1992-03-01,1,Calgary,0140,5.0,3.0,38.0,4,9.5,0.0,0.49
1992-03-01,1,Calgary,0140,4.0,3.0,252.0,43,5.86,0.0,3.22
1992-03-01,1,Calgary,0140,2.0,1.0,94.0,47,2.0,0.0,1.2
1992-03-01,1,Calgary,0140,2.0,2.0,6.0,3,2.0,0.0,0.08
1992-03-01,1,Calgary,0140,2.0,0.0,32.0,16,2.0,0.0,0.41
1992-03-01,1,Calgary,0140,4.0,2.0,40.0,9,4.44,0.0,0.51
1992-03-01,1,Calgary,0140,5.0,0.0,12.0,2,6.0,0.0,0.15
1992-03-01,1,Calgary,0140,5.0,2.0,38.0,3,12.67,0.0,0.49
1992-03-01,1,Calgary,0140,1.0,0.0,1.0,1,1.0,0.0,0.01
1992-03-01,1,Calgary,0140,4.0,0.0,50.0,9,5.56,0.0,0.64
1992-03-01,1,Calgary,0140,4.0,1.0,11.0,3,3.67,0.0,0.14
1992-03-01,1,Calgary,0140,2.0,3.0,88.0,44,2.0,0.0,1.13
1992-03-01,1,Calgary,0140,5.0,1.0,4.0,1,4.0,0.0,0.05
1992-03-01,1,Calgary,0140,1.0,2.0,1.0,1,1.0,0.0,0.01
1992-06-01,2,Calgary,0140,4.0,3.0,349.0,79,4.42,0.0,4.45
1992-06-01,2,Calgary,0140,2.0,0.0,16.0,8,2.0,0.0,0.2
1992-06-01,2,Calgary,0140,2.0,2.0,10.0,5,2.0,0.0,0.13
1992-06-01,2,Calgary,0140,2.0,3.0,88.0,44,2.0,0.0,1.12
