"","ref_yy","metcode","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","avgpermit_to_start_time","ref_qq","population","comp_per_10kpop"
"1","1988","0140","December 31, 1988","CALGARY",2480,NA,NA,2122,1.16870876531574,0.0197926484448633,5.76323797930615,0.765315739868049,4,"724449.865",34.2328726916113
"2","1988","0610","December 31, 1988",NA,3412,NA,NA,2563,1.33125243854858,0.0105345298478346,5.30589849108368,0.651970347249317,4,"607581.042",56.1571175553565
"3","1988","1265","December 31, 1988",NA,5369,NA,NA,3131,1.71478760779304,0.0178856595336953,4.9525645969919,0.519003513254551,4,"694702.2267506439",77.2849113369424
"4","1989","0140","September 30, 1989","CALGARY",5014,NA,NA,4697,1.06748988716202,0.0014903129657228,4.48208573256558,0.419416648924846,4,"747414.603",67.0845870534858
"5","1989","0610","September 30, 1989",NA,4817,NA,NA,2957,1.62901589448766,0.00642543118025025,5.27347161572052,0.25701724721001,4,"615293.795",78.2878039587576
"6","1989","1265","September 30, 1989",NA,7015,NA,NA,4010,1.74937655860349,0.0266832917705736,5.09328134373125,0.381795511221945,4,"712715.6858770581",98.4263450209804
"7","1990","0140","June 30, 1990","CALGARY",7509,NA,NA,6765,1.109977827051,0,4.90970894412577,0.371352392238187,4,"764404.198",98.2333694614273
"8","1990","0610","June 30, 1990",NA,3242,NA,NA,2069,1.56694055099082,0,6.67980636237898,0.438859352344128,4,"619584.027",52.3254289768836
"9","1990","1265","June 30, 1990",NA,5511,NA,NA,3239,1.70145106514356,0.00555727076258104,5.58473954512106,0.907041383570105,4,"728702.2202749951",75.6275999532467
"10","1991","0140","June 30, 1991","CALGARY",5065,NA,NA,4204,1.20480494766889,0.00404376784015224,4.76671277086215,0.388294075660243,4,"779040.068",65.0159113510449
"11","1991","0610","June 30, 1991","HAMILTON",2491,NA,NA,1013,2.45903257650543,0,7.3920704845815,1.02171767028628,4,"623080.796",39.97876384558
"12","1991","1265","June 30, 1991",NA,4179,NA,NA,2146,1.94734389561976,0.00559179869524697,5.30255402750491,1.00978564771668,4,"742919.301303064",56.2510624326239
"13","1992","0140","June 30, 1992","CALGARY",6509,NA,NA,5858,1.11113007852509,0,4.80693533270853,0.204506657562308,4,"789289.723",82.4665494852769
"14","1992","0610","June 30, 1992",NA,2680,NA,NA,1359,1.97203826342899,0.0022075055187638,9.82458563535912,1.16041206769684,4,"625032.573",42.8777653480789
"15","1992","1265","June 30, 1992","OTTAWA",6336,NA,NA,2885,2.19618717504333,0.0155979202772964,4.70135135135135,1.65996533795494,4,"755695.390365255",83.8433061889868
"16","1993","0140","June 30, 1993","CALGARY",6286,NA,NA,5486,1.1458257382428,0,4.51385746606335,0.239336492890995,4,"803617.45",78.2212979571312
"17","1993","0610","June 30, 1993","HAMILTON",2521,NA,NA,1543,1.63383020090732,0,5.43518518518519,1.4102397926118,4,"629796.445",40.0288064503127
