"","reference_period_qq","metcode","dweltype","mkttycd","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price","ref_yy","ref_qq","population","starts_per_10kpop"
"1","1988-2","0580",1,1,"June 30, 1988",NA,209,NA,NA,209,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,2,"323830.609",6.45399150640513
"2","1988-2","0580",2,1,"June 30, 1988","HALIFAX",67,NA,NA,34,1.97058823529412,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,2,"323830.609",2.06898292310595
"3","1988-2","0580",4,4,"June 30, 1988",NA,24,NA,NA,2,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,2,"323830.609",0.741128211261833
"4","1988-2","0610",1,1,"June 30, 1988",NA,250,NA,NA,250,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,2,"599723.112",4.16859038775881
"5","1988-2","0610",4,3,"June 30, 1988","HAMILTON",9,NA,NA,1,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,2,"599723.112",0.150069253959317
"6","1988-2","2410",2,1,"June 30, 1988","VANCOUVER",30,NA,NA,15,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,2,"1535606.75",0.195362517128816
"7","1988-2","2410",2,3,"June 30, 1988","VANCOUVER",42,NA,NA,21,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,2,"1535606.75",0.273507523980342
"8","1988-2","2440",5,3,"June 30, 1988",NA,53,NA,NA,3,17.6666666666667,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,2,"279357.102",1.89721326648069
"9","1988-2","2680",4,2,"June 30, 1988","WINNIPEG",4,NA,NA,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,2,"664919.517",0.0601576566446312
"10","1988-3","0140",1,1,"September 30, 1988","CALGARY",920,NA,NA,920,1,0,0.23804347826087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,3,"719616.5580000001",12.7845863157585
"11","1988-3","0340",4,3,"September 30, 1988","EDMONTON",41,NA,NA,8,5.125,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,3,"817630.2540000001",0.501449155035792
"12","1988-3","0580",2,4,"September 30, 1988",NA,18,NA,NA,9,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,3,"325561.151",0.552891521138528
"13","1988-3","1060",2,2,"September 30, 1988",NA,2,NA,NA,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,3,"3338762.6300000004",0.00599024315783719
"14","1988-3","1060",4,2,"September 30, 1988",NA,10,NA,NA,3,3.33333333333333,0,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,3,"3338762.6300000004",0.0299512157891859
"15","1988-3","1265",1,1,"September 30, 1988",NA,1257,NA,NA,1257,1,0,0.0596658711217184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,3,"690767.356122307",18.1971540614817
"16","1988-3","1400",5,1,"September 30, 1988",NA,2,NA,NA,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,3,"644355.468",0.0310387681850168
"17","1988-3","1490",4,3,"September 30, 1988","REGINA",48,NA,NA,4,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,3,"195669.17799999999",2.45312013320769
"18","1988-3","1490",5,3,"September 30, 1988","REGINA",117,NA,NA,2,58.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,3,"195669.17799999999",5.97948032469375
"19","1988-3","1700",2,1,"September 30, 1988","SASKATOON",18,NA,NA,9,2,0,0.111111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,3,"215988.035",0.833379497155942
"20","1988-3","2270",2,4,"September 30, 1988","TORONTO",2,NA,NA,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,3,"3890054.47",0.00514131618316388
"21","1988-3","2270",4,4,"September 30, 1988","TORONTO",73,NA,NA,10,7.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,3,"3890054.47",0.187658040685482
"22","1988-3","2270",5,2,"September 30, 1988",NA,1494,NA,NA,16,93.375,2.75,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,3,"3890054.47",3.84056318882342
"23","1988-3","2410",1,1,"September 30, 1988","VANCOUVER",2708,NA,NA,2708,1,0,0.0561714708056172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,3,"1550546.04",17.4648151692419
"24","1988-3","2410",1,3,"September 30, 1988","VANCOUVER",22,NA,NA,22,1,0,0.227272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,3,"1550546.04",0.14188549989783
"25","1988-3","2440",5,3,"September 30, 1988",NA,32,NA,NA,2,16,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,3,"281509.77999999997",1.13672782522867
"26","1988-3","2680",1,1,"September 30, 1988","WINNIPEG",852,NA,NA,852,1,0,0.178823529411765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,3,"665097.4700000001",12.8101524728398
"27","1988-4","0140",2,2,"December 31, 1988","CALGARY",2,NA,NA,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,4,"724449.865",0.0276071553964607
