"","ref_yy","metcode","gcd_ct_centroid_fsa","dweltype","mkttycd","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount"
"1","1988","0140",NA,1,1,"December 31, 1988","CALGARY",22,22,1,0
"2","1988","0140",NA,2,1,"December 31, 1988","CALGARY",4,2,2,0
"3","1988","0140",NA,5,1,"December 31, 1988","CALGARY",3,1,3,0
"4","1988","0140","nan",1,1,"December 31, 1988","CALGARY",1319,1319,1,0
"5","1988","0140","nan",2,1,"December 31, 1988","CALGARY",226,113,2,0
"6","1988","0140","nan",2,2,"December 31, 1988","CALGARY",2,1,2,0
"7","1988","0140","nan",4,1,"December 31, 1988","CALGARY",21,3,7,0
"8","1988","0140","nan",4,2,"December 31, 1988","CALGARY",76,3,25.3333333333333,0
"9","1988","0140","nan",5,1,"December 31, 1988","CALGARY",8,2,4,0
"10","1989","0140",NA,1,0,"December 31, 1989","CALGARY",1,1,1,0
"11","1989","0140",NA,1,1,"December 31, 1989","CALGARY",15,15,1,0
"12","1989","0140",NA,2,1,"December 31, 1989","CALGARY",2,1,2,0
"13","1989","0140",NA,5,2,"December 31, 1989","CALGARY",144,12,12,0
"14","1989","0140","nan",1,0,"December 31, 1989","CALGARY",238,238,1,0
"15","1989","0140","nan",1,1,"December 31, 1989","CALGARY",1773,1773,1,0
"16","1989","0140","nan",1,2,"December 31, 1989","CALGARY",6,6,1,0
"17","1989","0140","nan",2,0,"December 31, 1989","CALGARY",24,12,2,0
"18","1989","0140","nan",2,1,"December 31, 1989","CALGARY",246,123,2,0
"19","1989","0140","nan",2,2,"December 31, 1989","CALGARY",20,10,2,0
"20","1989","0140","nan",4,0,"December 31, 1989","CALGARY",47,2,23.5,0
"21","1989","0140","nan",4,1,"December 31, 1989","CALGARY",139,31,4.48387096774194,0
"22","1989","0140","nan",4,2,"December 31, 1989","CALGARY",12,3,4,0
"23","1989","0140","nan",4,3,"December 31, 1989","CALGARY",42,7,6,0
"24","1989","0140","nan",5,0,"December 31, 1989","CALGARY",30,1,30,0
"25","1989","0140","nan",5,1,"December 31, 1989","CALGARY",13,4,3.25,0
"26","1989","0140","nan",5,2,"December 31, 1989","CALGARY",110,10,11,0
"27","1989","0140","nan",5,3,"December 31, 1989","CALGARY",4,1,4,0
"28","1990","0140",NA,1,0,"December 31, 1990","CALGARY",1,1,1,0
"29","1990","0140",NA,1,1,"December 31, 1990","CALGARY",16,16,1,0
"30","1990","0140",NA,2,1,"December 31, 1990","CALGARY",2,1,2,0
