"","ref_yy","metcode","dweltype","mkttycd","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount","ref_qq","population","underconstr_per_10kpop"
"1","1988","0140",1,1,"December 31, 1988","CALGARY",1341,1341,1,0,4,"724449.865",18.5105976933269
"2","1988","0140",2,1,"December 31, 1988","CALGARY",230,115,2,0,4,"724449.865",3.17482287059298
"3","1988","0140",2,2,"December 31, 1988","CALGARY",2,1,2,0,4,"724449.865",0.0276071553964607
"4","1988","0140",4,1,"December 31, 1988","CALGARY",21,3,7,0,4,"724449.865",0.289875131662838
"5","1988","0140",4,2,"December 31, 1988","CALGARY",76,3,25.3333333333333,0,4,"724449.865",1.04907190506551
"6","1988","0140",5,1,"December 31, 1988","CALGARY",11,3,3.66666666666667,0,4,"724449.865",0.151839354680534
"7","1988","0610",1,1,"December 31, 1988",NA,1050,1050,1,0,4,"607581.042",17.2816452031431
"8","1988","0610",2,1,"December 31, 1988","HAMILTON",10,5,2,0,4,"607581.042",0.164587097172792
"9","1988","0610",4,2,"December 31, 1988",NA,15,3,5,0,4,"607581.042",0.246880645759187
"10","1988","0610",4,3,"December 31, 1988",NA,329,41,8.02439024390244,0,4,"607581.042",5.41491549698484
"11","1988","0610",4,4,"December 31, 1988",NA,35,5,7,0,4,"607581.042",0.576054840104771
"12","1988","0610",5,2,"December 31, 1988",NA,54,1,54,0,4,"607581.042",0.888770324733075
"13","1988","0610",5,3,"December 31, 1988","HAMILTON",818,13,62.9230769230769,0,4,"607581.042",13.4632245487344
"14","1988","0610",5,4,"December 31, 1988",NA,105,2,52.5,0,4,"607581.042",1.72816452031431
"15","1988","1265",1,1,"December 31, 1988",NA,1473,1473,1,0,4,"694702.2267506439",21.2033291859408
"16","1988","1265",2,1,"December 31, 1988",NA,52,26,2,0,4,"694702.2267506439",0.7485221436992
"17","1988","1265",2,2,"December 31, 1988",NA,8,4,2,0,4,"694702.2267506439",0.1151572528768
"18","1988","1265",4,0,"December 31, 1988",NA,26,2,13,0,4,"694702.2267506439",0.3742610718496
"19","1988","1265",4,1,"December 31, 1988",NA,303,58,5.22413793103448,0,4,"694702.2267506439",4.3615809527088
"20","1988","1265",4,2,"December 31, 1988",NA,280,47,5.95744680851064,0,4,"694702.2267506439",4.030503850688
"21","1988","1265",4,3,"December 31, 1988",NA,311,56,5.55357142857143,0.464285714285714,4,"694702.2267506439",4.4767382055856
"22","1988","1265",5,0,"December 31, 1988",NA,8,1,8,0,4,"694702.2267506439",0.1151572528768
"23","1988","1265",5,1,"December 31, 1988",NA,16,4,4,0,4,"694702.2267506439",0.2303145057536
"24","1988","1265",5,2,"December 31, 1988",NA,661,13,50.8461538461538,0.307692307692308,4,"694702.2267506439",9.5148680189456
"25","1988","1265",5,3,"December 31, 1988",NA,957,9,106.333333333333,2.11111111111111,4,"694702.2267506439",13.7756863753872
"26","1988","1265",5,4,"December 31, 1988",NA,222,3,74,0,4,"694702.2267506439",3.1956137673312
"27","1989","0140",1,0,"December 31, 1989","CALGARY",239,239,1,0,4,"747414.603",3.19768972991286
"28","1989","0140",1,1,"December 31, 1989","CALGARY",1788,1788,1,0,4,"747414.603",23.9224654271305
"29","1989","0140",1,2,"December 31, 1989","CALGARY",6,6,1,0,4,"747414.603",0.0802767296212434
"30","1989","0140",2,0,"December 31, 1989","CALGARY",24,12,2,0,4,"747414.603",0.321106918484974
